ont	gene
GOBP_AGING	ABAT
GOBP_AGING	ABI3
GOBP_AGING	ABL1
GOBP_AGING	ACE
GOBP_AGING	ADM
GOBP_AGING	ADRA1A
GOBP_AGING	AGER
GOBP_AGING	AGT
GOBP_AGING	AKT3
GOBP_AGING	AMFR
GOBP_AGING	AMH
GOBP_AGING	APAF1
GOBP_AGING	APEX1
GOBP_AGING	APOD
GOBP_AGING	APP
GOBP_AGING	ARG1
GOBP_AGING	ARG2
GOBP_AGING	ARNTL
GOBP_AGING	ASS1
GOBP_AGING	ATM
GOBP_AGING	ATP2B1
GOBP_AGING	ATP5F1A
GOBP_AGING	ATP8A2
GOBP_AGING	ATR
GOBP_AGING	AURKB
GOBP_AGING	AVPR1A
GOBP_AGING	AVPR1B
GOBP_AGING	B2M
GOBP_AGING	BAK1
GOBP_AGING	BAZ2B
GOBP_AGING	BCL2
GOBP_AGING	BCL6
GOBP_AGING	BECN1
GOBP_AGING	BGLAP
GOBP_AGING	BMPR1A
GOBP_AGING	BRCA2
GOBP_AGING	C1QA
GOBP_AGING	CALCA
GOBP_AGING	CALR
GOBP_AGING	CANX
GOBP_AGING	CARM1
GOBP_AGING	CASP2
GOBP_AGING	CASP9
GOBP_AGING	CAT
GOBP_AGING	CCL11
GOBP_AGING	CCN2
GOBP_AGING	CD68
GOBP_AGING	CDK1
GOBP_AGING	CDK2
GOBP_AGING	CDK6
GOBP_AGING	CDKN1A
GOBP_AGING	CDKN1B
GOBP_AGING	CDKN1C
GOBP_AGING	CDKN2A
GOBP_AGING	CDKN2B
GOBP_AGING	CGAS
GOBP_AGING	CHEK1
GOBP_AGING	CHEK2
GOBP_AGING	CISD2
GOBP_AGING	CITED2
GOBP_AGING	CLDN1
GOBP_AGING	CLN8
GOBP_AGING	CNP
GOBP_AGING	CNR1
GOBP_AGING	COL4A2
GOBP_AGING	COMP
GOBP_AGING	COQ7
GOBP_AGING	CRYAB
GOBP_AGING	CTC1
GOBP_AGING	CTNNA1
GOBP_AGING	CTSC
GOBP_AGING	CX3CL1
GOBP_AGING	CYP1A1
GOBP_AGING	DAG1
GOBP_AGING	DDC
GOBP_AGING	DKK1
GOBP_AGING	DNAJA3
GOBP_AGING	DNMBP
GOBP_AGING	DNMT3A
GOBP_AGING	ECRG4
GOBP_AGING	EDN1
GOBP_AGING	EDNRA
GOBP_AGING	EDNRB
GOBP_AGING	EEF1E1
GOBP_AGING	EIF2B5
GOBP_AGING	EIF2S1
GOBP_AGING	ELAVL4
GOBP_AGING	ENDOG
GOBP_AGING	EPO
GOBP_AGING	ERCC1
GOBP_AGING	ERCC2
GOBP_AGING	ERO1A
GOBP_AGING	FBXO4
GOBP_AGING	FBXO5
GOBP_AGING	FGF2
GOBP_AGING	FOS
GOBP_AGING	FOXG1
GOBP_AGING	FOXM1
GOBP_AGING	FOXO3
GOBP_AGING	FOXO4
GOBP_AGING	FZR1
GOBP_AGING	GBA
GOBP_AGING	GCLC
GOBP_AGING	GCLM
GOBP_AGING	GFRA1
GOBP_AGING	GHRHR
GOBP_AGING	GJB2
GOBP_AGING	GJB6
GOBP_AGING	GLRX2
GOBP_AGING	GNA11
GOBP_AGING	GNA12
GOBP_AGING	GNA13
GOBP_AGING	GPX1
GOBP_AGING	GPX4
GOBP_AGING	GRB2
GOBP_AGING	GRM5
GOBP_AGING	H2AX
GOBP_AGING	HAMP
GOBP_AGING	HELT
GOBP_AGING	HLA-G
GOBP_AGING	HMGA1
GOBP_AGING	HMGA2
GOBP_AGING	HRAS
GOBP_AGING	HTR2A
GOBP_AGING	HTRA2
GOBP_AGING	HYAL2
GOBP_AGING	ID2
GOBP_AGING	IDE
GOBP_AGING	IGF1R
GOBP_AGING	IGFBP1
GOBP_AGING	IGFBP2
GOBP_AGING	IGFBP5
GOBP_AGING	IL10
GOBP_AGING	IL15
GOBP_AGING	ING2
GOBP_AGING	INHBB
GOBP_AGING	INPP5D
GOBP_AGING	IRAK1
GOBP_AGING	JUND
GOBP_AGING	KAT5
GOBP_AGING	KAT6A
GOBP_AGING	KCNE2
GOBP_AGING	KCNMB1
GOBP_AGING	KIR2DL4
GOBP_AGING	KL
GOBP_AGING	KMO
GOBP_AGING	KRT14
GOBP_AGING	KRT16
GOBP_AGING	KRT25
GOBP_AGING	KRT33B
GOBP_AGING	KRT83
GOBP_AGING	KRTAP4-3
GOBP_AGING	KRTAP4-5
GOBP_AGING	KRTAP4-8
GOBP_AGING	KRTAP4-9
GOBP_AGING	LEP
GOBP_AGING	LIMS1
GOBP_AGING	LMNA
GOBP_AGING	LOXL2
GOBP_AGING	LRRK2
GOBP_AGING	MAGEA2
GOBP_AGING	MAGEA2B
GOBP_AGING	MAP2K1
GOBP_AGING	MAP2K3
GOBP_AGING	MAP2K4
GOBP_AGING	MAP2K6
GOBP_AGING	MAP2K7
GOBP_AGING	MAP3K3
GOBP_AGING	MAP3K5
GOBP_AGING	MAPK10
GOBP_AGING	MAPK11
GOBP_AGING	MAPK14
GOBP_AGING	MAPK8
GOBP_AGING	MAPK9
GOBP_AGING	MAPKAPK5
GOBP_AGING	MARCHF5
GOBP_AGING	MBD2
GOBP_AGING	MBD3
GOBP_AGING	MBP
GOBP_AGING	MIF
GOBP_AGING	MIR10A
GOBP_AGING	MIR146A
GOBP_AGING	MIR17
GOBP_AGING	MIR188
GOBP_AGING	MIR20B
GOBP_AGING	MIR21
GOBP_AGING	MIR217
GOBP_AGING	MIR22
GOBP_AGING	MIR342
GOBP_AGING	MIR34A
GOBP_AGING	MIR370
GOBP_AGING	MIR543
GOBP_AGING	MIR590
GOBP_AGING	MME
GOBP_AGING	MMP2
GOBP_AGING	MNT
GOBP_AGING	MORC3
GOBP_AGING	MPO
GOBP_AGING	MSH2
GOBP_AGING	MSH6
GOBP_AGING	MT-ATP6
GOBP_AGING	MT-CO1
GOBP_AGING	MT-ND4
GOBP_AGING	NEK4
GOBP_AGING	NEK6
GOBP_AGING	NFE2L2
GOBP_AGING	NOX4
GOBP_AGING	NPM1
GOBP_AGING	NPY
GOBP_AGING	NPY5R
GOBP_AGING	NQO1
GOBP_AGING	NR5A1
GOBP_AGING	NSMCE2
GOBP_AGING	NTRK1
GOBP_AGING	NUAK1
GOBP_AGING	NUDT1
GOBP_AGING	NUP62
GOBP_AGING	OGG1
GOBP_AGING	OPA1
GOBP_AGING	P2RY1
GOBP_AGING	PAWR
GOBP_AGING	PAX2
GOBP_AGING	PAX5
GOBP_AGING	PCK1
GOBP_AGING	PDCD4
GOBP_AGING	PDGFRB
GOBP_AGING	PDX1
GOBP_AGING	PENK
GOBP_AGING	PICALM
GOBP_AGING	PITX3
GOBP_AGING	PLA2R1
GOBP_AGING	PLK2
GOBP_AGING	PML
GOBP_AGING	PNPT1
GOBP_AGING	POLB
GOBP_AGING	PPP1R9B
GOBP_AGING	PPP3CA
GOBP_AGING	PRDM2
GOBP_AGING	PRELP
GOBP_AGING	PRKCD
GOBP_AGING	PRMT6
GOBP_AGING	PRNP
GOBP_AGING	PSEN1
GOBP_AGING	PTEN
GOBP_AGING	PTGS2
GOBP_AGING	RAD54B
GOBP_AGING	RAD54L
GOBP_AGING	RBL1
GOBP_AGING	RETN
GOBP_AGING	RGN
GOBP_AGING	RNF165
GOBP_AGING	ROMO1
GOBP_AGING	RPN2
GOBP_AGING	RPS6KB1
GOBP_AGING	RSL1D1
GOBP_AGING	RWDD1
GOBP_AGING	SCAP
GOBP_AGING	SEC63
GOBP_AGING	SERP1
GOBP_AGING	SERPINE1
GOBP_AGING	SERPINF1
GOBP_AGING	SERPING1
GOBP_AGING	SIN3A
