cluster	Patient	proportion
1	B cell	CID3946	2.63109427210777e-05
2	CD4 T	CID3946	0.000368353198095088
3	CD8 T	CID3946	0.00171021127687005
4	Endothelial cell	CID3946	0.00218380824584945
5	Epithelial cell	CID3946	0.000947193937958797
6	Fibroblast	CID3946	0.00920882995237719
7	Macrophage	CID3946	0.00368353198095088
8	Monocyte	CID3946	0
9	Plasma cell	CID3946	5.26218854421554e-05
10	B cell	CID44041	0.0046044149761886
11	CD4 T	CID44041	0.00157865656326466
12	CD8 T	CID44041	0.017602020680401
13	Endothelial cell	CID44041	0.00373615386639303
14	Epithelial cell	CID44041	0.00423606177809351
15	Fibroblast	CID44041	0.0214434183176783
16	Macrophage	CID44041	0.00284158181387639
17	Monocyte	CID44041	0
18	Plasma cell	CID44041	0
19	B cell	CID4465	0
20	CD4 T	CID4465	0.000289420369931855
21	CD8 T	CID4465	0.00107874865156419
22	Endothelial cell	CID4465	0.00691977793564343
23	Epithelial cell	CID4465	0.00455179309074644
24	Fibroblast	CID4465	0.0152077248927829
25	Macrophage	CID4465	0.00470965874707291
26	Monocyte	CID4465	0
27	Plasma cell	CID4465	0.00352566632462441
28	B cell	CID4495	0.0184702817901965
29	CD4 T	CID4495	0.0129186728760491
30	CD8 T	CID4495	0.0675401899650065
31	Endothelial cell	CID4495	0.00431499460625674
32	Epithelial cell	CID4495	0.0416239113847449
33	Fibroblast	CID4495	0.0109979740574105
34	Macrophage	CID4495	0.02539005972584
35	Monocyte	CID4495	2.63109427210777e-05
36	Plasma cell	CID4495	0.026416186491962
37	B cell	CID44971	0.00947193937958797
38	CD4 T	CID44971	0.0180229957639382
39	CD8 T	CID44971	0.0891940958244534
40	Endothelial cell	CID44971	0.0056568526850317
41	Epithelial cell	CID44971	0.04638619201726
42	Fibroblast	CID44971	0.0199963164680191
43	Macrophage	CID44971	0.0182071723629858
44	Monocyte	CID44971	0
45	Plasma cell	CID44971	0.00115768147972742
46	B cell	CID44991	0.00181545504775436
47	CD4 T	CID44991	0.0046044149761886
48	CD8 T	CID44991	0.0161549188307417
49	Endothelial cell	CID44991	0.00105243770884311
50	Epithelial cell	CID44991	0.106243586707712
51	Fibroblast	CID44991	0.00847212355618702
52	Macrophage	CID44991	0.0068408451074802
53	Monocyte	CID44991	0
54	Plasma cell	CID44991	0.0378088246901886
55	B cell	CID4513	0.000236798484489699
56	CD4 T	CID4513	0.00418343989265135
57	CD8 T	CID4513	0.0290209698213487
58	Endothelial cell	CID4513	0.00410450706448812
59	Epithelial cell	CID4513	0.0245481095587655
60	Fibroblast	CID4513	0.00781434998816008
61	Macrophage	CID4513	0.0732759754782014
62	Monocyte	CID4513	2.63109427210777e-05
63	Plasma cell	CID4513	0.000763017338911253
64	B cell	CID4515	0.0131291604178178
65	CD4 T	CID4515	0.000868261109795564
66	CD8 T	CID4515	0.00962980503591444
67	Endothelial cell	CID4515	0.00323624595469256
68	Epithelial cell	CID4515	0.0525429526139922
69	Fibroblast	CID4515	0.00860367826979241
70	Macrophage	CID4515	0.0148393716946878
71	Monocyte	CID4515	0
72	Plasma cell	CID4515	0.000920882995237719
73	B cell	CID4523	0
74	CD4 T	CID4523	0.000289420369931855
75	CD8 T	CID4523	0.00399926329360381
76	Endothelial cell	CID4523	0.000736706396190175
77	Epithelial cell	CID4523	0.0279422211697845
78	Fibroblast	CID4523	0.00134185807877496
79	Macrophage	CID4523	0.00607782776856895
80	Monocyte	CID4523	0.00210487541768622
81	Plasma cell	CID4523	0.000473596968979399
