TCGA-E2-A14R-01	TCGA-E2-A1LL-01	TCGA-A7-A4SE-01	TCGA-BH-A18V-01	TCGA-AO-A0J6-01	TCGA-C8-A12V-01	TCGA-A7-A6VV-01	TCGA-E2-A1L7-01	TCGA-EW-A1P8-01	TCGA-EW-A1OW-01	TCGA-E2-A150-01	TCGA-S3-AA10-01	TCGA-AR-A256-01	TCGA-C8-A27B-01	TCGA-EW-A3U0-01	TCGA-C8-A26X-01	TCGA-EW-A1OV-01	TCGA-A2-A1G6-01	TCGA-EW-A6SB-01	TCGA-EW-A1PH-01	TCGA-BH-A1FC-01	TCGA-GI-A2C9-01	TCGA-D8-A27M-01	TCGA-AR-A0U4-01	TCGA-A2-A0YE-01	TCGA-GM-A2DH-01	TCGA-BH-A42U-01	TCGA-D8-A1JL-01	TCGA-BH-A1EW-01	TCGA-A8-A08R-01	TCGA-E2-A1LH-01	TCGA-AR-A1AY-01	TCGA-E9-A5FL-01	TCGA-AC-A7VC-01	TCGA-AC-A2QJ-01	TCGA-AR-A0TU-01	TCGA-AO-A0J4-01	TCGA-A2-A0SX-01	TCGA-BH-A18G-01	TCGA-AO-A124-01	TCGA-A2-A0T0-01	TCGA-AO-A12F-01	TCGA-D8-A1XQ-01	TCGA-A2-A3XY-01	TCGA-B6-A400-01	TCGA-BH-A0WA-01	TCGA-BH-A0RX-01	TCGA-BH-A0B3-01	TCGA-A7-A0DA-01	TCGA-D8-A1XK-01	TCGA-BH-A0BG-01	TCGA-E2-A14N-01	TCGA-D8-A27F-01	TCGA-AN-A04D-01	TCGA-A7-A26G-01	TCGA-A1-A0SP-01	TCGA-AC-A2BK-01	TCGA-AO-A128-01	TCGA-AQ-A04J-01	TCGA-A7-A6VY-01	TCGA-LL-A73Y-01	TCGA-AO-A1KR-01	TCGA-C8-A3M7-01	TCGA-A2-A04U-01	TCGA-LL-A5YO-01	TCGA-AN-A0AR-01	TCGA-E2-A1LS-01	TCGA-A2-A0D0-01	TCGA-A2-A3XX-01	TCGA-AC-A2QH-01	TCGA-AN-A0AT-01	TCGA-AO-A0JL-01	TCGA-A2-A3XT-01	TCGA-EW-A1P4-01	TCGA-AR-A0TS-01	TCGA-S3-AA15-01	TCGA-A2-A0D2-01	TCGA-D8-A13Z-01	TCGA-EW-A1PB-01	TCGA-HN-A2NL-01	TCGA-A2-A0T2-01	TCGA-AR-A2LR-01	TCGA-C8-A1HJ-01	TCGA-BH-A1F6-01	TCGA-E2-A158-01	TCGA-BH-A0E0-01	TCGA-AN-A0XU-01	TCGA-A8-A07O-01	TCGA-D8-A147-01	TCGA-C8-A131-01	TCGA-D8-A27H-01	TCGA-B6-A402-01	TCGA-A8-A09X-01	TCGA-E2-A14X-01	TCGA-B6-A3ZX-01	TCGA-D8-A1JF-01	TCGA-AC-A6IW-01	TCGA-AO-A03U-01	TCGA-AO-A129-01	TCGA-D8-A143-01	TCGA-A7-A6VW-01	TCGA-GM-A2DF-01	TCGA-LL-A441-01	TCGA-AN-A0G0-01	TCGA-GM-A2DB-01	TCGA-OL-A6VO-01	TCGA-BH-A0B9-01	TCGA-AR-A5QQ-01	TCGA-A8-A07C-01	TCGA-AN-A0AL-01	TCGA-A2-A0CM-01	TCGA-AR-A1AR-01	TCGA-BH-A0BL-01
ACD	4.93902852690069	5.20762619493294	4.56329972419826	5.05550851497448	5.14685587735218	3.99418411825312	3.94726506338049	4.8420169198268	4.18426683169464	5.25921963148256	4.02606925595613	4.22581086372447	3.8015163302131	4.40148708517634	4.18165838521328	3.34895645474827	3.72782525544592	5.09525279760946	4.28273000577371	4.02233904033302	4.04356634306305	4.23187841184434	3.79654706818522	5.05362708281138	4.33924515665733	4.57515274952083	5.20178685583318	4.53935500106032	3.92692828297055	4.23429678800142	3.31093103055113	4.11354071968325	4.35771499951281	4.99521486314233	5.18785309380677	5.63040469230563	4.35476697501252	4.41084165394794	3.52928348966772	3.54784932372725	4.1767525617175	4.93412527614109	3.89793707662214	4.39877464868353	5.10056993348567	3.89261304579397	4.57572616235098	4.34200648892238	3.44924117122892	4.3599420803426	4.28076398213334	4.57819672710481	3.85624568783502	3.70565779444939	4.32812138251529	5.37673758539597	4.17891929190294	4.49497964216134	4.13341743892113	4.5824040201525	4.30741085754914	4.42605119998773	3.5474166043534	4.87531304434786	4.30873923352798	4.13327522585313	2.61968759533914	5.23840987977784	5.57227236283256	2.78481399135249	5.04109433391614	3.57683963635071	4.04022444249167	4.10687006372735	4.70958413149931	4.21790173468119	5.51986694034002	4.08181499480852	4.12483987979598	5.27742359942485	3.47923309955565	4.0837840709509	4.8733136772276	4.44980579579585	4.7604759291765	3.85450109771273	4.41195246306714	4.64550017211267	4.56734164371595	4.7097271092743	4.38825470899846	3.52366927409928	2.49353947093159	3.81184412043614	4.81369072909357	3.70119461324057	4.37307928646903	3.50402772594824	4.76670882386553	5.38199650322102	4.8274431007245	3.68309284117016	5.26023346052641	4.0572557533919	4.54979183509273	4.22166113380353	5.16470438499064	5.30578120650094	3.22947110522865	4.8261323445467	4.75686152683973	3.54678676107465	4.76504755892366
ASF1A	5.76450490427142	5.05565046490311	4.89205571574159	5.61275001157265	4.09383990030403	5.48299471743555	5.30987010023133	5.88678620275604	5.58916294116264	5.83869343909786	5.43844831989458	4.86063142086399	5.32066306640059	5.0893721976234	6.81084867686702	4.87681887417452	5.7486096075572	5.63026196087925	4.27538625968642	5.12124930378594	4.96619743438268	5.16328751911766	4.82206392665725	5.66981304390295	5.6339992332037	6.39905337899756	4.25096428681269	5.58080337323871	5.15680027477347	5.52359004652063	5.67622916660138	5.71046766696327	5.49436317829061	4.06303881460695	2.44700836172265	7.34844921993963	5.27171617998911	5.60690071991796	4.62360880206983	6.22644653248936	6.52204065671395	5.79327513889533	5.65052890681987	5.46024241461122	4.1020814970051	5.332771851054	4.96128108740542	4.93172415800046	5.19170656624514	6.43681598100237	5.73405639250537	6.20691149899405	5.91599906985153	5.8772602945322	5.24966150505127	5.94679987372236	5.68528955673158	5.30881252070672	5.50102398365488	5.61866254464149	5.13190641299777	4.99269972934105	5.16328720272097	5.32002783682242	4.89794051671851	5.36093521301105	5.00601186922277	4.8213766017209	5.47521667148369	3.46922011042249	4.64735112764163	4.36213844565373	5.22819621418363	5.07218605128215	5.82009997693318	4.11738423150506	6.15744894011952	6.30166539192022	4.51932516108978	5.17638015080867	5.11118106679332	5.43694147706141	6.73869641082089	5.00991394217131	5.51250852380336	5.06876274280682	6.47448627051479	5.08149806790324	5.73239075125402	4.48140420203671	5.01385353512825	5.55848393795287	5.02224087952996	6.29935067458631	5.1198783584564	5.03529998900562	4.19078972111149	4.37582374282306	5.41674538541328	6.03605641799747	4.68488233877007	4.36595812075231	5.07778156767628	5.2931755381829	6.36249343902908	5.41774621224059	5.63480210356194	4.20390939764538	6.46786149873374	5.82228173076071	6.08382473432257	5.82222072005024	5.36584322205455
ATM	2.16255553975387	2.41602220718787	2.96010899989737	3.40984885574882	2.65838880037553	3.46710956859051	2.83332658347133	3.06799847893822	2.80661689996389	3.6303995699808	2.58667373187601	3.10714290752537	2.84823560352455	2.48244248030094	3.5769724166323	2.1985466347744	3.63957123269156	3.93784046832198	2.16102043829573	2.25633950396575	2.19481253470035	3.48728355554867	4.18229193140085	3.21891439556689	2.88528071478266	4.02284661581047	2.17077400656376	4.0592148265205	3.62435772251056	3.94508848328101	2.42600709447097	3.55016980207941	1.93884444836368	2.43389993615623	1.18029664315904	2.37863203835483	3.64908557768454	3.53480265967013	1.8226581979842	2.5466192268006	2.25462781151536	2.39224655382148	3.26335390339461	3.29876809875433	2.19150661933567	3.16889263578606	2.29775298822549	2.38811257308253	2.84224859560773	3.06081825803237	3.06307087334629	2.89251472474032	3.66902094744452	2.51896087614668	4.50777443323922	2.64873555280063	3.49106550721938	3.99493628331156	3.31459116361856	2.16562418390905	3.65696002457399	1.41934170008527	3.45784574818601	1.179737601452	3.23510369372532	2.60854606931213	1.67631471620969	2.38415736153277	2.19908675445899	4.0991733729069	2.40472275522965	1.98452603123297	3.19644014392573	2.73042850955067	5.08745929373101	3.24968401510159	2.63474386336062	2.87747792062383	2.35143989670975	2.94396779605664	1.7891926637914	3.1445277240602	2.1628930878981	2.64781654552667	2.26346894201853	2.25817703550668	3.82533586591269	2.91084173510752	4.58501155844339	2.31210231131799	3.59780237444651	2.77767435309976	2.89157979811027	3.08519631817944	4.53824662275505	3.96992165533067	2.68605461152435	3.36728579674134	2.30632983422911	2.74460130037652	1.65488370255939	2.10819026133587	4.46999523599364	4.3058468134793	2.04727612094382	2.37983258578777	3.25827181324202	2.48810158247605	4.72815277244783	2.9518850670888	3.14217162163417	4.39508256563447	3.43903409759312
CABIN1	3.73258693674236	5.06545903678555	5.07235301949194	4.65274588491673	4.10570581190659	5.06378454769846	5.24861323838524	5.26157949940347	4.84635364938412	4.98091148259059	4.92323180129427	4.88344497962446	4.66397473747789	4.83973922304139	5.25210458264351	4.40099958514352	5.10679167021312	4.92126678081064	3.87394423141482	4.19171812459636	3.89329742327286	4.86624581578048	5.3004246944338	4.25764784314135	4.82992196485768	5.52832206872842	4.83996970894706	5.50025738517426	5.0474309870736	4.72771246775916	3.87210283060841	5.99262961439437	4.28856537356309	4.91335168362528	4.99413580202503	4.29961320418393	4.75637338992995	4.66339792908285	3.52735253801862	5.29381094752531	4.93636510884525	4.67062478814167	4.96485288703149	5.40633823105588	5.24832707964076	5.85391210491759	4.36435362184708	4.40682805718209	4.99124351806613	4.36762006526908	4.540414737109	3.84285191699829	5.80627604338816	4.73389294640884	4.54460072764089	5.09375311495037	4.53909691818178	5.20332777181204	4.637357530811	4.55383720618067	4.74985128184802	4.13697218837281	4.94515861701222	5.26507071955532	4.70535366299513	4.60259372200464	2.67030524239669	4.66728166129335	4.92990645484153	4.49132973833939	5.19190988518404	3.40738146802128	4.68920913816443	5.04145614429989	5.04431674824179	4.61901138994509	5.85345556666037	5.23312112674967	4.5875002835881	4.58094558609106	4.16999179843161	6.05801034802356	3.529260097939	5.09382733090324	4.98131998724785	3.66998960809531	4.91390191400377	4.82003612467456	5.50963892174763	4.37958657339193	4.58236778962795	4.77346715048271	5.29640809948149	5.03863100570405	5.34527641358303	4.31372611496279	4.56989941743027	4.73100070853241	4.95378203620765	4.97999309884377	4.34623547571477	3.80920060202867	5.65201308682273	6.20152170747067	3.53557322314234	5.02743693838415	4.26669500106134	4.32610446427131	5.04765918419748	5.24591452388233	4.46449469356673	4.21875221422342	4.82705559633589
CCNA1	0.342285460211716	2.35262486180172	2.74685245836335	1.70406774243063	3.09494573814307	0.895271715679085	1.69252780210348	0.555102199585112	2.11118648688745	1.47699818809617	0.947455613966596	3.6691355971616	5.19970433329409	0.460236236562149	1.93718858739753	0.445656359386067	0.28782615435862	1.7616945136284	1.78766203601201	2.07289469436971	0.269377690470368	4.67314403809362	1.75606270490166	0.355109833613961	0.565447775406736	0.929934351225885	2.00763432242348	1.89333838025464	2.87987323267268	0.139576023093239	1.08924265609776	2.98683916740134	1.17234407125381	0.919034289143626	0.460741855326356	0.263946666664049	0.630324231583392	1.7935998057719	0.564266911544	1.64343049511699	0.310148573084185	0.184642812550279	1.53399025551144	1.08703391827466	3.52790250216913	4.06456993787225	2.31508716558959	0.459017244405881	1.06407321952445	5.52453606506666	1.54361452261524	1.72082651266763	2.40133387057345	0.181927935112988	0.685131867801997	5.52899982693826	4.93008624042613	1.48015561089127	1.92955062098209	2.11330953748718	2.22256652604191	1.29124876397159	0.497134044130819	0.336591119226095	0.796044940225838	3.4722441099917	1.55949652613819	2.16688919140596	0.660061255794889	0.327938302431942	5.22024312443181	1.1801216200924	0.522928153667405	5.51152986442318	0.433457264979447	3.05951911897344	3.37253905023716	0.588523370186719	2.59891469250105	0.762635154931341	0.834730571449925	2.14209856116279	4.99322714065978	1.16174603967812	0.273420386726157	0.223976749032303	3.13776277933463	0.333684832667837	1.38130742781696	0.245281122551991	2.70831842302521	0.825250490839557	0.662096621904467	0.300481912791277	2.27157588474061	0.311943995419587	2.01827333899503	1.12614847699441	2.59230000952361	0.0765881284839391	4.24990861309517	0.301706108024199	1.46826669233891	2.00497752648257	0.707350548985925	0.260893727601571	1.79619279233361	1.52343126525082	0.353968409908678	1.22949225109509	1.40609921556854	1.36205696927731	2.60268199348869
CCNA2	6.03216951782661	6.18987390139832	6.01567571889831	6.70273538207094	6.69634580846101	4.82013434751749	5.29456508487556	6.14702561379728	6.14203291243011	6.51696745474646	5.55110494923737	7.12053753660395	8.36484785613048	6.41695571496369	4.5770709597647	4.26290780430021	4.72775087645569	2.10979025266186	4.68607782020962	5.8793530898878	7.18554178721954	5.41995916722134	5.52003486286656	6.52712396879226	6.0455301146771	5.82338622077148	2.31672964722462	5.75762022509666	5.57555172939703	5.68018756271126	3.99419536443964	6.2493693593478	3.69035308201273	4.17444567950764	3.07429796866986	7.47608166843655	5.37762809839083	5.65650508647029	4.77207937069253	6.64499282523297	6.33141806798003	5.67783992672249	5.10531027826989	5.3083301916182	6.20016815353344	5.56017342451869	4.83838611619266	5.91391671610767	4.9625349621858	6.96211750623835	5.44887195897217	6.14062132736869	6.03089635960761	6.31509281027149	5.47782883118419	6.13459232143457	5.86874486996635	5.53553339168033	6.06310832179983	6.20922854126262	4.7987649834508	4.80253438454052	4.19309706315178	7.18761627728217	5.0425878112293	4.99623782806994	2.78643036499119	6.40725829455038	5.64073129268005	4.98204921714641	7.1893210204867	4.87916781139511	5.40251688114371	7.02379817057246	5.88309591751643	4.42643817523924	6.53352955863175	5.6200889407725	5.49455186760711	5.82047478448125	3.61357927403371	7.12290965191365	5.95399912929848	5.35271844435456	4.74470179229408	5.25244424548689	6.22049738928573	6.79145596306636	6.3305095016333	4.97458936183211	5.61020135114063	5.56018368629856	5.41013003566942	5.25638379775503	6.2119239290296	4.14805473202893	5.52385232822597	3.53785829230465	5.16114891332797	5.62104442089634	5.52951314084843	4.27237283740167	5.25085327710018	5.95854635432371	4.47193072922439	6.00799259916053	6.87705732543427	6.13182171435765	7.69104265923487	5.41840540849893	6.47831554629555	7.08686851087483	6.46355976956331
CCNE1	4.99229424076084	4.06866494155823	5.43462234171249	4.16821196654763	4.91086514916691	4.55725407000472	4.75415821803595	4.23211798429455	5.1578790194308	4.71612817038043	3.02592024075086	5.55489563701419	5.50906541373737	4.78012676108022	3.72896838371043	2.10738896585865	2.30696583887424	0.986608418351622	3.96654449980397	6.78906015544085	4.90601551702548	3.30581266380042	3.5574742689413	3.77143563578535	5.5321595772905	5.26243558306638	1.69450519459088	5.2586722790759	3.00458629165144	2.7104253619208	1.58456748752901	5.87540733103904	4.06844406837001	4.58480522083003	3.32174603856889	4.816996920648	3.75169341902837	5.3216337932388	2.14350938503722	5.16281346432262	4.26085795279092	4.10208298137325	2.89801105356586	6.79333711117722	6.31466578002747	3.78460739112241	4.22104799869882	4.37749669579643	2.94927659697038	5.86692543825424	3.20670493108432	5.55297799586323	4.80705489543372	5.37920736310251	3.55758413879833	5.04041499092708	5.65194548426702	4.26362132402631	4.05842541511062	5.03551466063088	3.52003618657502	5.01173934046979	2.53639149469688	5.42678848146382	5.68281899927701	4.33249186241583	1.79571056942878	5.70014204989533	4.25230735438232	3.10274089488092	5.15644426844779	4.56103431883361	3.46235078615896	5.42604227015103	4.24795806874038	3.57281735758125	5.04925498971374	5.22458656968875	6.20444637754497	5.40200603050079	4.2737902179135	5.66494929858442	4.73896802621448	6.21707263450312	4.99160889813282	5.7237418060885	4.45633967069866	6.86285496792757	6.49101754462598	3.32258473278157	2.94100300726432	3.8351416684558	3.22886760053424	4.21136442488428	3.67991888545845	2.99675291838043	5.00460625651054	1.63694017485631	4.24449714232967	6.61597914608634	4.86900945044421	5.94304511676893	3.15043823773357	3.76948378187972	3.44973543956898	4.42771866694624	5.33838404889527	4.60757327233269	4.53564038921687	3.46733411900854	6.97976372915073	5.05662781584502	4.89906395196011
CCNE2	3.61944488813633	2.07735379178041	2.6838944942815	3.94211320256007	1.56874836145999	2.5541871698512	3.97608290365008	5.34637715743898	2.67130899346406	3.72025110132882	1.93810592234484	4.39118716115938	1.62346430137019	4.07458443247521	3.2491214613713	1.86157439621954	1.75712336526253	1.11517682432124	0.987326563781848	3.15212880671719	3.67416850671112	1.89911049058237	2.83221525117706	3.23780753220573	3.32522931772623	5.96932751767611	0.577932160410696	4.35391617184814	3.86184808817982	3.92544182057294	2.1016967614279	4.35988970131591	1.44547985085457	2.08068644901236	0.614981095870995	2.75681387046464	3.52400614065653	3.69215963579619	1.64898153088197	3.87367374600148	2.93836617388133	2.09370976968271	2.67924971244283	2.25483857372931	3.5623779439013	4.30734773292586	1.6646632831096	3.84183494447084	1.93114101158335	4.91240451306366	1.91446576286612	2.63138452457701	4.6939925540197	4.25489868531668	2.57042364178346	2.89326893775129	4.55035189644923	3.44054756585216	3.52559550051937	3.11970068433391	2.70974150491407	1.72333120706405	2.61879148874549	2.16672995160662	2.81325085777057	1.41664567835965	0.46746834001403	2.08458740186104	2.92473434988117	3.29747537358661	3.75439006335127	1.96994456875541	2.99364903402332	2.76871488418234	4.64349213045251	1.46370698782021	3.41750012446791	4.28442095572903	2.15878981839201	3.12484584780311	1.07124495036813	4.35245414599318	3.82761537364624	2.52201963556305	2.04690497678867	2.50078499309253	3.87939249619736	3.69618842596725	4.75806518444413	2.05256822331461	2.84498523706648	3.12995162576708	3.01250181498253	4.78159994580021	2.00010606618542	2.79808313985691	1.49867048716873	1.16541560564472	2.07361953214518	4.84476309772274	1.03890630949409	2.73435212283018	2.17782700842523	3.97298003619083	0.732935941525091	4.84218366517578	2.73065731856616	2.73837892880456	5.21857407117462	2.36135703286639	2.85540560411227	3.01162906203816	3.2655193853459
CDK2	5.73087480759379	5.97836272391338	6.28155770405216	5.54754213472945	5.57782431913487	4.71959454424417	5.71363029728604	6.16298160044407	5.88226370483169	5.83571012756922	4.8414579008245	5.99530557182458	5.51993114536348	5.82445313966117	5.1949951178736	4.21816352107805	5.13785582731231	5.53411087448496	4.29151577615528	5.81872007579256	6.11856716310183	5.41613369002943	4.54826944057609	5.05500812796233	5.60245148421307	7.37230910386085	4.56870019872774	4.89489273852651	5.71921900317457	5.9260724440327	3.67974467529918	6.79945474396926	3.67711234935871	5.41248562126072	2.90817795602866	5.84009549401018	5.11720741583388	5.95240590262992	4.19793500838856	6.22420686533075	4.37989716322114	4.99419594588557	4.86507428382581	5.01691774032379	5.89208031922667	6.09211170623685	4.63546221220436	5.48628731200856	4.64645318058928	6.25777845398902	4.54566330172666	5.44447215294614	6.0196629146731	6.48612168584021	4.58299818199276	5.33662656168562	6.22562723885839	5.53260641703762	5.26135802291273	5.85682732024644	4.90386484183344	4.64616201641448	4.52335143805602	5.81961767405303	4.5361290063473	4.13506822913875	3.25803843055647	5.53518980123701	4.89398957092613	4.82629929026025	5.06053315247163	3.73333318821729	4.53829582831197	5.88585482716915	5.98838419241311	4.66800319008475	5.81998725925123	6.27395192477399	5.05599926741406	6.36500962660434	3.97533680430636	6.06733555537379	5.0383134614744	4.93506777241271	4.65486920593011	4.36807470513697	6.80750882772983	5.45287348717791	6.3421372057478	4.37277215340267	5.27225071344374	4.80004256721322	5.03065594216111	4.94771747547239	4.96350424532028	4.65136698809666	4.77399150681807	4.27623979349257	4.53272657141844	6.14246795714288	4.90852215566837	4.33307082489774	5.60878133606868	5.30548615486416	3.7718122653437	5.69721187624579	6.33750449867239	5.69931119842079	5.58167673966001	4.54540976311601	5.05481393227793	5.46422759982452	5.48918134298476
CDKN1A	5.20992021798376	8.49480975998574	6.8953070245642	6.07797240181272	5.49231220570058	6.40209471218372	8.31329580689635	6.57870143266513	5.4538787100005	5.86229112851148	5.39377409158917	7.09107025189931	4.49836737832808	5.17684702819142	6.37535256772276	5.63283422704223	6.00155445276073	7.18674447457557	4.95303374561216	5.45179761788923	4.73865952949382	5.62715156267653	6.79475005216183	5.15695575702668	6.77626365800109	8.01367653068797	7.64679601654464	7.0382803825486	7.73983418340568	5.41916458210728	5.26501441086175	5.91204960447796	7.30605742843478	6.39648976225649	6.35724402274255	4.0610949653176	5.66165883653875	6.02398611082333	6.82149698600253	5.76905063583825	7.30092177301176	5.83885144331763	6.69778404809168	7.33021757314819	7.4670892617132	6.57582998934174	5.39644798268429	5.98098618447893	6.67123157688599	7.08403423378126	5.2148513894986	4.43235685339764	6.89718285904239	5.89184587908012	6.1595465265145	6.63820182211198	6.84487917210319	6.36789198348453	6.45707271291555	7.58719097412903	6.15537130819146	5.01963812536514	6.18336421997147	5.75309482452854	5.53685504206752	3.48085763360843	2.37700710390303	4.84849185705388	5.38629877412678	3.04085576105904	7.03286720634562	4.46231220376554	5.23966173738374	7.36909352437679	6.44429700512762	6.34131678792059	5.67112991383182	8.82959107571442	6.64054263130266	5.2262683746421	5.78724944362057	6.6201421336871	6.48906167556438	7.01750307723115	3.11844757518275	9.23594655827855	5.50180080758828	4.7504984058899	5.97418186769226	7.06643421036092	6.69909282184758	4.18478876921642	5.44262795285324	4.67190871837803	4.97479062879211	4.67038659070572	5.54941317138841	7.18011669089317	5.00230150814645	8.07850820911849	6.39048809049051	5.4309289550092	5.42264752220613	4.2094756248848	5.45020087014723	5.9674433668241	4.49681769959444	8.51862304814882	5.23488497168601	6.42513608841518	6.34626435455746	5.91861402385359	6.64459838895067
