TCGA-E2-A14R-01	TCGA-E2-A1LL-01	TCGA-A7-A4SE-01	TCGA-BH-A18V-01	TCGA-AO-A0J6-01	TCGA-C8-A12V-01	TCGA-A7-A6VV-01	TCGA-E2-A1L7-01	TCGA-EW-A1P8-01	TCGA-EW-A1OW-01	TCGA-E2-A150-01	TCGA-S3-AA10-01	TCGA-AR-A256-01	TCGA-C8-A27B-01	TCGA-EW-A3U0-01	TCGA-C8-A26X-01	TCGA-EW-A1OV-01	TCGA-A2-A1G6-01	TCGA-EW-A6SB-01	TCGA-EW-A1PH-01	TCGA-BH-A1FC-01	TCGA-GI-A2C9-01	TCGA-D8-A27M-01	TCGA-AR-A0U4-01	TCGA-A2-A0YE-01	TCGA-GM-A2DH-01	TCGA-BH-A42U-01	TCGA-D8-A1JL-01	TCGA-BH-A1EW-01	TCGA-A8-A08R-01	TCGA-E2-A1LH-01	TCGA-AR-A1AY-01	TCGA-E9-A5FL-01	TCGA-AC-A7VC-01	TCGA-AC-A2QJ-01	TCGA-AR-A0TU-01	TCGA-AO-A0J4-01	TCGA-A2-A0SX-01	TCGA-BH-A18G-01	TCGA-AO-A124-01	TCGA-A2-A0T0-01	TCGA-AO-A12F-01	TCGA-D8-A1XQ-01	TCGA-A2-A3XY-01	TCGA-B6-A400-01	TCGA-BH-A0WA-01	TCGA-BH-A0RX-01	TCGA-BH-A0B3-01	TCGA-A7-A0DA-01	TCGA-D8-A1XK-01	TCGA-BH-A0BG-01	TCGA-E2-A14N-01	TCGA-D8-A27F-01	TCGA-AN-A04D-01	TCGA-A7-A26G-01	TCGA-A1-A0SP-01	TCGA-AC-A2BK-01	TCGA-AO-A128-01	TCGA-AQ-A04J-01	TCGA-A7-A6VY-01	TCGA-LL-A73Y-01	TCGA-AO-A1KR-01	TCGA-C8-A3M7-01	TCGA-A2-A04U-01	TCGA-LL-A5YO-01	TCGA-AN-A0AR-01	TCGA-E2-A1LS-01	TCGA-A2-A0D0-01	TCGA-A2-A3XX-01	TCGA-AC-A2QH-01	TCGA-AN-A0AT-01	TCGA-AO-A0JL-01	TCGA-A2-A3XT-01	TCGA-EW-A1P4-01	TCGA-AR-A0TS-01	TCGA-S3-AA15-01	TCGA-A2-A0D2-01	TCGA-D8-A13Z-01	TCGA-EW-A1PB-01	TCGA-HN-A2NL-01	TCGA-A2-A0T2-01	TCGA-AR-A2LR-01	TCGA-C8-A1HJ-01	TCGA-BH-A1F6-01	TCGA-E2-A158-01	TCGA-BH-A0E0-01	TCGA-AN-A0XU-01	TCGA-A8-A07O-01	TCGA-D8-A147-01	TCGA-C8-A131-01	TCGA-D8-A27H-01	TCGA-B6-A402-01	TCGA-A8-A09X-01	TCGA-E2-A14X-01	TCGA-B6-A3ZX-01	TCGA-D8-A1JF-01	TCGA-AC-A6IW-01	TCGA-AO-A03U-01	TCGA-AO-A129-01	TCGA-D8-A143-01	TCGA-A7-A6VW-01	TCGA-GM-A2DF-01	TCGA-LL-A441-01	TCGA-AN-A0G0-01	TCGA-GM-A2DB-01	TCGA-OL-A6VO-01	TCGA-BH-A0B9-01	TCGA-AR-A5QQ-01	TCGA-A8-A07C-01	TCGA-AN-A0AL-01	TCGA-A2-A0CM-01	TCGA-AR-A1AR-01	TCGA-BH-A0BL-01
ACD	4.93902852690069	5.20762619493294	4.56329972419826	5.05550851497448	5.14685587735218	3.99418411825312	3.94726506338049	4.8420169198268	4.18426683169464	5.25921963148256	4.02606925595613	4.22581086372447	3.8015163302131	4.40148708517634	4.18165838521328	3.34895645474827	3.72782525544592	5.09525279760946	4.28273000577371	4.02233904033302	4.04356634306305	4.23187841184434	3.79654706818522	5.05362708281138	4.33924515665733	4.57515274952083	5.20178685583318	4.53935500106032	3.92692828297055	4.23429678800142	3.31093103055113	4.11354071968325	4.35771499951281	4.99521486314233	5.18785309380677	5.63040469230563	4.35476697501252	4.41084165394794	3.52928348966772	3.54784932372725	4.1767525617175	4.93412527614109	3.89793707662214	4.39877464868353	5.10056993348567	3.89261304579397	4.57572616235098	4.34200648892238	3.44924117122892	4.3599420803426	4.28076398213334	4.57819672710481	3.85624568783502	3.70565779444939	4.32812138251529	5.37673758539597	4.17891929190294	4.49497964216134	4.13341743892113	4.5824040201525	4.30741085754914	4.42605119998773	3.5474166043534	4.87531304434786	4.30873923352798	4.13327522585313	2.61968759533914	5.23840987977784	5.57227236283256	2.78481399135249	5.04109433391614	3.57683963635071	4.04022444249167	4.10687006372735	4.70958413149931	4.21790173468119	5.51986694034002	4.08181499480852	4.12483987979598	5.27742359942485	3.47923309955565	4.0837840709509	4.8733136772276	4.44980579579585	4.7604759291765	3.85450109771273	4.41195246306714	4.64550017211267	4.56734164371595	4.7097271092743	4.38825470899846	3.52366927409928	2.49353947093159	3.81184412043614	4.81369072909357	3.70119461324057	4.37307928646903	3.50402772594824	4.76670882386553	5.38199650322102	4.8274431007245	3.68309284117016	5.26023346052641	4.0572557533919	4.54979183509273	4.22166113380353	5.16470438499064	5.30578120650094	3.22947110522865	4.8261323445467	4.75686152683973	3.54678676107465	4.76504755892366
AGO1	3.23697081192817	4.54808265170102	4.66220510679836	5.1114576780908	4.20142993511947	3.81044398967817	3.75247220454107	4.29491368677173	5.51690465287036	3.87593888000452	4.5424047045296	3.40937449677642	4.15116815388732	3.92365959806239	4.29242516375299	2.7615361545117	4.11358740946665	4.32784197669598	3.33659107513017	3.68915054339271	4.18857778699482	4.09449333630344	4.6100060289648	5.66462023955335	4.72997183486034	5.34264628843191	3.04677327861584	5.32770442272624	4.46615825656417	4.85254618947287	2.44093109302163	4.95849050080148	3.20282308180487	3.81658530689211	2.57304921485875	4.51326341166351	4.3823954937697	4.16722263973371	2.67359734705329	3.85944053705439	3.60316503201335	3.81314120043642	3.99620332261978	3.4928477061276	3.59941373254953	4.90113792072789	2.77430269900123	3.53002584366285	3.72614621308162	5.33217453523654	4.05882348346177	4.28451281292005	4.69394932766614	4.14382617742818	4.44371582401472	4.91573484500911	4.26703900757016	4.40925091800966	3.51914044395362	2.79458588023538	4.4695557731977	3.63078505455693	3.22350307608259	3.29654416126946	3.02252093172328	3.59397732851067	2.03661560454747	4.30932595235832	3.77203240671763	4.97892240062597	4.77088912421001	2.09363312273597	3.21449783317133	3.88693320154032	4.64317069855806	3.87430159150777	3.98770570514845	4.33749758510533	4.06225907576878	4.26363264218068	3.4372346348149	5.29348910006473	3.54593277203113	4.14510498047558	4.68513259002242	3.51236482941998	4.46823321967783	5.26521788594449	4.49465513026004	2.98716538932671	4.08879459202559	3.08325449007724	3.33851232556928	4.00735202170058	4.23315318635124	3.19126914263542	4.11078550197452	3.69649357516395	3.63338373002715	4.45873361871963	4.04218315553799	2.96498359480107	4.10953641975563	5.03484807486755	2.43559610652736	4.06889373508328	3.65987558492276	2.95939204148747	4.8011186100131	3.99750799410804	3.67359769104712	4.52683708614523	4.28429776459229
AGO3	1.89086741647958	2.89314005748583	3.33996896776359	3.1548513585954	2.56565497431146	2.21455146153687	2.39042719245169	3.04911061851031	3.18136547826414	2.23681377326629	3.09061736484016	2.49887667545563	2.73182968964027	2.29046573974479	2.85390449579402	1.38408541630341	2.3989104201801	3.24464747481926	1.73728905912518	2.05128885473646	2.48701827888593	2.83564807515974	3.12880547243779	3.38121345828021	2.61693119865798	3.35708513495029	1.82558108896801	3.10860372146157	3.52320423176861	3.347977394759	1.24712970090326	3.36381192874929	1.59580294905374	2.25645938271407	1.11905496525401	3.0725116223513	2.95888400250353	3.06161478102621	1.60695183039302	2.47835309710383	2.14490117305452	1.9180199950555	2.52954738013252	2.47766405415559	2.70525350876026	3.10537432684739	1.66495994841421	2.11740317272151	2.84608388396076	3.48900321982142	2.48280114311794	2.87286149695294	3.44563203134727	2.39441889989178	2.74410358815637	2.67466517653244	2.93499061327145	2.99843648853611	2.23628335886217	1.61159323323871	3.02406489722873	1.80972882534718	2.78003902540592	2.58493147844317	1.79265955993922	1.59621635418191	0.924501892018485	2.51477107867614	1.88023136893914	4.07366696633716	3.22865992278262	1.20033056002226	2.33087174690273	2.51090448383961	3.30589137026282	1.93869354291013	2.2959534972041	2.81258640576601	2.15927204430276	2.80032356335153	1.97702761305664	4.34637124103882	3.01088732195754	2.61747015134529	3.33813804779911	1.98602463548995	3.09161698272997	3.05004787387647	3.08788840038972	1.82096580236959	2.77815633646171	1.79991305866862	2.15809217575792	2.35665003021138	2.75468086073858	1.57937286659925	2.11951638690219	2.51211293183697	2.1358180739412	2.55678332089204	2.09577702360199	1.75310872173619	2.6251067422668	2.53443859704044	1.55001800436692	2.82850905866142	2.51910246715481	1.68777173804908	2.84553933642702	2.21117939498075	2.84998046055101	3.26823910944082	2.66820310644585
AGO4	3.68615700879263	3.49950101651335	4.98734886049087	5.64463709512277	4.39291235468165	3.52356642224505	3.80622351187094	4.13974445319821	4.95148073233352	3.78821850639379	4.87641172024736	3.85196313863069	3.97231332807775	3.91346632903945	4.60992500516099	2.17375759600659	3.57530672101345	4.86624526427244	3.271592487519	3.80115279994047	4.30680526296515	4.76482068333187	4.93139324195809	4.71771603104681	3.58091925454846	4.70070912693192	3.2217390312612	5.34116954216908	4.31448149032631	5.11473786989081	2.95034570874158	4.98600451203209	2.24081778345729	3.44600864301091	1.85761544250429	4.45286443640435	4.58745154800787	4.97559709818308	2.78560150110788	4.0379338137935	3.85518933810181	3.49335347804624	4.0998045930878	4.29167433800404	3.89822850655641	4.00704084560927	2.8865874039345	3.81756796736438	4.05100579037292	4.66774430246058	4.48468915252917	3.67115591421648	4.90882830944024	4.10303186454497	3.97210956030339	4.25942687455336	4.3742234490026	4.38299899015677	3.56594815255919	3.20421924967431	4.46167799205393	2.84754558761416	4.09139523287322	2.28862872628234	3.44141150829333	2.9898430219525	2.22052798536401	3.89155924455238	3.50155214980629	4.14478931750198	3.87528600327649	2.74716692257716	3.86059287529003	3.8787900260524	4.77861401662392	3.45562533952588	4.11662423298618	4.85967255660545	4.64542183306781	4.21661017107043	3.14625907621337	5.34152907615637	3.71751511637348	4.4955303910145	5.24559591891784	3.97596538076908	4.19103348630223	3.86034062966911	5.11090071148912	2.60225888452219	4.51130437543179	3.704410510717	3.116098847195	4.63756715833414	4.24994227464392	3.07639272227352	4.01460939302741	4.0542386044287	3.86438808066194	4.01606945694391	3.45628378458984	3.08824591440301	4.45899446067519	3.76659548024577	2.59291474170579	4.82182701269292	3.83341971416566	2.68611662320677	4.42158829121792	3.26872206559816	4.05750062864045	4.95335749234297	4.52894832828118
ANAPC1	1.7427485397284	3.10300662788139	3.7711142616563	4.44564771330972	1.90600646297366	2.84601197327002	3.15086915204985	3.04855534246782	4.08775023042904	3.14409670455464	3.23861447619834	2.50991931587483	4.28201733425032	2.96590625186447	2.60362151900848	1.79389212356513	2.43925321071889	2.93392932808989	1.72667583897007	2.98680366632529	2.71793268998691	2.45725115284259	3.49479622096997	3.33191008376511	3.83610074901458	3.61032951141573	1.7133255863103	3.71207412192351	3.37187722937107	3.17133813385071	1.15871145393667	3.3907184461214	1.18604277955698	1.80421052916195	1.0117503381321	2.42075841733396	3.87101295695617	3.44626261152578	1.48540782309828	4.47074229840613	3.22833122599012	2.74208899300501	2.74545512681093	3.12227706414731	2.8094071488585	3.5955771496572	1.62314258741778	3.10621167478548	2.97312645960533	3.81515549728461	2.8875907227166	2.57690151090852	3.99487866285416	2.01670609803342	4.06720259643026	3.60218737758489	4.04660751096583	3.35388824066279	3.1611032032415	2.59330262597515	3.05007262110268	1.85062126706226	2.13893375763236	2.45962799045845	1.8088168642157	2.08930413942625	1.59939305566885	4.36365289871705	2.70621325816649	3.71116103494064	3.81910334303268	1.49442286849478	3.07408653877127	3.18184227442917	3.11275021056037	2.28988578845931	2.53152484135465	3.42522954083259	2.02508713482177	2.37809367162338	1.47398259609938	3.55252010103245	3.01263355426273	2.87512699419714	3.14017610448928	2.06203066804094	2.94338192854868	3.96668353072745	4.3278221903294	1.74898460908638	3.0415538125775	2.50610465197816	3.30711907652567	2.545878004776	3.24452739595632	3.2774912181517	2.58366236562407	2.56820541084185	2.51845907917987	2.8461029135817	2.35940312642387	1.55252343249502	2.79484850401354	4.03751211874494	1.57991761723936	2.7965897086609	3.80780790303604	2.04540441446913	4.06960181645732	2.48904983710635	3.0256401209305	4.46798011377527	3.21209944669622
ANAPC10	3.21541240877089	3.09170655970988	3.17852881608101	4.67677895439611	4.85582215012472	2.99631820760766	2.96889153867362	2.70730574333388	3.0570484025224	3.18627031642953	3.17539344155815	3.11382025088321	3.72816713495608	3.34181808024492	2.63386872260569	2.43107234915083	2.94586547896618	4.18580940682142	2.52494332386271	3.42677836519023	3.81939009810212	3.52419230125469	3.16884512519029	3.57104744829776	3.18637454168111	3.26237731304435	3.21189798172771	3.81842029215348	3.9504325733994	2.70502662825779	3.01599185220526	3.15244639343432	2.3528532259735	2.71918953930718	2.06550677740966	3.81381675476828	2.89667136924118	3.19134927577138	3.43371660960349	3.82883614793096	3.87743598599746	3.3334673339354	3.0956226194546	3.40820540201163	3.35509085395921	3.4047996046672	2.76879792363157	3.33155586486118	2.72287590740615	3.90059304084403	3.62211944336519	3.3954644155463	3.17152669671047	3.57856889144085	3.41927964996935	3.36384729397238	3.09405532650118	3.54710884804275	3.27564420233937	3.58297343740339	3.56169214524874	2.29500162389894	3.71985213648873	4.24946241814018	3.43057650982898	2.38709782265306	2.87677727245512	3.52589329567456	3.16319031865593	2.41596680412957	3.07743428695984	2.84753431383046	2.73322059561673	3.65712190171886	3.152555835606	2.3885422412714	3.57121960821588	3.74798635645926	3.23557410595318	3.39331278047822	3.03445914042717	3.99958130825575	3.14521555155004	3.0948288017374	3.85452015966405	2.64334334173609	3.66365686129993	3.67792395271164	3.68506650184255	2.95426728003753	3.3508253828644	2.92158272258335	3.26115053543125	3.27421280201656	3.29508044200637	3.28975827579335	2.9176116722118	3.15312879273689	3.02792577020673	3.82274789354515	2.83065595611403	2.41871415379401	2.93476944111278	3.18585796978286	3.09653908849838	2.82564031232128	3.89545370677654	3.78617333802055	4.33812577066251	2.77845870733304	3.69342006592691	4.20685464120078	3.81548856373087
ANAPC11	5.81697210959197	5.40954686215148	5.53140345655376	4.75482893946112	5.83915411906696	5.68390738685247	5.49631180366515	6.41518799134955	5.38980838360311	5.82668224645987	5.03280715544097	6.16961373283013	6.08052051051151	5.05168364714985	5.87027729647107	4.84362452000058	4.75255608810248	4.82281171619736	5.38794616243015	5.77114023702332	6.08887223387188	6.31278607345526	5.16592874273481	6.28781202958131	5.76266623372638	5.99570997167243	6.18680810506705	5.77446742795338	6.18694524033411	6.39834502153974	5.58905659166358	5.10167980767571	6.24659318057628	6.50886852599701	7.47659935637713	6.27726503451493	5.34975234147389	4.99129549441726	7.14445676209031	5.16068256739017	7.19026635556607	6.1355708572523	6.23081363191852	5.85940265327239	6.96360374600038	5.8009564205797	5.46746097055778	6.27682125632869	5.63241656590394	6.58324910987538	5.55599677025705	4.4732649435928	6.23413889141712	6.64763429518539	5.17751642228779	5.64357120097419	6.59659928899869	5.24966943281234	5.26636905610956	6.4940296507854	6.77936599251479	7.12775148634769	4.85495834649919	6.30485141343351	6.40420985449935	6.30890699765758	2.84026304871652	5.69871938326803	5.95566094936081	2.68825496518528	5.78020324625149	4.82527637806124	6.91037261363039	6.67518657757584	5.18718389345682	5.22254185514094	6.01140035127446	5.09245359100453	5.65961615309952	6.79931972689851	5.01024758519513	5.10973902179963	4.71167867481737	5.11329334959104	4.76965568816452	5.16050933268348	5.99789579923258	5.92042738193318	5.52988180289348	5.33094225051722	6.31546399377898	6.41433851472064	5.43685031368239	4.07779474489887	6.4875404862231	4.765082896306	6.56326064135808	4.68739422612211	6.02262934141475	5.94448246943885	7.79479368203552	5.11272383718079	6.39082919478474	5.49344027188548	5.92431167808821	6.80186221750513	5.90015605943514	6.57709249453706	6.23181734125482	6.0062256270879	5.88053714840517	4.0982014003596	5.14681581688511
ANAPC15	3.37580963664288	4.62385941155639	4.29075993912375	4.19234455036883	3.9786621305787	3.0394970974552	4.17087493763515	4.00862794492433	4.19228964065262	4.19163157554691	3.39576009989338	4.06739517283	3.86344703665126	2.93360568503502	4.13337149557789	3.63466401509361	3.67657094271833	3.65090576455236	3.38668505901729	4.15636648363268	3.4402817447397	3.67328189055326	3.38909606136086	3.57011477658033	4.2060364018846	4.28389649282518	3.86362319836251	4.06649171281216	2.95793573105103	3.29943410171741	2.71996933648205	4.26734879091142	3.72415476719217	3.98235937116224	4.14205881657338	4.56065557215069	3.37642819720195	3.27388083015974	3.86963012285722	3.91923947058795	4.10617707463331	2.97606767459746	3.48214993179655	4.6933761069078	4.17773626783674	3.57367922035367	3.58589990455961	3.66922461571861	3.80714373526793	4.55759460383794	3.67082844864168	3.46149403850805	4.17794252282965	3.75966953803215	3.31929174425404	3.96908462737959	4.02681401705864	3.66316153054528	3.66916112969094	3.46991034498475	3.23114534958846	3.53800070936624	3.5274874628388	3.55967507262273	3.69930328032385	4.48538632053598	2.70928946360155	4.50797351420064	3.08798061795903	2.24467604810045	4.01165273909402	2.27348846749086	4.14682226110753	3.56085557875793	3.15011743880352	3.41437273357052	4.47741016733622	3.25612095550296	3.67033244459378	4.95124070643814	2.95131834661088	5.07527756991245	3.73851568670103	3.32462748459071	4.20345050247513	3.19833275956156	2.98170614998033	3.47906396834474	2.23696046386449	3.67395484648452	3.78252970410775	2.68993577626217	4.17515626486367	3.79032397115918	4.20407160194684	3.37534600014559	3.35633502153718	3.34833358826151	3.99606555705587	3.96901457034394	4.20391339090259	3.35330811949033	3.12757090100268	4.38411369665733	3.67162834592794	4.31275635539221	4.20180256387425	4.46693866677502	3.24372263994535	4.46328813499933	3.48700729679174	3.07186555866372	3.1548694666284
ANAPC16	6.72876153840473	6.32242995931261	5.45340823310598	5.98961811249792	6.07081622695139	5.83431379990462	6.22255231730032	6.8728902620615	7.0853195002441	5.90730945419265	6.81798767437657	6.0497670322755	6.61361115114351	6.71253432789512	6.00603587141519	5.58260857568488	7.69878791548332	7.36552550606392	6.20548169966891	6.3195712092579	5.75622518982309	6.61842134524786	5.9776598049855	6.35779988168334	5.64593818886911	7.28447873748687	6.73015635692097	6.94256405257111	6.19072477230303	5.3538811979957	5.52690975277199	5.79066928714314	5.57287086938464	5.51954497401643	4.99859536318419	5.72253142407097	6.22955024953807	6.12946080999352	6.02914465073296	6.29269662904353	5.17919495593205	6.16248551782237	6.32715514644146	6.46130269652698	6.14779973999939	6.47333579323555	6.28028756239207	5.79186701218965	5.97985292115323	6.98978601463858	6.56630536003608	5.95830306633047	5.72929282961181	6.2147629047789	7.01016510603365	6.00731826509669	6.53646077056423	6.53788696531766	5.92113507447098	6.39412331717709	6.12981488269853	6.46417633694999	6.82096749858116	7.59125021572663	6.45196166717029	6.255693005597	4.93747187850922	5.90421308371625	6.39503486151074	4.18114002138389	5.67919777848377	6.23955107802507	5.78565595571842	6.8161622038946	6.56578586678115	5.72027208655874	6.12288262158705	6.63355534874565	6.04543942290391	6.00808675972696	6.70063653522031	5.61880675187094	5.66197277413097	5.66905300963187	6.63871601920335	5.76054558798546	5.38797849689864	6.69519731740219	7.05527322231277	6.40501947896487	6.42105997562443	5.82744439088785	6.44030551659768	6.09622241431343	6.83473895628708	6.46402471975501	5.71274498223097	6.46100225175827	6.44637732772427	6.1857777890861	7.08439379658454	5.56008137377566	6.3745194641724	6.16799137272122	6.43309110669835	6.41801624872601	6.7436355957774	5.66658007482027	6.03759170241234	5.51320183490929	6.61524684006971	5.77253769103816	6.62823091327428
ANAPC2	3.66111494659966	5.36495079934363	5.13373364999833	4.42542446924169	4.01147830206201	4.28866389357097	4.70618134656161	4.50622115330817	4.46880931219037	3.89935377893581	3.72515584947142	4.70289437316832	3.57049310451941	3.24969194316593	4.34667378470248	3.5399560147222	4.33381039360644	4.40339203508542	3.54195375786413	3.88074771610428	4.9792271658326	3.73073891352353	4.4799270281682	3.79820539983489	4.08068370510287	5.4683747493541	5.4220761209911	4.16223884768767	4.67283355571369	3.85073052413273	3.21662520104574	4.17672511659933	4.19933592135009	4.7796187624451	4.48449230916846	3.36838139945302	3.96771090128154	4.23621347040429	3.68058684004867	4.39362975235361	3.71242522164852	4.33929716864579	4.37906950200098	4.95686613361309	4.81098908218319	3.78149530556639	3.78476182307408	3.97888481404376	3.88905603588129	4.47042305463672	3.5970356103654	2.9473642581723	3.80129741920307	4.14199617725506	3.59069074811662	4.45508613975363	4.63796583931478	4.76887041024914	3.63700736438494	5.68351839567022	4.53423340649714	4.99436628680828	4.89214877607785	4.29101728991279	5.11912047827033	4.97559793382707	2.3558163663852	4.461367568741	4.72383206426734	3.04690559602154	4.57880238094071	3.17532906628044	4.60948371682039	3.86873481225181	4.44714443208758	4.45546006983833	4.17571080264032	4.54227876314013	4.38498586450171	4.72496736877476	3.68756208704885	4.52780660836238	2.46078768730635	4.19367537558369	4.7080181996914	3.68810102427302	4.06813110007236	4.2848732527528	3.83843753401936	3.81402358814417	3.93748714818023	3.89876515330684	4.56080916433619	3.60369228123838	5.10623748567515	3.00476299330452	4.33980117244517	4.23297114898763	4.8783256674239	4.38229740027558	5.70569120677221	3.44440024722739	5.0501560877802	3.8822770607931	3.99563510022361	4.97490519931998	3.9588312186219	4.94247502334029	4.85106193737015	4.26881926372291	4.52472480659712	3.66314797996547	4.11506512753639
