TCGA-E2-A14R-01	TCGA-E2-A1LL-01	TCGA-A7-A4SE-01	TCGA-BH-A18V-01	TCGA-AO-A0J6-01	TCGA-C8-A12V-01	TCGA-A7-A6VV-01	TCGA-E2-A1L7-01	TCGA-EW-A1P8-01	TCGA-EW-A1OW-01	TCGA-E2-A150-01	TCGA-S3-AA10-01	TCGA-AR-A256-01	TCGA-C8-A27B-01	TCGA-EW-A3U0-01	TCGA-C8-A26X-01	TCGA-EW-A1OV-01	TCGA-A2-A1G6-01	TCGA-EW-A6SB-01	TCGA-EW-A1PH-01	TCGA-BH-A1FC-01	TCGA-GI-A2C9-01	TCGA-D8-A27M-01	TCGA-AR-A0U4-01	TCGA-A2-A0YE-01	TCGA-GM-A2DH-01	TCGA-BH-A42U-01	TCGA-D8-A1JL-01	TCGA-BH-A1EW-01	TCGA-A8-A08R-01	TCGA-E2-A1LH-01	TCGA-AR-A1AY-01	TCGA-E9-A5FL-01	TCGA-AC-A7VC-01	TCGA-AC-A2QJ-01	TCGA-AR-A0TU-01	TCGA-AO-A0J4-01	TCGA-A2-A0SX-01	TCGA-BH-A18G-01	TCGA-AO-A124-01	TCGA-A2-A0T0-01	TCGA-AO-A12F-01	TCGA-D8-A1XQ-01	TCGA-A2-A3XY-01	TCGA-B6-A400-01	TCGA-BH-A0WA-01	TCGA-BH-A0RX-01	TCGA-BH-A0B3-01	TCGA-A7-A0DA-01	TCGA-D8-A1XK-01	TCGA-BH-A0BG-01	TCGA-E2-A14N-01	TCGA-D8-A27F-01	TCGA-AN-A04D-01	TCGA-A7-A26G-01	TCGA-A1-A0SP-01	TCGA-AC-A2BK-01	TCGA-AO-A128-01	TCGA-AQ-A04J-01	TCGA-A7-A6VY-01	TCGA-LL-A73Y-01	TCGA-AO-A1KR-01	TCGA-C8-A3M7-01	TCGA-A2-A04U-01	TCGA-LL-A5YO-01	TCGA-AN-A0AR-01	TCGA-E2-A1LS-01	TCGA-A2-A0D0-01	TCGA-A2-A3XX-01	TCGA-AC-A2QH-01	TCGA-AN-A0AT-01	TCGA-AO-A0JL-01	TCGA-A2-A3XT-01	TCGA-EW-A1P4-01	TCGA-AR-A0TS-01	TCGA-S3-AA15-01	TCGA-A2-A0D2-01	TCGA-D8-A13Z-01	TCGA-EW-A1PB-01	TCGA-HN-A2NL-01	TCGA-A2-A0T2-01	TCGA-AR-A2LR-01	TCGA-C8-A1HJ-01	TCGA-BH-A1F6-01	TCGA-E2-A158-01	TCGA-BH-A0E0-01	TCGA-AN-A0XU-01	TCGA-A8-A07O-01	TCGA-D8-A147-01	TCGA-C8-A131-01	TCGA-D8-A27H-01	TCGA-B6-A402-01	TCGA-A8-A09X-01	TCGA-E2-A14X-01	TCGA-B6-A3ZX-01	TCGA-D8-A1JF-01	TCGA-AC-A6IW-01	TCGA-AO-A03U-01	TCGA-AO-A129-01	TCGA-D8-A143-01	TCGA-A7-A6VW-01	TCGA-GM-A2DF-01	TCGA-LL-A441-01	TCGA-AN-A0G0-01	TCGA-GM-A2DB-01	TCGA-OL-A6VO-01	TCGA-BH-A0B9-01	TCGA-AR-A5QQ-01	TCGA-A8-A07C-01	TCGA-AN-A0AL-01	TCGA-A2-A0CM-01	TCGA-AR-A1AR-01	TCGA-BH-A0BL-01
ADGRB1	0.168336887846594	0.150101783625748	0.569774354553503	0.370757244358968	0.374480968955394	0.420444207657077	5.51696591528796	0.348691578232513	0.470084663723996	0.0832243588580608	0.0993312063857958	0.388870461028239	3.12433492382268	0.0318056354703467	1.64014748284991	0.146446315892032	0.282281873486555	1.54038422767627	0.0823330146062289	0.285916015883157	0.138116038736247	0.455405365298407	2.71840783469306	0.348418714784395	0.200038496795474	0.756259442853727	1.59431826352892	0.954205468934405	0.631921932733364	0.179599513935068	1.20729989182902	0.940402984445973	1.42721768067497	4.18754182066636	1.25485326601973	0.655304971632949	0.25047483962661	0.348306769157742	0.220760600672399	1.34733911523972	2.67642753584279	4.2089943317013	0.259916841016123	2.56835031548714	3.0222340803339	0.475261893372813	4.21800985930054	0.46575475466819	0.678199165885051	1.07121708077992	0.166584418349831	0.0767343021755062	0.516486108712611	0.106665480109838	2.8661427894217	0.0639211623723516	0.0962950763984648	0.716327623498325	1.94795013409232	0.641145413156528	1.16168320741813	0.779464294734807	0.72334263649438	2.49789148089671	2.10302356619654	0.116591103417458	0.0259563103294981	0.352533782980109	0.790845586697729	3.00800723226246	0.246808740335231	0.298030746029164	0.334926874049151	0.213433242518126	0.753661962901817	0.617115456456492	0.0907919229230633	0.18656002735982	1.64420371278475	0.622714364696858	1.23564747223162	4.08822945963995	0.898270532106051	1.93202968912953	4.31958347465487	0.161853947843145	0.212370725637105	0.21877091149313	0.79633689731545	0.0743772531640527	0.379633279253228	0.568743445275044	0.534483531959138	0.701865728969803	1.85472868737813	0.204462100555635	0.364947303426911	0.10416775338886	0.376755705385447	0.0871357618437576	1.00967869288526	2.89848739454368	1.18680355290131	0.085469004725701	0.370149026252751	1.0305773796932	0.192051475409851	0.553596837247843	0.195548691948195	0.145235466757014	0.314758948035408	0.183280408654084	0.647072597120136
APAF1	2.84997692591978	3.34758967769107	3.32333126574876	4.16563049139265	3.51761373458232	3.05977205809924	3.03314067156131	3.88101089060019	2.80305915068698	3.94542628395047	3.32079230691273	3.16506245848899	2.99337435766409	3.80903300588726	3.13310023850569	2.3433118626479	3.07978962736352	3.94817761671723	2.02121039939236	3.14399523453739	3.17419558671725	2.84309637596792	3.96038036036042	3.32209914111071	4.11538827451551	4.86616287171655	1.90070698232518	3.45175362635758	3.65640301173213	3.1057754326152	1.54499856946185	4.67021284010082	1.53731748806281	2.75593217444263	0.562574735357857	2.73396175140639	3.08712219619209	4.27065751734004	2.19543065540653	3.88106080989769	2.09607465050638	2.5581669053437	3.27494377990657	2.72360211501129	2.58030343322645	3.78823245035498	2.15809481949035	2.89013436534688	3.00307476493226	3.50342866155378	2.94811601198525	2.58709983999591	4.31423410628397	3.36953869694106	4.16313147101015	2.69404848207907	4.11072659050613	4.00782900332402	3.00771571867549	3.07038712973429	3.03832460241674	1.17454958691697	3.61320350811287	1.73570014081489	2.41799075315332	2.5481120445114	2.60158242026581	2.20080502327229	2.22413637454157	3.33975667666165	3.80683801597583	1.45396495391833	2.69849451282314	3.2431747531874	3.78993070082694	2.84780565431376	2.97272649538644	4.55474075009418	2.35407856304607	2.83540166707321	2.01356589433274	3.18437616269998	2.45283839817075	3.33025004325851	3.78912197462744	1.8913974376422	3.98151476783869	2.60605191617862	4.23205257538464	2.32607992276628	3.5222089402211	2.22011701645779	3.22052149944944	3.21348735398622	3.7578645766251	4.17386044886649	2.03806169035503	3.12966681128556	2.34235412782737	3.09093026261441	1.54723032316188	1.86141192987266	3.53409245213953	3.7099751221424	1.52229769578047	2.98379720531355	3.76462113570049	2.43994561901282	4.0355106358655	3.00666030136958	3.07829021764761	4.16772793800334	3.78591271784171
ATM	2.16255553975387	2.41602220718787	2.96010899989737	3.40984885574882	2.65838880037553	3.46710956859051	2.83332658347133	3.06799847893822	2.80661689996389	3.6303995699808	2.58667373187601	3.10714290752537	2.84823560352455	2.48244248030094	3.5769724166323	2.1985466347744	3.63957123269156	3.93784046832198	2.16102043829573	2.25633950396575	2.19481253470035	3.48728355554867	4.18229193140085	3.21891439556689	2.88528071478266	4.02284661581047	2.17077400656376	4.0592148265205	3.62435772251056	3.94508848328101	2.42600709447097	3.55016980207941	1.93884444836368	2.43389993615623	1.18029664315904	2.37863203835483	3.64908557768454	3.53480265967013	1.8226581979842	2.5466192268006	2.25462781151536	2.39224655382148	3.26335390339461	3.29876809875433	2.19150661933567	3.16889263578606	2.29775298822549	2.38811257308253	2.84224859560773	3.06081825803237	3.06307087334629	2.89251472474032	3.66902094744452	2.51896087614668	4.50777443323922	2.64873555280063	3.49106550721938	3.99493628331156	3.31459116361856	2.16562418390905	3.65696002457399	1.41934170008527	3.45784574818601	1.179737601452	3.23510369372532	2.60854606931213	1.67631471620969	2.38415736153277	2.19908675445899	4.0991733729069	2.40472275522965	1.98452603123297	3.19644014392573	2.73042850955067	5.08745929373101	3.24968401510159	2.63474386336062	2.87747792062383	2.35143989670975	2.94396779605664	1.7891926637914	3.1445277240602	2.1628930878981	2.64781654552667	2.26346894201853	2.25817703550668	3.82533586591269	2.91084173510752	4.58501155844339	2.31210231131799	3.59780237444651	2.77767435309976	2.89157979811027	3.08519631817944	4.53824662275505	3.96992165533067	2.68605461152435	3.36728579674134	2.30632983422911	2.74460130037652	1.65488370255939	2.10819026133587	4.46999523599364	4.3058468134793	2.04727612094382	2.37983258578777	3.25827181324202	2.48810158247605	4.72815277244783	2.9518850670888	3.14217162163417	4.39508256563447	3.43903409759312
ATR	3.80716725589087	3.61500993140582	3.92459776440906	4.31082502598453	3.58960011204094	3.88715014294447	3.75099581805159	3.52437588777548	3.98272752389559	3.8957771193114	3.2354047430868	3.78009350514337	5.12644262024152	4.47770444009602	3.33065852514781	2.56694360947916	3.34857635923906	3.91635943915416	2.51686399115978	4.13295188077019	3.19817961646942	3.50745503696159	4.49573866951936	4.33376879605888	2.61123746912245	4.71492401102036	2.75931806162206	4.66831889040603	3.8094188613765	4.68125589825755	2.42944495666579	4.56922198449564	2.48823552681798	2.37286148053795	1.46679269940377	3.94920106267366	3.91232119487592	3.84979760648102	2.16949320378636	4.38411443317977	4.24582258800111	3.33299133719945	3.8956014405708	2.85270709742827	2.90548199311395	4.78884248336686	2.5680753472965	3.68276023826551	3.80625733515114	4.2447363216594	3.50303658393351	4.20897390289841	4.15937025014999	4.04247100614027	3.88580076671859	3.64829753430605	3.91545946071223	4.67454669664621	3.62496321561875	3.36604121802854	3.72652565082816	3.72067286692096	3.51774692995497	3.40218608146376	2.90138772373724	2.33796208473835	1.92517560738343	3.89331899660415	2.69681117646936	4.10805879076606	3.04661960870886	2.16728975031125	3.34031055724246	4.63488676110537	4.25636665297315	2.91080228856074	2.80899125992632	3.95921083097297	4.02646540058708	3.75362839024522	2.83131080332128	3.9788646382987	4.18693399853716	3.52166260799293	4.37058624267665	2.58748538349508	4.27525757159723	4.23128584184285	4.58149457559172	2.32955983583194	4.03583476780328	3.21870704890852	4.07941883444111	3.58879293958048	3.37492091039234	3.63171018527238	4.0646352735631	3.45165201475458	3.13003480729896	3.97910576654828	2.84061078134603	2.46438579697743	3.80364593256975	3.3325373173359	2.4140696431886	3.77573897454381	3.82398716023442	2.98947431525214	4.22626297434674	3.38726791486704	4.18479376301309	5.05726715904225	3.87752994999938
BAX	5.77231252295919	5.75494648975482	6.09752259744047	5.24048570562328	6.36058628029131	6.20805203314016	6.83769273487793	5.65392588981568	6.75967872739602	5.90356958701499	6.02839804374222	6.5553512164522	5.55089294493743	5.46582174764747	6.18145848201111	4.50748994054179	6.15294118930763	4.92273351919232	6.48390990635834	5.49984410064623	5.43773013903829	6.08931600637423	5.21843335290106	5.54054032784797	6.13340566627136	6.57459863314836	6.35077474967081	5.87144469435956	5.81486194723294	6.44952722602354	5.37018236393949	5.78902169884017	5.86957766547019	6.62883751782562	6.98807446472324	6.29841088377471	5.96768025886649	5.37780455802549	5.61572421012729	6.13713008626665	6.97396349054166	6.51103139231175	6.42286153588066	6.19469931515187	6.31478072951867	5.75636665869261	6.22497037380833	6.127479680915	5.79461941603155	5.68527408966221	5.69217168633941	5.35943282995526	5.71172697847565	6.35531714727631	4.86535228861946	6.22602456059193	6.28378268373011	6.14211648947197	5.57350284313679	6.19024358742441	5.77513390571072	6.07215047460115	5.5810169726387	6.21150806063123	6.33361167334573	6.42966014149355	2.74837672744516	6.42820846530187	6.92689182496178	3.78012371772725	6.24799480635017	5.00039359754841	6.32857172056563	6.25926508532067	6.43363096099723	5.86480623917072	7.22640014128779	6.39954375031094	6.12608773630745	6.10928433550904	5.99719644001346	6.00246022822322	5.36632359768302	5.90525457021969	5.47003674882618	5.51793419987309	5.57099112159156	5.81952298252304	5.55329390907207	6.34881913252657	5.72707814152536	6.09481544377837	5.05596478273715	5.39855023948687	6.12869825345765	4.99492330860833	6.94948700923007	5.57067551577072	5.9829099020936	6.21805313848432	7.22935425172354	5.6240966736069	6.43675007626777	5.88880713180751	5.72068195034455	6.91379987650596	5.83033286981748	6.47755114598207	6.21692404584852	5.63769010622692	6.79622209356953	5.35135987649774	5.80371559917708
BBC3	2.83047594595304	3.03323100769757	3.62111502643334	1.6728608297943	3.05061657674411	3.70544371571231	4.67062728782125	3.69382413133174	3.38779718137622	3.25045422852549	2.22296920702212	3.30244860296496	2.74146590538584	2.18017384214953	3.81653503911152	2.17792785826328	3.89056415547466	2.07240289450308	3.86810993658004	1.75340663759423	2.37025138604005	3.30177535790186	2.63802235669676	2.37135723145019	2.1269665551413	4.27409556147017	4.72937666161911	2.32431605886588	3.45601000863028	2.88633052993015	3.09098658890354	3.05121473361683	3.59808270437388	3.0901402925758	2.93509115761137	1.76868187389059	2.84100579428034	3.28689461099094	4.12313261317556	3.40018226560391	3.90378747812984	2.93061744317204	4.37874531737068	3.59872310423895	3.9589841541415	2.14065310441626	3.35277834766141	3.4144604151981	4.27214900787899	2.79347762683264	3.75992525252277	1.14372239297894	1.93888197070942	3.7414491465442	1.86308011465911	3.10687039050049	3.27529943560603	4.02937486382495	2.13337368958337	3.73046098031624	3.48118746932326	3.89901854330385	3.82584137793341	3.08983551933836	3.72287069205623	3.16045164842157	0.612715489980442	3.72071220142643	4.00248629984704	0.759942672717543	3.15439222024383	2.82867296549422	3.57718147560583	3.10706559799639	3.01859575945639	3.11430628589068	3.54680526781606	2.46368912854721	3.14395067044393	3.39626641150078	2.64342492606844	2.63414821612123	0.436456381597799	2.71808831855302	2.04753383931125	3.78681771686548	2.32155138083913	2.47124552565666	2.66406592926842	3.6880338945049	2.56746508177928	2.73037937949007	2.68540687490452	2.49998984791335	3.00102244444004	1.40029610270972	4.21204711089356	3.1495704678548	3.51974534610048	3.17374754123238	4.1551463808776	2.41540368365452	3.99874106213711	2.70872508528809	3.69594646427279	3.74998978597102	2.90681014413676	2.77981953362734	1.76827080348196	3.05568747738019	3.3083037446152	1.59931102995187	3.02130680513253
BID	4.47088476217446	4.38230825147436	4.85656825938065	5.78015945658609	4.28789882392373	4.55044242084961	4.79757356005442	4.97177979932244	5.34503274992327	4.52530276070434	3.88298061453211	4.21960076615449	4.17076211210312	4.85989333700011	4.72104299435924	3.982038876107	4.3021524777593	4.4760461944262	3.94874904655063	4.13075642102966	4.33290896776464	4.85363750726544	4.26874794266823	5.32013830657923	4.02754962640261	5.02723302747606	4.47774985399781	4.31797158120966	5.06685787024391	3.68428785244649	4.09671794188123	5.68492926905393	5.08108260158233	4.97423020985347	5.29831845495086	5.71525869876636	4.47286272287213	4.83107887483988	4.90901287024955	5.34907325958879	4.89910333181679	6.40331598401233	3.3411929406263	4.58880249734261	4.8068760550233	4.69748145086357	5.43229680518294	4.28340515817415	4.19070156615947	3.79499962928823	4.50465605292466	6.07563160838126	4.51472619338539	5.19106306765026	3.82667509766511	5.99349589802604	4.35353539418252	4.08848042501301	4.46165641503879	4.58230022805411	4.36415998211113	5.67102980163562	4.38533098086937	5.51403336417333	5.36322485061889	4.67916390550536	3.92213479146214	5.2756399692694	4.58806335828478	3.19471184553775	5.78951657176648	3.62330539132122	5.11782765524012	5.13271752831484	3.82806671438689	4.58107386411258	4.79910374680657	4.17598211128671	5.73534232316398	4.26053140226903	3.85615777173234	5.18073001752616	4.9195110601926	5.52028872182663	5.55087716492962	3.06586875631503	4.69420117973896	5.71241820771151	5.46225028305321	4.58099703525415	5.24529708598841	4.63584796884236	4.47829283313221	4.65817096897503	4.8457760168456	3.87932978613257	5.15926205210687	4.40743201527164	5.60633697454542	4.8128112257354	5.62651522367729	4.25842037712616	5.16470758537217	5.41214513068524	3.7346137250415	5.66131320983295	4.79177892246896	4.84876111491046	5.12283424641122	4.52774220112373	4.61748778188247	5.14084131940627	4.69213271806393
CASP3	4.91497407445759	6.28379664974885	5.8857821333142	5.84785759791993	5.03345600113733	5.72028131930381	5.57676105821982	5.17517653656398	5.63773241205001	5.67400743894756	6.07801821076781	5.54683129337514	5.17735963971152	5.74801497715171	5.31591275990419	5.22600761682402	5.40219338240767	5.35936150712161	5.07350378560282	5.83951197668585	6.29770588864008	5.04998860735213	5.54028032009865	6.34590380316372	5.88066772697619	5.91171713600263	4.60219980892817	5.46961958225709	6.49442885316669	5.19269681676278	4.24938827842545	5.75982699563484	4.65535038805221	5.30312885693628	4.65139709542382	5.8129149918567	5.56193289881858	5.66250762112641	5.43258804463242	6.69665873044715	5.10252753276904	6.66101547848049	5.69931587433997	5.68247560977711	5.71732291181938	5.54995717504757	5.40705553809999	5.55259168815959	4.49955378793702	5.76388725815758	5.46392927943945	5.49249659733707	6.44440742945092	6.72497477105429	5.75130714282123	6.06365864080898	6.55293772182939	6.73066391895033	5.72885867064886	5.63376788433518	5.45738594480715	4.01288376330512	5.65250710240478	6.22997315152793	5.66165463560172	5.13071545370159	4.84871168711115	4.59202394359273	6.1378926020485	4.94446537815443	5.50928315703768	4.74068394343407	4.99174388572462	5.49760858283699	6.06042840717954	5.29592741204609	5.54075400812654	5.21642865651202	5.60230329855071	4.78845658805298	5.09434599771472	5.42137613124567	6.03310659625925	5.67288568703724	6.35029912769368	4.5967255370342	6.16640345553443	6.23918150919707	5.92373308619463	5.54775714486655	4.90144939083641	4.75994590872912	5.03485091720894	5.91764814862517	5.26290908177168	5.32218156342241	5.60859868199872	5.33838793065418	5.12938966854936	6.10848787537029	5.13750696182747	4.71942324078309	5.1446529355029	6.02185230043225	4.71932973308775	5.55174216560227	6.25145061242653	5.98384113983952	6.08465069703975	5.32835926074859	5.9357836013275	6.35623641695954	6.59814283119922
CASP8	2.10848557348346	4.82752265705316	4.1999543915778	3.79248575222436	2.98603372589625	4.56501299337086	3.89248540609252	3.92547970552657	3.48696604922656	4.24948213705423	3.88478915165765	3.37361175688088	4.95394005312756	4.07587236329308	3.91689244796905	3.76352300752214	4.18605805170661	4.17328147837595	2.67590992861003	3.21403469112846	3.07482164709163	3.64230556165519	4.64097362495653	3.79398844270618	4.88383978299063	5.1957345727361	3.1486684482589	3.51278656428849	3.91273977605214	3.49133090431193	3.27769609576161	3.18218240307293	2.89965224988034	2.15636508065458	2.11907048488285	2.43239004093872	3.7027718198472	4.05845576449152	3.44851093967163	3.22837816034306	3.45595827756309	3.6465885317867	3.40918686061235	3.70803750225765	3.16950132869301	3.22327169251213	3.13177832913436	3.58976430565427	2.7829166393783	4.03522761064968	4.10207657557432	3.93153621601878	3.65405799041186	2.64243270679117	4.02001302908642	3.9063745583415	4.17969327411659	4.32895697444216	3.79074586316494	3.72185574435383	4.28907304444044	3.16132411644018	3.82671185453203	3.96245874335906	3.5200389896584	1.88706826705736	2.92682443468417	3.25974880283682	2.71544408895016	1.49044128596236	3.99566301846167	2.62202157982724	3.29634395172602	4.21486927129061	4.09665599307972	3.34680295427909	2.89692456425968	4.11186400788382	4.16679182916439	1.97397548917178	2.45378512652074	2.29609250696785	2.27898559656109	2.60400751419573	4.12909270832575	2.05755543020018	4.4914737363408	3.00606778828314	4.81833375930286	3.60599506935352	3.73407843546299	2.84389477764595	3.99772698719324	3.07690225691942	4.39279061445513	3.99222413301534	3.93828801498788	3.82803337439048	3.79200146293113	3.98724439256013	2.26334078769816	2.35961165920527	4.29501900142065	3.91300071050706	4.43012280736188	2.22086658182355	3.59591728682108	3.91520505083737	4.210927989028	4.32748276903202	4.17671491789424	4.51227595680807	4.0448926321496
CASP9	2.98206621372207	3.59570214921351	2.55990984879936	2.49279001768728	2.68908803432639	3.63023603261075	3.45760693406569	3.31204679876727	2.97387828627777	2.78022871703609	3.61698890259555	2.41766336111815	2.55661226444414	2.61151566276677	3.04339461594912	2.88101593539156	2.94733706525627	3.87720162632303	2.18787670418444	2.77476150590918	3.36622196968307	3.44162313911891	3.1267608482196	3.19880089451621	3.06071636642264	4.00178561853976	3.49773402525408	3.70303246561564	4.29383952631831	2.7262089530937	2.49430786497406	2.56630409320607	2.66464882349139	3.1997502855809	3.12635145485249	2.97235919563623	2.99098762496494	3.53655696210439	3.07034117477067	2.59460677158713	2.31828617343155	2.98244072808187	2.67225201166083	3.15115274460692	2.9608643187929	3.40256530833497	2.56016530675618	2.99380853044683	2.7271357100039	2.91245984958166	3.38822812208668	2.56405898633108	2.49840111183995	2.69747473768695	3.41722085791646	3.3023377640519	2.72009169808431	3.71354823323867	3.49989945687216	3.39575720134856	3.61466870315396	2.97556109612705	2.93238863284735	3.5718934992204	3.23240325532911	3.28853730873197	2.23433538796333	2.5229805178889	3.14602740711935	2.89535659110706	3.06747202199104	2.05779523420958	3.65909048467263	3.86356574256303	3.15042014843522	2.90193411197253	2.57374549970315	3.82004822376692	2.98578697182622	3.51737441391972	3.1775808627072	2.62715557841262	2.53371937016407	3.0409354568861	2.69905739907356	3.39213941768126	3.53534482557606	3.04245949972684	3.51831860136142	2.91899334190891	3.0123238110881	2.67955364447084	3.54528993669242	3.23369878322759	3.4879510332452	2.58293894684454	3.00128682509267	3.28159803633988	2.93284607393822	3.90870299245521	2.85798209023219	2.64727485601201	3.06485551434094	2.76628698325375	3.092583126409	4.00500449481617	3.58489559968175	2.9270290289502	3.73366927870415	3.16574480904846	3.33901438458676	3.21286013727542	3.08690830130763
