Samples	EMT	Cluster
TCGA-A1-A0SP-01	2.18503821989263	clust2
TCGA-A2-A04U-01	2.11966174026837	clust2
TCGA-A2-A0CM-01	2.18568062890184	clust1
TCGA-A2-A0D0-01	1.96231780486246	clust2
TCGA-A2-A0D2-01	2.22188711631496	clust3
TCGA-A2-A0SX-01	2.33592788337573	clust3
TCGA-A2-A0T0-01	2.19942430840024	clust2
TCGA-A2-A0T2-01	2.11038548043525	clust1
TCGA-A2-A0YE-01	2.25253383189118	clust2
TCGA-A2-A1G6-01	2.20459409145147	clust3
TCGA-A2-A3XT-01	2.02164769230596	clust1
TCGA-A2-A3XX-01	2.07754547666521	clust3
TCGA-A2-A3XY-01	2.51762173481349	clust3
TCGA-A7-A0DA-01	2.38062057436969	clust2
TCGA-A7-A26G-01	2.51431147656051	clust3
TCGA-A7-A4SE-01	2.49880899117709	clust3
TCGA-A7-A6VV-01	2.5287691252018	clust3
TCGA-A7-A6VW-01	2.08036201963721	clust3
TCGA-A7-A6VY-01	2.38517315034205	clust1
TCGA-A8-A07C-01	1.97018761319933	clust2
TCGA-A8-A07O-01	1.98887246488261	clust2
TCGA-A8-A08R-01	2.23625575938049	clust2
TCGA-A8-A09X-01	2.10949682918371	clust2
TCGA-AC-A2BK-01	1.67199039454349	clust2
TCGA-AC-A2QH-01	2.21743240406835	clust2
TCGA-AC-A2QJ-01	2.3996708908079	clust3
TCGA-AC-A6IW-01	1.6580245062445	clust2
TCGA-AC-A7VC-01	2.48239203736207	clust3
TCGA-AN-A04D-01	1.70630970867245	clust2
TCGA-AN-A0AL-01	2.41094065102423	clust3
TCGA-AN-A0AR-01	1.7376810826857	clust2
TCGA-AN-A0AT-01	2.04870021769914	clust2
TCGA-AN-A0G0-01	2.11922085158494	clust2
TCGA-AN-A0XU-01	2.11071275922694	clust2
TCGA-AO-A03U-01	2.39122541871848	clust3
TCGA-AO-A0J4-01	2.33167320714183	clust2
TCGA-AO-A0J6-01	1.83435710328292	clust2
TCGA-AO-A0JL-01	2.08640779467243	clust2
TCGA-AO-A124-01	1.95479472974032	clust2
TCGA-AO-A128-01	1.83107352018273	clust3
TCGA-AO-A129-01	2.20648279081303	clust1
TCGA-AO-A12F-01	2.33738210386858	clust1
TCGA-AO-A1KR-01	1.70957434561393	clust2
TCGA-AQ-A04J-01	2.34693282628163	clust1
TCGA-AR-A0TS-01	2.24044481032198	clust1
TCGA-AR-A0TU-01	1.65720193313612	clust2
TCGA-AR-A0U4-01	2.32009362292355	clust1
TCGA-AR-A1AR-01	2.2394232020745	clust3
TCGA-AR-A1AY-01	2.29974740460311	clust2
TCGA-AR-A256-01	2.15023990029158	clust2
TCGA-AR-A2LR-01	2.48888601568408	clust1
TCGA-AR-A5QQ-01	2.48770537138361	clust3
TCGA-B6-A3ZX-01	1.94797171072836	clust2
TCGA-B6-A400-01	2.42335135220146	clust3
TCGA-B6-A402-01	1.90475686302024	clust2
TCGA-BH-A0B3-01	2.34949051290889	clust1
TCGA-BH-A0B9-01	1.71512884465228	clust2
TCGA-BH-A0BG-01	2.16197867775013	clust2
TCGA-BH-A0BL-01	2.59227166068511	clust3
TCGA-BH-A0E0-01	1.59227166068511	clust2
TCGA-BH-A0RX-01	2.36684934603339	clust1
TCGA-BH-A0WA-01	2.39981171976556	clust2
TCGA-BH-A18G-01	2.15612057579794	clust2
TCGA-BH-A18V-01	2.22912080173959	clust3
TCGA-BH-A1EW-01	2.21507406923706	clust3
TCGA-BH-A1F6-01	2.12270885798462	clust1
TCGA-BH-A1FC-01	1.79270287222989	clust2
TCGA-BH-A42U-01	2.29136278977715	clust3
TCGA-C8-A12V-01	2.15904606642037	clust3
TCGA-C8-A131-01	2.41574824703627	clust3
TCGA-C8-A1HJ-01	2.01079233184934	clust2
TCGA-C8-A26X-01	2.30483326392239	clust3
TCGA-C8-A27B-01	1.87871063634059	clust2
TCGA-C8-A3M7-01	2.17166056567479	clust3
TCGA-D8-A13Z-01	2.34842943979377	clust3
TCGA-D8-A143-01	2.08380775748097	clust3
TCGA-D8-A147-01	2.11622602601964	clust2
TCGA-D8-A1JF-01	2.13412678091627	clust2
TCGA-D8-A1JL-01	2.34835660139	clust3
TCGA-D8-A1XK-01	2.04811676364029	clust2
TCGA-D8-A1XQ-01	2.29603547516985	clust1
TCGA-D8-A27F-01	2.38739016935749	clust3
TCGA-D8-A27H-01	2.5163778880935	clust1
TCGA-D8-A27M-01	2.53982951023385	clust3
TCGA-E2-A14N-01	1.87966302314367	clust2
TCGA-E2-A14R-01	1.79747544562524	clust2
TCGA-E2-A14X-01	1.9870954363224	clust1
TCGA-E2-A150-01	2.23081375216846	clust2
TCGA-E2-A158-01	1.63553350630587	clust2
TCGA-E2-A1L7-01	2.20637661600366	clust3
TCGA-E2-A1LH-01	2.16961237687549	clust2
TCGA-E2-A1LL-01	2.25080321086977	clust3
TCGA-E2-A1LS-01	1.83350121042078	clust2
TCGA-E9-A5FL-01	2.26835677389204	clust3
TCGA-EW-A1OV-01	2.12949694344932	clust3
TCGA-EW-A1OW-01	2.4775567546939	clust2
TCGA-EW-A1P4-01	2.35894424479143	clust3
TCGA-EW-A1P8-01	2.13150487189908	clust2
TCGA-EW-A1PB-01	1.68955549810906	clust2
TCGA-EW-A1PH-01	2.03506451926089	clust3
TCGA-EW-A3U0-01	2.29818769650223	clust3
TCGA-EW-A6SB-01	1.6885922352285	clust2
TCGA-GI-A2C9-01	2.32572082855605	clust2
TCGA-GM-A2DB-01	1.90120119841214	clust2
TCGA-GM-A2DF-01	2.21149204193677	clust1
TCGA-GM-A2DH-01	1.92039447309063	clust3
TCGA-HN-A2NL-01	1.67381496058575	clust2
TCGA-LL-A441-01	2.15145559177799	clust3
