Samples	CCP	Cluster
TCGA-A2-A0CM-01	0.82453082062709	clust1
TCGA-A2-A0T2-01	0.498698969842911	clust1
TCGA-A2-A3XT-01	0.828404439813047	clust1
TCGA-A7-A6VY-01	0.72884161005614	clust1
TCGA-AO-A129-01	0.767096577035647	clust1
TCGA-AO-A12F-01	0.785562776127734	clust1
TCGA-AQ-A04J-01	0.73562025971097	clust1
TCGA-AR-A0TS-01	0.757575911468353	clust1
TCGA-AR-A0U4-01	0.736984114027171	clust1
TCGA-AR-A2LR-01	0.737725010736005	clust1
TCGA-BH-A0B3-01	0.832173523727432	clust1
TCGA-BH-A0RX-01	0.693937505163469	clust1
TCGA-BH-A1F6-01	0.714939572716721	clust1
TCGA-D8-A1XQ-01	0.619025844095375	clust1
TCGA-D8-A27H-01	0.647969702885754	clust1
TCGA-E2-A14X-01	0.662130678764194	clust1
TCGA-GM-A2DF-01	0.735171956179534	clust1
TCGA-S3-AA15-01	0.697100802827946	clust1
TCGA-A1-A0SP-01	0.780001228420251	clust2
TCGA-A2-A04U-01	0.755699616293597	clust2
TCGA-A2-A0D0-01	0.881840451467068	clust2
TCGA-A2-A0T0-01	0.739304465429253	clust2
TCGA-A2-A0YE-01	0.754704809881697	clust2
TCGA-A7-A0DA-01	0.613451761968705	clust2
TCGA-A8-A07C-01	0.820928009861326	clust2
TCGA-A8-A07O-01	0.835690043543178	clust2
TCGA-A8-A08R-01	0.828484430025453	clust2
TCGA-A8-A09X-01	0.726542423939432	clust2
TCGA-AC-A2BK-01	0.783003503340265	clust2
TCGA-AC-A2QH-01	0.674801216390111	clust2
TCGA-AC-A6IW-01	0.777081170100314	clust2
TCGA-AN-A04D-01	0.860729431684093	clust2
TCGA-AN-A0AR-01	0.791369720234645	clust2
TCGA-AN-A0AT-01	0.850836478506534	clust2
TCGA-AN-A0G0-01	0.833746731286659	clust2
TCGA-AN-A0XU-01	0.824415307575265	clust2
TCGA-AO-A0J4-01	0.762328011622788	clust2
TCGA-AO-A0J6-01	0.76034807621465	clust2
TCGA-AO-A0JL-01	0.694332930679021	clust2
TCGA-AO-A124-01	0.729128455961894	clust2
TCGA-AO-A1KR-01	0.819102253140377	clust2
TCGA-AR-A0TU-01	0.913980562466504	clust2
TCGA-AR-A1AY-01	0.869232811621346	clust2
TCGA-AR-A256-01	0.850444599064994	clust2
TCGA-B6-A3ZX-01	0.64149594237184	clust2
TCGA-B6-A402-01	0.715946507453704	clust2
TCGA-BH-A0B9-01	0.773868997696425	clust2
TCGA-BH-A0BG-01	0.629136493339721	clust2
TCGA-BH-A0E0-01	0.731839457716382	clust2
TCGA-BH-A0WA-01	0.713145703874916	clust2
TCGA-BH-A18G-01	0.700727599717276	clust2
TCGA-BH-A1FC-01	0.871132604679376	clust2
TCGA-C8-A1HJ-01	0.891662916555642	clust2
TCGA-C8-A27B-01	0.837204416882789	clust2
TCGA-D8-A147-01	0.756834563389741	clust2
TCGA-D8-A1JF-01	0.466943526903222	clust2
TCGA-D8-A1XK-01	0.899792873044473	clust2
TCGA-E2-A14N-01	0.870482946474957	clust2
TCGA-E2-A14R-01	0.810175429662617	clust2
TCGA-E2-A150-01	0.643055393311977	clust2
TCGA-E2-A158-01	0.555910414625194	clust2
TCGA-E2-A1LH-01	0.701080070170592	clust2
TCGA-E2-A1LS-01	0.408528138757946	clust2
TCGA-EW-A1OW-01	0.767626178301636	clust2
TCGA-EW-A1P8-01	0.83178740065073	clust2
TCGA-EW-A1PB-01	0.726890421364323	clust2
TCGA-EW-A6SB-01	0.703713709303505	clust2
TCGA-GI-A2C9-01	0.615755337975136	clust2
TCGA-GM-A2DB-01	0.657006227681365	clust2
TCGA-HN-A2NL-01	0.85462787926361	clust2
TCGA-LL-A5YO-01	0.661362353280013	clust2
TCGA-S3-AA10-01	0.842279634907357	clust2
TCGA-A2-A0D2-01	0.864846199491308	clust3
