Samples	pathway	Cluster
TCGA-A2-A0CM-01	2.78899921892496	clust1
TCGA-A2-A0T2-01	2.26975930753406	clust1
TCGA-A2-A3XT-01	2.348370724793	clust1
TCGA-A7-A6VY-01	2.59181094149043	clust1
TCGA-AO-A129-01	2.42721335922708	clust1
TCGA-AO-A12F-01	2.27636919412396	clust1
TCGA-AQ-A04J-01	2.61303606424322	clust1
TCGA-AR-A0TS-01	2.42543550428995	clust1
TCGA-AR-A0U4-01	2.37663829551412	clust1
TCGA-AR-A2LR-01	2.69355355871053	clust1
TCGA-BH-A0B3-01	2.49957116742234	clust1
TCGA-BH-A0RX-01	2.38543577402248	clust1
TCGA-BH-A1F6-01	2.6087213976442	clust1
TCGA-D8-A1XQ-01	2.29478099248507	clust1
TCGA-D8-A27H-01	2.27015585329653	clust1
TCGA-E2-A14X-01	2.40562563512548	clust1
TCGA-GM-A2DF-01	2.39662237269775	clust1
TCGA-S3-AA15-01	2.64049632260015	clust1
TCGA-A1-A0SP-01	2.83414795815338	clust2
TCGA-A2-A04U-01	2.64591186856797	clust2
TCGA-A2-A0D0-01	2.56639853087237	clust2
TCGA-A2-A0T0-01	2.41127411138272	clust2
TCGA-A2-A0YE-01	2.30373339606741	clust2
TCGA-A7-A0DA-01	2.36998035089736	clust2
TCGA-A8-A07C-01	2.46883349748716	clust2
TCGA-A8-A07O-01	2.66418921772267	clust2
TCGA-A8-A08R-01	2.45948227300348	clust2
TCGA-A8-A09X-01	2.43287590260045	clust2
TCGA-AC-A2BK-01	2.67158371299147	clust2
TCGA-AC-A2QH-01	2.29850701541606	clust2
TCGA-AC-A6IW-01	2.62006930603766	clust2
TCGA-AN-A04D-01	2.37713428327562	clust2
TCGA-AN-A0AR-01	2.18761245720944	clust2
TCGA-AN-A0AT-01	2.45357006900219	clust2
TCGA-AN-A0G0-01	2.29163417690153	clust2
TCGA-AN-A0XU-01	2.65219043761968	clust2
TCGA-AO-A0J4-01	2.37742222900145	clust2
TCGA-AO-A0J6-01	2.20723333982827	clust2
TCGA-AO-A0JL-01	2.193080051285	clust2
TCGA-AO-A124-01	2.30607191398574	clust2
TCGA-AO-A1KR-01	2.61231254679426	clust2
TCGA-AR-A0TU-01	2.47270082568209	clust2
TCGA-AR-A1AY-01	2.69441985825041	clust2
TCGA-AR-A256-01	2.60112867936224	clust2
TCGA-B6-A3ZX-01	2.60002816645984	clust2
TCGA-B6-A402-01	2.25932749570326	clust2
TCGA-BH-A0B9-01	2.67360736087373	clust2
TCGA-BH-A0BG-01	2.24269230389223	clust2
TCGA-BH-A0E0-01	2.44904248933547	clust2
TCGA-BH-A0WA-01	2.65334879512991	clust2
TCGA-BH-A18G-01	2.31646513026036	clust2
TCGA-BH-A1FC-01	2.60729327147595	clust2
TCGA-C8-A1HJ-01	2.89752890463876	clust2
TCGA-C8-A27B-01	2.55229832315108	clust2
TCGA-D8-A147-01	2.55819140446513	clust2
TCGA-D8-A1JF-01	2.07660182318743	clust2
TCGA-D8-A1XK-01	2.76633469694267	clust2
TCGA-E2-A14N-01	2.56144622886477	clust2
TCGA-E2-A14R-01	2.52177643803377	clust2
TCGA-E2-A150-01	2.15714481437664	clust2
TCGA-E2-A158-01	2.10642409963353	clust2
TCGA-E2-A1LH-01	2.23364509499282	clust2
TCGA-E2-A1LS-01	2.08720996801758	clust2
TCGA-EW-A1OW-01	2.48559512543276	clust2
TCGA-EW-A1P8-01	2.54446907529136	clust2
TCGA-EW-A1PB-01	2.64546554394732	clust2
TCGA-EW-A6SB-01	2.44795462017911	clust2
TCGA-GI-A2C9-01	2.47851950694767	clust2
TCGA-GM-A2DB-01	2.23458230515806	clust2
TCGA-HN-A2NL-01	2.43160403265666	clust2
TCGA-LL-A5YO-01	2.33396907594165	clust2
TCGA-S3-AA10-01	2.94228031579293	clust2
TCGA-A2-A0D2-01	2.56363708471174	clust3
TCGA-A2-A0SX-01	2.79323414734407	clust3
TCGA-A2-A1G6-01	1.98411175929973	clust3
TCGA-A2-A3XX-01	2.18677604597633	clust3
TCGA-A2-A3XY-01	2.45655694032352	clust3
TCGA-A7-A26G-01	2.41115518962617	clust3
TCGA-A7-A4SE-01	2.72807251139497	clust3
TCGA-A7-A6VV-01	2.69003339919373	clust3
TCGA-A7-A6VW-01	2.59493872177549	clust3
TCGA-AC-A2QJ-01	1.94228031579293	clust3
TCGA-AC-A7VC-01	2.56775128520188	clust3
TCGA-AN-A0AL-01	2.34146713355645	clust3
TCGA-AO-A03U-01	2.11084620459415	clust3
TCGA-AO-A128-01	2.49281062500195	clust3
TCGA-AR-A1AR-01	2.64546100504011	clust3
TCGA-AR-A5QQ-01	2.39060197821448	clust3
TCGA-B6-A400-01	2.60112859481825	clust3
TCGA-BH-A0BL-01	2.58293051233426	clust3
TCGA-BH-A18V-01	2.40711395823493	clust3
TCGA-BH-A1EW-01	2.31960977442722	clust3
TCGA-BH-A42U-01	1.96250866840599	clust3
TCGA-C8-A12V-01	2.3728727708474	clust3
TCGA-C8-A131-01	2.44359276997943	clust3
TCGA-C8-A26X-01	2.33507209174563	clust3
TCGA-C8-A3M7-01	2.06773494318617	clust3
TCGA-D8-A13Z-01	2.59099307812061	clust3
TCGA-D8-A143-01	2.39441535427192	clust3
TCGA-D8-A1JL-01	2.45556422739521	clust3
TCGA-D8-A27F-01	2.38030107463013	clust3
TCGA-D8-A27M-01	2.4173055903269	clust3
TCGA-E2-A1L7-01	2.58149709340077	clust3
TCGA-E2-A1LL-01	2.51532595185531	clust3
TCGA-E9-A5FL-01	2.19335312490713	clust3
TCGA-EW-A1OV-01	2.20414181267164	clust3
TCGA-EW-A1P4-01	2.84489314965225	clust3
TCGA-EW-A1PH-01	2.54444129309761	clust3
TCGA-EW-A3U0-01	2.40758279150458	clust3
TCGA-GM-A2DH-01	2.55081834329259	clust3
TCGA-LL-A441-01	2.26364874332295	clust3
TCGA-LL-A73Y-01	2.13072189777706	clust3
TCGA-OL-A6VO-01	2.45290623759302	clust3
