Samples	pathway	Cluster
TCGA-A2-A0CM-01	2.32460748676451	clust1
TCGA-A2-A0T2-01	1.8477092071015	clust1
TCGA-A2-A3XT-01	2.18939566245719	clust1
TCGA-A7-A6VY-01	2.19332760017629	clust1
TCGA-AO-A129-01	2.13510353588307	clust1
TCGA-AO-A12F-01	2.21987377985181	clust1
TCGA-AQ-A04J-01	2.2043966616268	clust1
TCGA-AR-A0TS-01	2.2228460049786	clust1
TCGA-AR-A0U4-01	2.15591849147563	clust1
TCGA-AR-A2LR-01	2.29454743314759	clust1
TCGA-BH-A0B3-01	2.26105172928451	clust1
TCGA-BH-A0RX-01	2.03960644727841	clust1
TCGA-BH-A1F6-01	2.13428374763144	clust1
TCGA-D8-A1XQ-01	2.06060231830733	clust1
TCGA-D8-A27H-01	2.00263831524041	clust1
TCGA-E2-A14X-01	2.14415559381928	clust1
TCGA-GM-A2DF-01	2.05038783424207	clust1
TCGA-S3-AA15-01	2.04064194628999	clust1
TCGA-A1-A0SP-01	2.29465142386838	clust2
TCGA-A2-A04U-01	2.1724259095352	clust2
TCGA-A2-A0D0-01	2.38109974477805	clust2
TCGA-A2-A0T0-01	2.19278618899103	clust2
TCGA-A2-A0YE-01	2.19742777907886	clust2
TCGA-A7-A0DA-01	2.02594099856744	clust2
TCGA-A8-A07C-01	2.40375995669558	clust2
TCGA-A8-A07O-01	2.33569488330128	clust2
TCGA-A8-A08R-01	2.2680857081504	clust2
TCGA-A8-A09X-01	2.12451772390578	clust2
TCGA-AC-A2BK-01	2.32660373020224	clust2
TCGA-AC-A2QH-01	2.2436275640226	clust2
TCGA-AC-A6IW-01	2.17381508754281	clust2
TCGA-AN-A04D-01	2.35182708653095	clust2
TCGA-AN-A0AR-01	2.1701059665899	clust2
TCGA-AN-A0AT-01	2.35021206294373	clust2
TCGA-AN-A0G0-01	2.33997088423207	clust2
TCGA-AN-A0XU-01	2.33609704193799	clust2
TCGA-AO-A0J4-01	2.22151614229805	clust2
TCGA-AO-A0J6-01	2.13493795130936	clust2
TCGA-AO-A0JL-01	1.98973573237509	clust2
TCGA-AO-A124-01	2.27729943292043	clust2
TCGA-AO-A1KR-01	2.16529423469085	clust2
TCGA-AR-A0TU-01	2.3703252440279	clust2
TCGA-AR-A1AY-01	2.41965831404595	clust2
TCGA-AR-A256-01	2.35774814344097	clust2
TCGA-B6-A3ZX-01	2.04232573896293	clust2
TCGA-B6-A402-01	2.12611115459516	clust2
TCGA-BH-A0B9-01	2.21662319783344	clust2
TCGA-BH-A0BG-01	2.00848400148854	clust2
TCGA-BH-A0E0-01	2.13985757583801	clust2
TCGA-BH-A0WA-01	2.21192092358439	clust2
TCGA-BH-A18G-01	2.01235809560528	clust2
TCGA-BH-A1FC-01	2.42768117284796	clust2
TCGA-C8-A1HJ-01	2.40886090410888	clust2
TCGA-C8-A27B-01	2.37787486226153	clust2
TCGA-D8-A147-01	2.28377593937438	clust2
TCGA-D8-A1JF-01	1.89245796677095	clust2
TCGA-D8-A1XK-01	2.41637314002697	clust2
TCGA-E2-A14N-01	2.34863629004719	clust2
TCGA-E2-A14R-01	2.24010865682166	clust2
TCGA-E2-A150-01	2.04862735808533	clust2
TCGA-E2-A158-01	2.02268088490542	clust2
TCGA-E2-A1LH-01	1.9740890820952	clust2
TCGA-E2-A1LS-01	1.82994615979656	clust2
TCGA-EW-A1OW-01	2.26178776434988	clust2
TCGA-EW-A1P8-01	2.24088579829981	clust2
TCGA-EW-A1PB-01	2.08331562387412	clust2
TCGA-EW-A6SB-01	2.07767720278255	clust2
TCGA-GI-A2C9-01	1.99336054215263	clust2
TCGA-GM-A2DB-01	2.01573398383736	clust2
TCGA-HN-A2NL-01	2.33693783031083	clust2
TCGA-LL-A5YO-01	2.0268974746197	clust2
TCGA-S3-AA10-01	2.31403012761183	clust2
TCGA-A2-A0D2-01	2.36700008982695	clust3
TCGA-A2-A0SX-01	2.18919803282534	clust3
TCGA-A2-A1G6-01	1.44982651668703	clust3
TCGA-A2-A3XX-01	2.11825954805738	clust3
TCGA-A2-A3XY-01	2.06459468165533	clust3
TCGA-A7-A26G-01	2.05257741480107	clust3
TCGA-A7-A4SE-01	2.18881983620803	clust3
TCGA-A7-A6VV-01	2.20494157969598	clust3
TCGA-A7-A6VW-01	2.15245952137635	clust3
TCGA-AC-A2QJ-01	1.71649170218615	clust3
TCGA-AC-A7VC-01	2.06020330547387	clust3
TCGA-AN-A0AL-01	2.16539461320541	clust3
TCGA-AO-A03U-01	1.60513970770419	clust3
TCGA-AO-A128-01	2.1047261124387	clust3
TCGA-AR-A1AR-01	2.33384492336228	clust3
TCGA-AR-A5QQ-01	2.15468247501633	clust3
TCGA-B6-A400-01	2.22241307940189	clust3
TCGA-BH-A0BL-01	2.14285658676539	clust3
TCGA-BH-A18V-01	2.38068360185001	clust3
TCGA-BH-A1EW-01	2.00695678778089	clust3
TCGA-BH-A42U-01	1.42768117284796	clust3
TCGA-C8-A12V-01	2.06515387906817	clust3
TCGA-C8-A131-01	2.09880157058592	clust3
TCGA-C8-A26X-01	1.95463442584445	clust3
TCGA-C8-A3M7-01	1.78692200258076	clust3
TCGA-D8-A13Z-01	2.18922539850079	clust3
TCGA-D8-A143-01	2.343542567671	clust3
TCGA-D8-A1JL-01	2.14660671318936	clust3
TCGA-D8-A27F-01	2.34554345528123	clust3
TCGA-D8-A27M-01	2.01724037253419	clust3
TCGA-E2-A1L7-01	2.31070252046262	clust3
TCGA-E2-A1LL-01	2.27604314083159	clust3
TCGA-E9-A5FL-01	1.88075469635076	clust3
TCGA-EW-A1OV-01	2.02259378595851	clust3
TCGA-EW-A1P4-01	2.30177955515331	clust3
TCGA-EW-A1PH-01	2.1789476426934	clust3
TCGA-EW-A3U0-01	2.08436927267645	clust3
TCGA-GM-A2DH-01	2.32785998362493	clust3
TCGA-LL-A441-01	1.96153925283988	clust3
TCGA-LL-A73Y-01	1.83056387769128	clust3
TCGA-OL-A6VO-01	2.23625971175577	clust3
