Samples	pathway	Cluster
TCGA-A2-A0CM-01	1.14374556820121	clust1
TCGA-A2-A0T2-01	0.848041141361837	clust1
TCGA-A2-A3XT-01	1.06932505345476	clust1
TCGA-A7-A6VY-01	1.13731791433965	clust1
TCGA-AO-A129-01	1.0276921952984	clust1
TCGA-AO-A12F-01	0.758650527166139	clust1
TCGA-AQ-A04J-01	1.06090688363843	clust1
TCGA-AR-A0TS-01	1.03263737933496	clust1
TCGA-AR-A0U4-01	1.39175363513839	clust1
TCGA-AR-A2LR-01	0.782071059681789	clust1
TCGA-BH-A0B3-01	1.05777882293792	clust1
TCGA-BH-A0RX-01	1.22265423800798	clust1
TCGA-BH-A1F6-01	1.12507682067075	clust1
TCGA-D8-A1XQ-01	1.09709804521281	clust1
TCGA-D8-A27H-01	0.814883868098018	clust1
TCGA-E2-A14X-01	0.911052063094806	clust1
TCGA-GM-A2DF-01	1.05959945557164	clust1
TCGA-S3-AA15-01	1.16133264602176	clust1
TCGA-A1-A0SP-01	0.975404291875194	clust2
TCGA-A2-A04U-01	0.630700249555461	clust2
TCGA-A2-A0D0-01	0.996397290771799	clust2
TCGA-A2-A0T0-01	0.877538944524859	clust2
TCGA-A2-A0YE-01	0.81550996808642	clust2
TCGA-A7-A0DA-01	0.849948324344087	clust2
TCGA-A8-A07C-01	0.86872876254947	clust2
TCGA-A8-A07O-01	1.03495676278433	clust2
TCGA-A8-A08R-01	1.07704278833641	clust2
TCGA-A8-A09X-01	0.965326423460337	clust2
TCGA-AC-A2BK-01	0.684091956089747	clust2
TCGA-AC-A2QH-01	0.391753635138385	clust2
TCGA-AC-A6IW-01	1.08859978755256	clust2
TCGA-AN-A04D-01	0.467717947615561	clust2
TCGA-AN-A0AR-01	0.495757195989421	clust2
TCGA-AN-A0AT-01	0.930755118384522	clust2
TCGA-AN-A0G0-01	0.85653498563417	clust2
TCGA-AN-A0XU-01	0.868964270785338	clust2
TCGA-AO-A0J4-01	1.09768856934377	clust2
TCGA-AO-A0J6-01	1.05983678788514	clust2
TCGA-AO-A0JL-01	0.630183834020154	clust2
TCGA-AO-A124-01	0.881222231473756	clust2
TCGA-AO-A1KR-01	0.726064302367815	clust2
