CellCyle	HIPPO	MYC	NOTCH	NRF1	PI3K	TGF-Beta	RAS	TP53	WNT
TCGA-E2-A14R-01	2.08549152825855	1.67462986331171	2.38055906777844	2.71204261804614	2.46962586210744	4.34515364201285	0.995121096098503	2.3129945793648	1.10314759133485	0.978406757329345
TCGA-E2-A1LL-01	1.97788812599997	2.23023111550152	2.49992943818593	3.37735001854299	2.6542633030577	5.13482485285738	1.31201982376046	2.36573386465601	0.988027194617983	1.69113851732381
TCGA-A7-A4SE-01	2.38110090852327	2.28296468013732	2.88507999669601	3.44047186813325	2.30027984630002	4.67635915175433	1.29985788469884	2.47074562671212	1.16385630579234	1.75001237309285
TCGA-BH-A18V-01	1.88919641788695	2.27240102705098	2.2973046193693	3.31889339713387	2.78884219539204	4.71736640586955	1.1989424675696	2.49345754762356	0.996528653798915	1.34825920041314
TCGA-AO-A0J6-01	1.8558631439453	2.03815242401601	2.76293120261775	2.69417395394248	2.69499757379428	4.79966035962221	0.943570675234963	2.28489443605061	0.888604938136012	1.17409618134808
TCGA-C8-A12V-01	1.94422582141854	1.84815517099352	2.46224596274708	2.95821379066411	2.75503785420405	4.69158040536049	1.07106123318368	2.49544268485347	1.1833518162104	1.58900152324834
TCGA-A7-A6VV-01	2.33279504463897	2.23714817609197	2.31643176573513	3.36419548232296	2.62162805076834	5.15788673873389	1.27129043201551	2.54200385965195	0.830558036915676	1.55175424491922
TCGA-E2-A1L7-01	2.02515387112079	1.72725864829697	2.13083169536967	2.72444444910747	2.68539953574119	4.9317160629229	1.50318205409029	2.46971508561088	1.18508638518068	1.15174792263076
TCGA-EW-A1P8-01	2.07654032031736	2.02255060433734	2.56617247008601	2.88780033349159	2.32164204670387	4.66295580870142	1.11778205941977	2.30335916442298	1.06566101514152	1.43114980962167
TCGA-EW-A1OW-01	2.17927938478274	2.14784208152188	2.30747290373265	3.16413589893962	2.37250662417034	4.53630461230075	1.35618783836889	2.50918655828896	1.08741929035747	1.53541141952901
TCGA-E2-A150-01	1.76860230770409	2.22429303174344	2.36750924818633	3.00854851498991	2.77139916764849	5.0041383191829	1.20602997390906	2.42616758099691	0.923034984576519	1.32639770880785
TCGA-S3-AA10-01	2.50951492883476	2.1004781654954	2.68971512240031	3.12395053963425	2.51357200153462	4.39943989160601	1.13807527175534	2.51106317792994	1.08932984635521	1.5662588166709
TCGA-AR-A256-01	2.1251843259471	2.27090132301794	2.54890988099707	2.91851365087505	2.86578151870571	5.19509198177638	1.0907048833052	2.5361526735311	1.10473515148605	1.38817500954851
TCGA-C8-A27B-01	2.03788651323865	1.92409362757602	2.64515647486048	2.67246259384733	2.80566172715213	4.85573084772804	1.22359363577003	2.44926311431926	1.32741354665674	1.28586811117939
TCGA-EW-A3U0-01	2.10151327159326	2.06168600590333	2.72491078013358	3.0637977557887	2.24347673409916	4.55795405140914	1.15777610329552	2.53853947120876	1.12741602748685	1.46755197738401
TCGA-C8-A26X-01	1.97362718348861	1.81754376136381	2.25777517840037	3.16021695756727	2.69006202066412	5.28735615748761	1.3331551684306	2.13190053143679	0.982038260147741	1.15254135628834
TCGA-EW-A1OV-01	1.76782455431444	1.86577511142191	2.34425599733178	3.05708449033696	2.56019501767131	4.96303408546704	1.23200821478419	2.30824145732425	1.24819497986647	1.1969484222905
TCGA-A2-A1G6-01	1.61434219292356	2.20062161387231	2.22506529798573	3.18176732437225	2.66415918590739	4.96635453016706	1.65357638300657	2.66851605065062	1.21159625218359	1.65851326885194
TCGA-EW-A6SB-01	1.97281163979261	1.72431832592429	2.57590164747569	2.70539593673762	2.43167547499934	4.64760529234963	0.980384497961477	2.17676958418558	1.12819172759118	1.34080701765988
TCGA-EW-A1PH-01	2.20705823797773	2.16925429739536	2.86751467962453	3.05484485398354	2.48273337553035	4.822179532208	1.30017811809119	2.30838183588623	0.958916320998428	1.57959366728177
TCGA-BH-A1FC-01	2.22782194909103	2.07054122295691	2.93440062845765	3.1203107192252	2.67962781241647	4.97889512234078	1.30656318413782	2.35616634141044	0.902506119464333	1.11098427510258
TCGA-GI-A2C9-01	2.05287762328947	2.21104790865328	1.96819767349639	3.06581971592233	2.66923925607737	4.86774709429888	1.04068434132477	2.53733644311777	1.25573668514489	1.72902948202292
TCGA-D8-A27M-01	2.11451179212779	2.36063061199053	2.31217845000864	3.0554077847095	2.62239128905727	4.93045086329951	1.25828009047958	2.68736844201702	1.07082765620532	1.50516732254451
TCGA-AR-A0U4-01	1.82150012504325	2.07412518979549	2.44669149077942	2.9838066549754	2.56082759196978	5.02448202273214	1.33110865641168	2.57641699567171	1.23601542954696	1.36425662023329
TCGA-A2-A0YE-01	2.03735458041667	2.43480593500658	2.2166214730043	3.01687405448185	2.73919555911977	4.76499158459014	1.29620893468578	2.50677187712231	0.73272585430111	1.65352362918497
TCGA-GM-A2DH-01	2.20539252552733	1.92860322470804	2.56887892149402	2.85249547869101	2.46677885995186	5.00661012618048	1.27220064992985	2.37181729358216	1.02795822605533	1.14085093470427
TCGA-BH-A42U-01	1.59016097336663	1.88431181285442	2.35847243744862	3.1744519904042	2.49677352504306	4.69452119477615	1.24030912538209	2.40332560445679	0.817784514620574	1.53369535074745
TCGA-D8-A1JL-01	2.03422781374802	2.26157592398093	2.15722689637062	3.06862559147674	2.27896228597484	4.74447980321791	1.12708415343938	2.52683183307806	1.11531989552566	1.39139162164165
TCGA-BH-A1EW-01	1.65199880307664	2.10869758059777	2.31090641842485	2.97508528287414	2.7795529013596	5.06016706519286	1.58105090154808	2.58277278123764	1.38312120652927	1.3049443318941
