Samples	pathway	Cluster
TCGA-A2-A0CM-01	3.38544726156292	clust1
TCGA-A2-A0T2-01	2.82790211346411	clust1
TCGA-A2-A3XT-01	3.03144211924794	clust1
TCGA-A7-A6VY-01	3.19291311818507	clust1
TCGA-AO-A129-01	3.08401457189434	clust1
TCGA-AO-A12F-01	3.44083918671325	clust1
TCGA-AQ-A04J-01	3.1716360118995	clust1
TCGA-AR-A0TS-01	2.88836484514611	clust1
TCGA-AR-A0U4-01	3.11832040953066	clust1
TCGA-AR-A2LR-01	3.39528138445483	clust1
TCGA-BH-A0B3-01	3.12198320502877	clust1
TCGA-BH-A0RX-01	3.21289140548846	clust1
TCGA-BH-A1F6-01	3.11598205308754	clust1
TCGA-D8-A1XQ-01	3.15215819061668	clust1
TCGA-D8-A27H-01	2.92203461842934	clust1
TCGA-E2-A14X-01	3.05279300572202	clust1
TCGA-GM-A2DF-01	2.89081323782731	clust1
TCGA-S3-AA15-01	3.23777903995801	clust1
TCGA-A1-A0SP-01	3.49750128224085	clust2
TCGA-A2-A04U-01	3.3081391504666	clust2
TCGA-A2-A0D0-01	3.5457999951283	clust2
TCGA-A2-A0T0-01	3.22386530011956	clust2
TCGA-A2-A0YE-01	2.92762195168985	clust2
TCGA-A7-A0DA-01	2.91993159277679	clust2
TCGA-A8-A07C-01	3.27582451329182	clust2
TCGA-A8-A07O-01	3.43343164414901	clust2
TCGA-A8-A08R-01	3.11428246534799	clust2
TCGA-A8-A09X-01	2.99610940103307	clust2
TCGA-AC-A2BK-01	3.41841361731911	clust2
TCGA-AC-A2QH-01	2.94937069739434	clust2
TCGA-AC-A6IW-01	3.26147684417009	clust2
TCGA-AN-A04D-01	3.3370334797206	clust2
TCGA-AN-A0AR-01	3.29584270293194	clust2
TCGA-AN-A0AT-01	3.62412556464771	clust2
TCGA-AN-A0G0-01	3.10225655043929	clust2
TCGA-AN-A0XU-01	3.30579493676161	clust2
TCGA-AO-A0J4-01	3.20229406335173	clust2
TCGA-AO-A0J6-01	3.47458642168036	clust2
TCGA-AO-A0JL-01	3.08315928029858	clust2
TCGA-AO-A124-01	3.13512007731093	clust2
TCGA-AO-A1KR-01	3.26495212704676	clust2
TCGA-AR-A0TU-01	3.64930589947007	clust2
TCGA-AR-A1AY-01	3.38682621804231	clust2
TCGA-AR-A256-01	3.4723152194	clust2
TCGA-B6-A3ZX-01	3.06187396246024	clust2
TCGA-B6-A402-01	3.14609621482821	clust2
TCGA-BH-A0B9-01	3.46338561655667	clust2
TCGA-BH-A0BG-01	3.06436719884403	clust2
TCGA-BH-A0E0-01	3.07470587222112	clust2
TCGA-BH-A0WA-01	3.13932224461691	clust2
TCGA-BH-A18G-01	3.01289960595788	clust2
TCGA-BH-A1FC-01	3.39934084375651	clust2
TCGA-C8-A1HJ-01	3.57262907264542	clust2
TCGA-C8-A27B-01	3.26136630710646	clust2
TCGA-D8-A147-01	3.08351325123274	clust2
TCGA-D8-A1JF-01	2.95884617642746	clust2
TCGA-D8-A1XK-01	3.63732447841725	clust2
TCGA-E2-A14N-01	3.49954616690909	clust2
TCGA-E2-A14R-01	3.53383662060373	clust2
TCGA-E2-A150-01	2.94016621688309	clust2
TCGA-E2-A158-01	3.12806126217221	clust2
TCGA-E2-A1LH-01	2.8297329179815	clust2
TCGA-E2-A1LS-01	2.99036076876	clust2
TCGA-EW-A1OW-01	3.32835513352301	clust2
TCGA-EW-A1P8-01	3.18450417230203	clust2
TCGA-EW-A1PB-01	3.11641251024601	clust2
TCGA-EW-A6SB-01	3.37537693167107	clust2
TCGA-GI-A2C9-01	3.18781980852709	clust2
TCGA-GM-A2DB-01	3.0547038339332	clust2
TCGA-HN-A2NL-01	3.61451878428049	clust2
TCGA-LL-A5YO-01	2.99905558910007	clust2
TCGA-S3-AA10-01	3.48090454073857	clust2
TCGA-A2-A0D2-01	3.64283889044499	clust3
TCGA-A2-A0SX-01	3.0060366208988	clust3
TCGA-A2-A1G6-01	2.79190820310824	clust3
TCGA-A2-A3XX-01	3.24705479683741	clust3
TCGA-A2-A3XY-01	2.96518552123608	clust3
TCGA-A7-A26G-01	2.86282004006232	clust3
TCGA-A7-A4SE-01	3.18198646889588	clust3
TCGA-A7-A6VV-01	2.90060923562143	clust3
TCGA-A7-A6VW-01	3.36918180769906	clust3
TCGA-AC-A2QJ-01	2.91812193154378	clust3
TCGA-AC-A7VC-01	3.33969919088975	clust3
TCGA-AN-A0AL-01	2.98564906715134	clust3
TCGA-AO-A03U-01	2.64930589947007	clust3
TCGA-AO-A128-01	3.183033488861	clust3
TCGA-AR-A1AR-01	3.19524418540146	clust3
TCGA-AR-A5QQ-01	3.31755061550576	clust3
TCGA-B6-A400-01	3.34438316185062	clust3
TCGA-BH-A0BL-01	3.11658155498147	clust3
TCGA-BH-A18V-01	3.28744617602547	clust3
TCGA-BH-A1EW-01	3.15092950940698	clust3
TCGA-BH-A42U-01	2.79855668343338	clust3
TCGA-C8-A12V-01	2.95112399043968	clust3
TCGA-C8-A131-01	3.12713007452381	clust3
TCGA-C8-A26X-01	2.9361928436213	clust3
TCGA-C8-A3M7-01	2.7140135010503	clust3
TCGA-D8-A13Z-01	2.87443388875414	clust3
TCGA-D8-A143-01	3.27110991093743	clust3
TCGA-D8-A1JL-01	3.11853152573163	clust3
TCGA-D8-A27F-01	3.08903323627362	clust3
TCGA-D8-A27M-01	2.83406022177644	clust3
TCGA-E2-A1L7-01	3.16561007284912	clust3
TCGA-E2-A1LL-01	3.27095730542281	clust3
TCGA-E9-A5FL-01	2.91656830203621	clust3
TCGA-EW-A1OV-01	3.02216746849826	clust3
TCGA-EW-A1P4-01	3.29218283165763	clust3
TCGA-EW-A1PH-01	3.30014082552736	clust3
TCGA-EW-A3U0-01	3.01659112441592	clust3
TCGA-GM-A2DH-01	3.1445221582399	clust3
TCGA-LL-A441-01	3.07890100354468	clust3
TCGA-LL-A73Y-01	2.85448105785085	clust3
TCGA-OL-A6VO-01	3.37064863452517	clust3
