Samples	pathway	Cluster
TCGA-A1-A0SP-01	0.973474088643812	clust2
TCGA-A2-A04U-01	1.04877848572064	clust2
TCGA-A2-A0CM-01	1.04018960493654	clust1
TCGA-A2-A0D0-01	0.804826585766529	clust2
TCGA-A2-A0D2-01	1.04361311133076	clust3
TCGA-A2-A0SX-01	0.973779684344435	clust3
TCGA-A2-A0T0-01	1.17616238833019	clust2
TCGA-A2-A0T2-01	1.29833613780254	clust1
TCGA-A2-A0YE-01	0.968149376413081	clust2
TCGA-A2-A1G6-01	1.22007550507918	clust3
TCGA-A2-A3XT-01	1.10958886188943	clust1
TCGA-A2-A3XX-01	1.08588842192545	clust3
TCGA-A2-A3XY-01	1.3716375842747	clust3
TCGA-A7-A0DA-01	1.04951338676955	clust2
TCGA-A7-A26G-01	1.36083432034701	clust3
TCGA-A7-A4SE-01	1.36766553126162	clust3
TCGA-A7-A6VV-01	1.21370437483416	clust3
TCGA-A7-A6VW-01	0.876951685218557	clust3
TCGA-A7-A6VY-01	0.936407708139014	clust1
TCGA-A8-A07C-01	0.970769264795386	clust2
TCGA-A8-A07O-01	1.10245293515602	clust2
TCGA-A8-A08R-01	1.11443574228849	clust2
TCGA-A8-A09X-01	1.26834809736342	clust2
TCGA-AC-A2BK-01	0.765331327845772	clust2
TCGA-AC-A2QH-01	0.787543824867303	clust2
TCGA-AC-A2QJ-01	1.21505756181964	clust3
TCGA-AC-A6IW-01	0.740166239094573	clust2
TCGA-AC-A7VC-01	1.47817549689737	clust3
TCGA-AN-A04D-01	0.859309612513911	clust2
TCGA-AN-A0AL-01	1.45476888988172	clust3
TCGA-AN-A0AR-01	0.723486969108857	clust2
TCGA-AN-A0AT-01	0.837766267655775	clust2
TCGA-AN-A0G0-01	1.05811800524594	clust2
TCGA-AN-A0XU-01	0.834291143684962	clust2
TCGA-AO-A03U-01	1.38513554449346	clust3
TCGA-AO-A0J4-01	1.14919449851751	clust2
TCGA-AO-A0J6-01	0.79229609708328	clust2
TCGA-AO-A0JL-01	1.39054630926578	clust2
TCGA-AO-A124-01	0.885024394008954	clust2
TCGA-AO-A128-01	0.886873609050621	clust3
TCGA-AO-A129-01	1.10309652441075	clust1
TCGA-AO-A12F-01	1.43802773089037	clust1
TCGA-AO-A1KR-01	0.984007462814756	clust2
TCGA-AQ-A04J-01	1.46101357288518	clust1
TCGA-AR-A0TS-01	1.09793634975247	clust1
TCGA-AR-A0TU-01	0.749614084106492	clust2
TCGA-AR-A0U4-01	1.14314223935987	clust1
TCGA-AR-A1AR-01	1.23320959373294	clust3
TCGA-AR-A1AY-01	0.912750590951315	clust2
TCGA-AR-A256-01	0.898070583199858	clust2
TCGA-AR-A2LR-01	1.18932940214277	clust1
TCGA-AR-A5QQ-01	1.05728018867027	clust3
TCGA-B6-A3ZX-01	0.925070015162502	clust2
TCGA-B6-A400-01	1.04328261812656	clust3
TCGA-B6-A402-01	0.812164174632532	clust2
TCGA-BH-A0B3-01	1.02251862960481	clust1
TCGA-BH-A0B9-01	0.576535600708215	clust2
TCGA-BH-A0BG-01	0.950020133596963	clust2
TCGA-BH-A0BL-01	1.41889279661338	clust3
TCGA-BH-A0E0-01	0.952740458591463	clust2
TCGA-BH-A0RX-01	1.41516501758066	clust1
TCGA-BH-A0WA-01	1.21989539141769	clust2
TCGA-BH-A18G-01	0.951543169057668	clust2
TCGA-BH-A18V-01	1.11737418606916	clust3
TCGA-BH-A1EW-01	1.37471955692412	clust3
TCGA-BH-A1F6-01	1.01106744808784	clust1
TCGA-BH-A1FC-01	0.781262275641398	clust2
TCGA-BH-A42U-01	1.31671508825477	clust3
TCGA-C8-A12V-01	1.09616442014432	clust3
TCGA-C8-A131-01	1.31373991810011	clust3
TCGA-C8-A1HJ-01	1.22395268632197	clust2
TCGA-C8-A26X-01	1.46525000455298	clust3
TCGA-C8-A27B-01	0.967176129008841	clust2
TCGA-C8-A3M7-01	1.57653560070821	clust3
TCGA-D8-A13Z-01	1.22494625127098	clust3
TCGA-D8-A143-01	1.18526451132033	clust3
TCGA-D8-A147-01	0.647110708582992	clust2
TCGA-D8-A1JF-01	0.969704814136825	clust2
TCGA-D8-A1JL-01	1.13954435145299	clust3
TCGA-D8-A1XK-01	0.795941570491662	clust2
TCGA-D8-A1XQ-01	0.99290231852181	clust1
TCGA-D8-A27F-01	1.13224155970887	clust3
TCGA-D8-A27H-01	1.189559708184	clust1
TCGA-D8-A27M-01	1.08947602595468	clust3
TCGA-E2-A14N-01	0.680197875778922	clust2
TCGA-E2-A14R-01	0.959425266608027	clust2
TCGA-E2-A14X-01	1.10695030016128	clust1
TCGA-E2-A150-01	1.2063854038564	clust2
TCGA-E2-A158-01	0.737225039526902	clust2
TCGA-E2-A1L7-01	0.971035172254936	clust3
TCGA-E2-A1LH-01	1.16541528605853	clust2
TCGA-E2-A1LL-01	1.16096786967856	clust3
TCGA-E2-A1LS-01	1.00707929291207	clust2
TCGA-E9-A5FL-01	0.902552248110901	clust3
TCGA-EW-A1OV-01	1.11699600754485	clust3
TCGA-EW-A1OW-01	1.29833925751743	clust2
TCGA-EW-A1P4-01	0.924987195483649	clust3
TCGA-EW-A1P8-01	0.938939330126581	clust2
TCGA-EW-A1PB-01	0.610371338408714	clust2
TCGA-EW-A1PH-01	0.802210048160109	clust3
TCGA-EW-A3U0-01	1.17704720209853	clust3
TCGA-EW-A6SB-01	0.683004673290609	clust2
TCGA-GI-A2C9-01	0.914972179849701	clust2
TCGA-GM-A2DB-01	0.995227068340449	clust2
TCGA-GM-A2DF-01	1.16924258461601	clust1
TCGA-GM-A2DH-01	0.896137431763866	clust3
TCGA-HN-A2NL-01	0.644867157779096	clust2
TCGA-LL-A441-01	1.07712122580472	clust3
TCGA-LL-A5YO-01	0.953474574692028	clust2
TCGA-LL-A73Y-01	1.41879869774748	clust3
TCGA-OL-A6VO-01	0.79049858668501	clust3
TCGA-S3-AA10-01	0.970328392692577	clust2
TCGA-S3-AA15-01	1.36993194795268	clust1
