Samples	pathway	Cluster
TCGA-A1-A0SP-01	3.7674270024393	clust2
TCGA-A2-A04U-01	3.6029710340894	clust2
TCGA-A2-A0CM-01	3.78680534869666	clust1
TCGA-A2-A0D0-01	3.8587989568017	clust2
TCGA-A2-A0D2-01	3.78314375234187	clust3
TCGA-A2-A0SX-01	3.99665387753514	clust3
TCGA-A2-A0T0-01	4.19535759252569	clust2
TCGA-A2-A0T2-01	4.0647250251741	clust1
TCGA-A2-A0YE-01	3.68911324328839	clust2
TCGA-A2-A1G6-01	3.97230385506878	clust3
TCGA-A2-A3XT-01	3.82256839031696	clust1
TCGA-A2-A3XX-01	3.90100921319236	clust3
TCGA-A2-A3XY-01	4.23373734639586	clust3
TCGA-A7-A0DA-01	4.17020684002373	clust2
TCGA-A7-A26G-01	3.89955712046212	clust3
TCGA-A7-A4SE-01	4.23793777389853	clust3
TCGA-A7-A6VV-01	4.29278061167482	clust3
TCGA-A7-A6VW-01	3.81657869935856	clust3
TCGA-A7-A6VY-01	4.22405679032363	clust1
TCGA-A8-A07C-01	3.44916373227004	clust2
TCGA-A8-A07O-01	3.75607017354915	clust2
TCGA-A8-A08R-01	3.78743029232213	clust2
TCGA-A8-A09X-01	3.52178844491291	clust2
TCGA-AC-A2BK-01	3.47495832535261	clust2
TCGA-AC-A2QH-01	3.30658035904796	clust2
TCGA-AC-A2QJ-01	3.98706414979375	clust3
TCGA-AC-A6IW-01	3.60793761027169	clust2
TCGA-AC-A7VC-01	3.97754861960271	clust3
TCGA-AN-A04D-01	3.38379508923984	clust2
TCGA-AN-A0AL-01	4.08103291575856	clust3
TCGA-AN-A0AR-01	3.37044625057668	clust2
TCGA-AN-A0AT-01	3.70858459784153	clust2
TCGA-AN-A0G0-01	3.82342839139347	clust2
TCGA-AN-A0XU-01	4.0901987773987	clust2
TCGA-AO-A03U-01	4.10833002791923	clust3
TCGA-AO-A0J4-01	4.12562625902227	clust2
TCGA-AO-A0J6-01	3.83418213055627	clust2
TCGA-AO-A0JL-01	3.87812807678695	clust2
TCGA-AO-A124-01	3.76401407671639	clust2
TCGA-AO-A128-01	3.78450236364367	clust3
TCGA-AO-A129-01	3.9328134409014	clust1
TCGA-AO-A12F-01	3.88064804054278	clust1
TCGA-AO-A1KR-01	3.75394079297406	clust2
TCGA-AQ-A04J-01	4.10554908384278	clust1
TCGA-AR-A0TS-01	3.67857672535191	clust1
TCGA-AR-A0TU-01	3.35138566130749	clust2
TCGA-AR-A0U4-01	4.08744899210343	clust1
TCGA-AR-A1AR-01	3.9106905415423	clust3
TCGA-AR-A1AY-01	3.98129122229178	clust2
TCGA-AR-A256-01	3.89169584891464	clust2
TCGA-AR-A2LR-01	3.87696124817509	clust1
TCGA-AR-A5QQ-01	4.23030746487158	clust3
TCGA-B6-A3ZX-01	3.57340300441457	clust2
TCGA-B6-A400-01	3.97394489542425	clust3
TCGA-B6-A402-01	3.66295730589359	clust2
TCGA-BH-A0B3-01	4.19695337090297	clust1
TCGA-BH-A0B9-01	3.57658509992056	clust2
TCGA-BH-A0BG-01	3.73950623091119	clust2
TCGA-BH-A0BL-01	4.22059112101265	clust3
TCGA-BH-A0E0-01	3.58726462191491	clust2
TCGA-BH-A0RX-01	3.95718471193351	clust1
TCGA-BH-A0WA-01	4.17999400090341	clust2
TCGA-BH-A18G-01	3.95839898720495	clust2
TCGA-BH-A18V-01	3.8586771054779	clust3
TCGA-BH-A1EW-01	3.90036157305225	clust3
TCGA-BH-A1F6-01	3.97895575351582	clust1
TCGA-BH-A1FC-01	3.56966570960426	clust2
TCGA-BH-A42U-01	4.12620227295005	clust3
TCGA-C8-A12V-01	3.78979732308651	clust3
TCGA-C8-A131-01	4.04256398949297	clust3
TCGA-C8-A1HJ-01	3.51639946722524	clust2
TCGA-C8-A26X-01	4.24937333643119	clust3
TCGA-C8-A27B-01	3.79349602779588	clust2
TCGA-C8-A3M7-01	3.79016943502742	clust3
