logFC	AveExpr	t	P.Value	adj.P.Val	B
DUSP1	-1.86038462760665	6.668465525739	-10.6037928030675	1.30516951267201e-18	2.50083530323085e-14	31.50616424035
CCDC80	-1.62732041939994	4.85528354454492	-8.94109482601995	9.09675596993719e-15	8.71514705699833e-11	23.0374412585841
FOS	-2.00230781880495	6.33392891599327	-8.70990090584879	3.07638250235402e-14	1.96488550425351e-10	21.8697204214846
SERPINE1	-1.78930519971176	5.41127104180629	-8.62707785433586	4.75391633821004e-14	2.0311206368166e-10	21.4525646823264
PDE2A	-0.938911648859414	1.54441368598224	-8.6063577854501	5.30014257297792e-14	2.0311206368166e-10	21.3483093423508
ACVRL1	-0.991114162958673	3.80253912132433	-8.55824299745227	6.8217675719701e-14	2.17853147410865e-10	21.1063840842469
IGFBP4	-1.42629092596956	8.61413378355242	-8.41044609035932	1.47864817214988e-13	4.04748251808055e-10	20.3648154746617
VWF	-1.39547444624655	5.08928417882736	-8.38056350144129	1.72843662056405e-13	4.13982176082846e-10	20.2151835595628
SEMA6B	-1.10547300337178	2.91696927185628	-8.23519939841377	3.68718333717468e-13	7.8500133248449e-10	19.4888673965643
THBD	-1.21376124270402	3.85545790741068	-8.14135871840076	6.00402428312456e-13	1.1504310928895e-09	19.021457747541
CD248	-1.31720068006849	5.46033742072843	-8.0595191126859	9.1760490385438e-13	1.59838432388671e-09	18.6148307614994
LRRC32	-1.25216230717968	4.25737974678685	-8.02996640910654	1.06922217944543e-12	1.7072805150295e-09	18.4682360450417
MRGPRF	-1.13561466355069	2.24476097098015	-8.0062274734645	1.20885056830521e-12	1.78175274917662e-09	18.3505751473404
PEAR1	-1.01290441461057	1.82420273988208	-7.95457797999181	1.57839424594865e-12	2.03146703192996e-09	18.0948751462786
CFH	-1.19353002952896	3.93388581540421	-7.95311999156757	1.59031394389382e-12	2.03146703192996e-09	18.0876631355374
HOXD9	-1.0661330092246	2.62538469263677	-7.92721649937942	1.81764070984433e-12	2.17673835258295e-09	17.9595862028133
CNRIP1	-0.925890919725301	2.65188081653302	-7.89260766621337	2.17249567716486e-12	2.44865821589153e-09	17.7886339863555
MMP19	-0.947743061244051	3.01547948464997	-7.81370764900104	3.25987825244995e-12	3.47014039973297e-09	17.3996376439091
CAVIN2	-1.42504990827456	2.04718197054421	-7.78668480052745	3.74503885042802e-12	3.7767731270027e-09	17.2666493992461
EHD2	-1.19815595285504	5.64018856022299	-7.73159227751101	4.96736792298336e-12	4.70553006600436e-09	16.9959133960241
ARHGEF15	-1.01975050757225	2.67224920851502	-7.72427122129877	5.1571489685346e-12	4.70553006600436e-09	16.9599764806142
ZFP36	-1.34785995138328	7.14113828035553	-7.71179751310215	5.49722719881308e-12	4.78783501620261e-09	16.8987687586069
ITGA5	-1.18242029471187	5.40586380700134	-7.68708935296445	6.23796807385539e-12	5.19676983752797e-09	16.7776100185015
TIE1	-1.0478775118338	3.26130921633148	-7.65250820619548	7.4438380727042e-12	5.70944278954048e-09	16.6082250646659
PECAM1	-1.08981829067067	5.66755807651128	-7.65236454983628	7.44930169294463e-12	5.70944278954048e-09	16.6075218682764
ACKR3	-1.02739942694301	4.41703128323362	-7.64079181456758	7.90277542776323e-12	5.82404153736043e-09	16.5508860381608
SFRP4	-2.11748446309621	5.18844423588064	-7.61881676248028	8.84060211322191e-12	6.27388063301648e-09	16.4434111388587
DIPK2B	-0.960081689460916	2.86861997588182	-7.60433850840438	9.51803605019885e-12	6.45435615323466e-09	16.3726510439963
MMRN2	-1.14861510176614	3.6947377066788	-7.59924102292447	9.7686095946874e-12	6.45435615323466e-09	16.347747382456
SERPINF1	-1.17890655306074	6.98788982557717	-7.58474701495917	1.05174229325485e-11	6.60647356540555e-09	16.2769642889504
S1PR1	-1.22818232717963	4.05225748981559	-7.58158119858662	1.0688412949615e-11	6.60647356540555e-09	16.2615090278309
NPR1	-1.11417587998546	2.43249565606111	-7.55551916560459	1.22050378643228e-11	7.30814782869652e-09	16.1343497658174
ECSCR	-1.03698455400073	2.88914305958614	-7.54137451148828	1.31156591788424e-11	7.61542865229693e-09	16.0653918552837
JUN	-1.10311892243362	7.25728915122867	-7.49908262506269	1.62601950393377e-11	9.16357638672795e-09	15.8594459649508
ROBO4	-0.867653705409914	2.99651376065324	-7.46138827880568	1.9687124549319e-11	1.07778569568429e-08	15.6761901848989
STARD8	-0.841195984330619	2.4037250710377	-7.41920687116026	2.43766898366132e-11	1.29744931655374e-08	15.4714640787056
CTSG	-1.31313553258026	1.19134400523191	-7.40347647703684	2.639597429958e-11	1.36695476636284e-08	15.395211606043
MFAP4	-1.87219491276664	4.63495106603878	-7.35846106676307	3.31374962056248e-11	1.67091464419994e-08	15.1772895293819
HSPA12B	-0.995091491782009	2.7846370216477	-7.30215939277233	4.4014953368071e-11	2.12598433981674e-08	14.9053429127836
ADCY4	-0.892486050736318	1.87741560781379	-7.30051246248262	4.43814903150512e-11	2.12598433981674e-08	14.8973983822287
THSD1	-0.779340770160518	2.09183234598726	-7.28783702642215	4.73056224442998e-11	2.21078788208592e-08	14.8362741325098
CD34	-0.928877905614585	4.02843459534453	-7.25383005647628	5.61282239204155e-11	2.56064975842638e-08	14.6724602759775
TPST2	-0.844767537052451	3.69869903102957	-7.20501298664481	7.17125054931407e-11	3.18351280802515e-08	14.4377616268619
GNG11	-0.923457300611381	4.11665682456098	-7.19742786000503	7.44917117139237e-11	3.18351280802515e-08	14.4013434556006
PODN	-1.41017205988714	3.78614096323999	-7.19627741944064	7.49224539741704e-11	3.18351280802515e-08	14.3958210508372
LTBP2	-1.32272501892711	5.19939355518664	-7.19231007446236	7.6426903172672e-11	3.18351280802515e-08	14.3767791436662
IGFBP6	-1.39201854392709	3.83725074991523	-7.1846802768162	7.94048056092956e-11	3.23718187293556e-08	14.3401689652905
MMP2	-1.41050888567937	7.4977922028808	-7.16950516564324	8.56734961449007e-11	3.35272795412255e-08	14.2673942665239
SMIM3	-0.955735444434216	4.41795478436935	-7.16935348079558	8.57385677950027e-11	3.35272795412255e-08	14.2666671088266
TSHZ3	-0.959674061420891	2.57942772863343	-7.15132741998544	9.38306691427098e-11	3.59577890288692e-08	14.1802909461949
RAPGEF3	-0.761718649270984	1.41554919894629	-7.08562123617796	1.30266473752002e-10	4.89418804620022e-08	13.8660980265978
HOXD8	-0.883593496350543	2.41470068322654	-7.07642943492795	1.3637337920975e-10	5.02509676738083e-08	13.8222277583284
CDH5	-1.00249245101818	4.11876396140354	-7.07126356142812	1.39929066073041e-10	5.05883176419912e-08	13.797581323439
AOC3	-1.28200334228571	3.62747200879076	-7.06178263628816	1.46695283971451e-10	5.205237659587e-08	13.752364724162
CD93	-1.07092904496121	5.06801398135118	-7.0516843509873	1.54258551250876e-10	5.37408745548735e-08	13.7042280787402
LYVE1	-1.18897648657242	1.74479468996875	-7.04360084114506	1.60589970820588e-10	5.38761330107076e-08	13.6657136134795
CXCL12	-1.26734711574498	5.1575567374752	-7.04234464691481	1.61596717787673e-10	5.38761330107076e-08	13.6597298361603
NNMT	-1.33052437436464	6.31834823715271	-7.04050532719623	1.63082078942698e-10	5.38761330107076e-08	13.6509690939243
ESAM	-0.936002167975497	4.59181965523964	-7.02942040702624	1.723243370216e-10	5.59645190113709e-08	13.5981890218065
HBEGF	-1.03528352153215	3.59849379857573	-7.01727614340687	1.83045750875097e-10	5.84556605419624e-08	13.5404000954985
P4HA3	-1.0891689974203	2.4063713962717	-7.0112517317833	1.88606750806202e-10	5.92441631507809e-08	13.5117464009569
SH3TC1	-0.844674519935013	2.25717485716146	-6.99117728149265	2.08371837621286e-10	6.41562182127293e-08	13.4163328998433
IGF1	-0.70295019778019	0.755104660421659	-6.98870742900824	2.10941065048899e-10	6.41562182127293e-08	13.4046007670739
TMEM173	-0.982331718835505	5.04405130719298	-6.98204773325473	2.18026010858007e-10	6.52749436570354e-08	13.3729740233564
EMILIN1	-1.5025189423488	5.57722664124771	-6.97779721606083	2.22670543331455e-10	6.56398504734462e-08	13.3527943059666
C11orf96	-1.25965745575575	3.57334612358417	-6.96870956375541	2.32931604243227e-10	6.76242798318859e-08	13.309665294092
DLL4	-0.809632360756647	2.97165769164987	-6.92320365456449	2.9178580864064e-10	8.25926984175543e-08	13.0940184013046
ACKR1	-2.06834215299184	3.33246742764035	-6.91954687619915	2.97109136562969e-10	8.25926984175543e-08	13.0767126705389
EPAS1	-1.03442968314734	5.59431131993454	-6.91933422065887	2.97421647659895e-10	8.25926984175543e-08	13.0757063839645
TMEM119	-1.31268951089037	4.70209100557579	-6.90169173140801	3.24513591972512e-10	8.83309135495096e-08	12.9922632986541
CRISPLD2	-1.11715289037505	4.60686671927581	-6.89995736039849	3.27305196076154e-10	8.83309135495096e-08	12.9840647123403
F13A1	-1.66045880597328	3.87538309939212	-6.89294459326136	3.38837067886584e-10	8.90480363347282e-08	12.9509225731894
THY1	-1.19247333880994	5.90285480592352	-6.89269359952214	3.39257170942809e-10	8.90480363347282e-08	12.9497366242865
ADGRA2	-1.0560889697019	3.57185952244464	-6.86566547816355	3.87644941749788e-10	9.91691657392055e-08	12.8221260659372
NOTCH4	-0.79436037158641	2.69541975221841	-6.86373793473337	3.91345627731763e-10	9.91691657392055e-08	12.8130327885595
SCARF1	-0.769308647190178	2.6191013729982	-6.86270475274129	3.93343593558771e-10	9.91691657392055e-08	12.8081591122526
GRASP	-0.908563621586292	2.65264364724376	-6.85918523518608	4.00225649867655e-10	9.95938139884953e-08	12.7915591561221
ERG	-0.942980945641284	2.41363473577276	-6.8430896198078	4.33247584685077e-10	1.06428935514753e-07	12.7156858285499
NDN	-1.27526626463217	3.7974495709799	-6.83816663832498	4.4387555378533e-10	1.07659487165579e-07	12.6924932453326
PTGIR	-0.741545663371276	1.86730460763597	-6.83494407572801	4.50971781826319e-10	1.08013378894676e-07	12.677315023322
ANGPTL2	-1.15023980084084	5.29272091366902	-6.8270060969436	4.68933665036593e-10	1.10928863651434e-07	12.6399392473394
PRICKLE2	-0.99954711987947	2.24698529590448	-6.78368542454471	5.80162155018723e-10	1.35277863209155e-07	12.4362676280211
GPR4	-0.76406534030516	3.16201278208601	-6.78165022448081	5.85985211959701e-10	1.35277863209155e-07	12.4267118341443
SRPX2	-1.33265391378312	4.04205883131046	-6.75773539134257	6.58893200027379e-10	1.50298245306245e-07	12.3145114874869
LDB2	-0.877868577274221	2.63023477980168	-6.7143834868098	8.14629830447987e-10	1.83636731543693e-07	12.1115269437073
DUSP5	-1.10206654455711	4.81521235513717	-6.70021364397112	8.73029552978962e-10	1.92284039164095e-07	12.0452954587197
DCN	-1.45054685200364	6.05807345579892	-6.70020639652242	8.730604565146e-10	1.92284039164095e-07	12.0452615979513
PDGFRB	-1.21291760064372	5.69771089501714	-6.69721491469495	8.85909050524981e-10	1.92896628603513e-07	12.0312863924264
MYCT1	-0.938547749459181	2.77196847465777	-6.69135959270593	9.11601158411975e-10	1.96260559509347e-07	12.0039396898515
CLEC14A	-1.00929061743547	4.11015848922654	-6.68093490058185	9.59177768046181e-10	2.04208946817032e-07	11.9552765324436
HTRA1	-1.35864785109658	7.38389728276563	-6.67208540602538	1.00148463326695e-09	2.10873044593715e-07	11.9139910428157
ZCCHC24	-1.08824681943213	3.69794457091631	-6.66211897977469	1.05134132947789e-09	2.18964687110064e-07	11.8675218243383
LRP1	-1.19158833944905	5.2871561240926	-6.64677578936725	1.13292681491145e-09	2.32573472694538e-07	11.7960393764574
SSC5D	-1.06507095069149	2.43008320822828	-6.64532480043553	1.14095853208531e-09	2.32573472694538e-07	11.7892829065831
HEG1	-1.04472086458364	4.43699507910957	-6.64240214997664	1.15730752656599e-09	2.33422837016115e-07	11.7756755716963
VEGFC	-1.06841609094376	3.4225790461122	-6.63651289225802	1.190957554203e-09	2.37707684334205e-07	11.7482638326416
PDE1B	-0.716781051587726	1.61866836344849	-6.60996075279654	1.35507211798483e-09	2.67675637656777e-07	11.6248025426089
TMEM255B	-0.651073965664783	1.64167492567468	-6.58422978151503	1.53535607889329e-09	3.00193447221167e-07	11.5053585561533
SLIT3	-1.20268888212957	2.70312731419742	-6.57208469772774	1.62848675731396e-09	3.13711703287208e-07	11.4490493295446
TNXB	-0.971615312499335	1.30674657583976	-6.57097858044419	1.63724076659469e-09	3.13711703287208e-07	11.4439231473051
SLCO2A1	-1.27904656807143	3.44995672893896	-6.56482373544317	1.68680659856574e-09	3.20008923119981e-07	11.4154058951966
PLVAP	-0.907187406768987	6.91088735409385	-6.55827254699657	1.74119234965876e-09	3.27088104037368e-07	11.3850648009837
CPA3	-1.66905970985716	2.26380463507833	-6.54925540178345	1.81889087219256e-09	3.3836667963186e-07	11.343324106473
APLNR	-1.18917353826535	4.61265998660127	-6.53525368200544	1.94637443460192e-09	3.5860077443661e-07	11.2785584966106
TMEM204	-0.961812823443115	4.51547601886836	-6.51289287278919	2.16848638562296e-09	3.91102734479775e-07	11.1752515134817
KANK3	-0.839664098106187	1.58593450020754	-6.51228280151224	2.17488441861811e-09	3.91102734479775e-07	11.172435129989
CHRD	-0.899153097375377	1.52495019595667	-6.51141483271775	2.18401923643526e-09	3.91102734479775e-07	11.1684283642145
OLFML1	-0.915992495803041	2.97944565154198	-6.49581362348312	2.35482086733258e-09	4.17784468879255e-07	11.0964487654612
TGFB1	-1.02904028098345	5.44326190072961	-6.4927252543077	2.39016307492646e-09	4.20164354850146e-07	11.0822088086149
ADGRL4	-1.00010421898676	4.17408596416445	-6.45926054200752	2.80833889142515e-09	4.8550218514113e-07	10.9280986873763
SVEP1	-1.07993428727003	1.76300076326882	-6.45895124307917	2.81252244406166e-09	4.8550218514113e-07	10.9266759494964
MSX1	-0.942148115283404	2.19390966326203	-6.45048933737013	2.92939339065704e-09	5.01161667485531e-07	10.887763850782
ENG	-0.849791328485161	6.5810180372555	-6.43387477702581	3.17297620958431e-09	5.36100921939309e-07	10.8114273505456
SOX17	-0.802019509740281	1.90925979535527	-6.43278863968022	3.18957805443773e-09	5.36100921939309e-07	10.8064400707366
SELP	-1.46522111266398	2.20839260108563	-6.4163005019039	3.45238319928323e-09	5.75227082447529e-07	10.7307765060197
FLI1	-0.903500616798746	2.99536208709667	-6.41182869105191	3.52726840555051e-09	5.82637844127183e-07	10.7102704130218
BCL6B	-0.853656532510789	3.23771786214496	-6.3994509740765	3.74300268924138e-09	6.12988671184222e-07	10.6535440367596
CSRNP1	-0.849606067849055	4.68693270590044	-6.38750785964054	3.96347951709801e-09	6.4359517819589e-07	10.5988559878487
LOXL1	-1.07077851503411	4.74680786400602	-6.37774308193	4.15321931886697e-09	6.68738112342941e-07	10.5541767667305
TMEM273	-0.92815465842123	2.50255150988399	-6.34453249307136	4.86805571971776e-09	7.77306797045934e-07	10.4024514281636
COL1A1	-1.44272963584242	9.96998729561504	-6.3218130412836	5.42562597240706e-09	8.59177018655303e-07	10.2988633603797
INMT	-0.968944970277055	1.36507541137257	-6.3109957118744	5.71277566978114e-09	8.972335623662e-07	10.2496021170726
