T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	Risk
TCGA-A1-A0SP-01	1.94822168176632	1.49447286661951	1.79465373164481	1.69718164354695	0.236933688106832	4.51543618198521	4.13927894454453	1.51464438421452	2.88273195963853	6.84619902637791	High
TCGA-A2-A04U-01	1.08154387917172	0.777578684591772	0.789633226700355	0.657994132889028	0.161862057302695	2.25857575700085	0.57017475484265	1.24079377549984	2.44614994678089	6.78898810487847	Low
TCGA-A2-A0CM-01	2.91270466880162	3.83079940743761	2.73094796322094	1.64609854738315	0.552653575206773	4.43051119666872	1.96388965048381	1.63216102427751	3.03812016622924	7.47099088609982	High
TCGA-A2-A0D0-01	1.90913852759243	2.39938648501895	1.56439197191008	0.680440787473656	0.436059924581879	2.89300740033801	2.19484193977734	1.5666300026899	1.94358781399057	5.24882695073082	Low
TCGA-A2-A0D2-01	2.26703165576252	3.06515759647848	1.5568319818345	1.9144453662772	0.575675600383253	3.715287950398	2.59336017044145	1.49641712045805	3.21490330475848	7.51848582248286	Low
TCGA-A2-A0SX-01	3.44672133355058	3.62233726257165	2.0454876906727	3.39526545643333	0.598090180331965	4.57653046070292	3.32487629878917	2.03951572799423	3.08641983367481	7.80653117943325	High
TCGA-A2-A0T0-01	1.61497580400172	1.4593643808242	1.0142060006239	0.425661463912983	0.385849367181405	3.22890009572534	0.931525837670359	1.48594861104667	2.75366362256323	7.81531275867959	Low
TCGA-A2-A0T2-01	1.2231259152191	2.5651198923103	0.876296124017056	0.236142277167396	0.257883209661839	2.86727660024232	0.903606594946526	1.50131388825679	2.73357674612122	7.08575652133124	High
TCGA-A2-A0YE-01	1.22117299033696	0.875047424585198	0.99719161507929	0.87574896464866	0.248176637839658	3.05080207708575	1.04829773358086	1.7777487746532	2.78946937372655	7.32577059710939	Low
TCGA-A2-A1G6-01	2.00921964741873	3.065008656193	1.66551968638163	1.16686530797472	0.32133795643344	3.55190826357157	2.75766602706025	2.29410806361932	3.71601671981464	7.52584728686018	High
TCGA-A2-A3XT-01	2.30268409703523	1.91287385901607	0.92481136367505	0.963503723896384	0.204758464409294	4.75056830921169	3.40633297452523	1.65419545947848	2.75885217789728	6.82146615063809	High
TCGA-A2-A3XX-01	2.09266435669411	3.52493996380164	1.67932634163114	2.81303263566635	0.351292111022167	3.15502609268507	1.30456649026664	1.19834978403674	2.91623529779593	7.24893605699287	High
TCGA-A2-A3XY-01	3.12972253672414	2.3521167537792	2.03652640971132	2.51442361862076	0.498210358030802	4.00957942192268	3.24294855293802	1.8196441332168	3.85694552823201	8.62707414889135	High
TCGA-A7-A0DA-01	1.12254699466997	1.50849154681277	0.905618474380903	0.331371650503982	0.259244187965321	2.86281704424599	0.845175068366851	1.39810022548301	2.63083790663565	8.06714572598742	Low
TCGA-A7-A26G-01	2.71373690189819	2.38337248153332	1.71222565862182	2.74578098312041	0.302800924651831	4.49945057016039	2.71316378716024	1.82698639667524	3.37788589713203	8.19262865435121	Low
TCGA-A7-A4SE-01	1.93127806112093	1.35822534001572	1.3203986077594	0.886594246699041	0.292993285768675	3.85930962289926	2.59428478234277	1.65583146796915	3.83666490281791	8.69277573434332	High
TCGA-A7-A6VV-01	1.90432588400892	1.94106661552918	1.34479949271084	1.57364628931374	0.459255673265876	4.0936309186433	2.14792309514469	1.90335907644086	3.34300479712946	8.83526453147633	High
TCGA-A7-A6VW-01	1.15835221567757	1.02802804715919	1.12415424611836	1.02551786135734	0.236537828906459	3.97749412787475	1.61349744617492	1.66309965710177	2.28089930662561	6.83610363083858	Low
TCGA-A7-A6VY-01	2.57997207256186	2.15662357640834	1.72108743232626	1.62973887085158	0.325334345794537	4.25006505228947	2.70011877797277	1.76688326220222	2.41273364082486	7.93474251935743	High
TCGA-A8-A07C-01	2.29999812627562	2.55902711287108	1.97416050947674	2.1504502032342	0.836628206309756	4.05335744298934	1.57878139546623	1.44178838097439	2.82123842502262	6.08440130028121	Low
TCGA-A8-A07O-01	1.42141002899539	3.0571732199453	0.950732099225148	0.433746227019929	0.315006176027337	4.03897463447522	2.39417564898894	1.62050685766266	2.59756024352348	6.87741275991129	Low
TCGA-A8-A08R-01	2.52070119293384	2.52627111083189	1.96326697890601	2.59970314713601	0.808234520838451	4.63500193907277	2.19601029064008	1.49837689115269	3.35696142202642	7.12528979436728	Low
TCGA-A8-A09X-01	2.64057556831179	3.55308989108891	1.96654684308327	1.96857281695828	0.590155591770469	4.73714555217824	1.37232671642473	1.69794307480065	3.20712396293918	7.20180915704382	High
TCGA-AC-A2BK-01	1.10036947629174	1.6054780990328	1.83801816581283	1.1320143131936	0.12524748682388	3.0454312558223	0.490983852586125	1.50260644336098	2.60770649291456	4.36150044972988	Low
TCGA-AC-A2QH-01	0.891778356533573	0.546017946284725	0.694883994558286	0.26410729252465	0.33763438338994	2.33975374128032	0.943443508143091	1.35389999574114	1.89218136743925	5.87031385450989	Low
TCGA-AC-A2QJ-01	1.57666719642017	1.49762697633207	0.661288035798244	0.377805552733207	0.110085246131622	4.00752019003698	2.59085555780183	1.4927689749432	2.68445344585971	8.89643941201969	High
TCGA-AC-A6IW-01	2.80938918172863	4.58507706042953	1.64370156187447	1.93015249932168	0.476572883143796	5.24453552064589	3.93254074438409	1.30846800353536	2.32159491604877	4.93264712691944	High
TCGA-AC-A7VC-01	0.849027740159726	0.408949722175663	0.57858033363475	0.278529877325125	0.502337140325551	3.40292074252331	1.81535188669176	1.98565342882084	3.81530722267256	9.48490114044756	High
TCGA-AN-A04D-01	0.74747654579521	1.76596279663397	0.343125179546888	0.340580178568475	0.171804173515975	1.82534098887517	0.772329670933476	1.20260328257495	2.48845864379227	4.87662898984332	Low
TCGA-AN-A0AL-01	2.02450509338156	1.72193887563533	1.4428304804945	3.75186748571292	0.456896932744148	3.53136979538189	2.06839603697687	1.7885646634257	3.51139395807525	7.98347992597138	Low
TCGA-AN-A0AR-01	1.05142185191467	0.814947200548426	0.553102630867688	0.514045446711706	0.0263798420125046	2.94163307548932	0.80398603782867	1.30618558055544	2.27402363014005	5.45983270404624	Low
TCGA-AN-A0AT-01	1.869520925575	2.49772632457628	1.60108167667198	1.94989042280828	0.226736680666094	3.26467813051855	2.08340106753781	1.47194163189527	2.23078466932331	6.0447955230419	Low
TCGA-AN-A0G0-01	1.27364042352915	1.06848764178685	1.01369969051571	0.964634419156999	0.34520892689213	3.252819109594	0.996720974064881	1.73711854944164	2.6978359526752	6.73191836928701	Low
TCGA-AN-A0XU-01	1.91645522008033	5.05311924725189	1.89790139789201	0.924278776850364	0.965417563065522	3.61426023441605	2.29486425543356	1.94973941133038	2.54637755911026	6.24212083926684	Low
TCGA-AO-A03U-01	1.3717768305675	1.51792838122066	2.57612394147085	0.605538690739806	2.28532708373118	4.62669976499856	3.04259470020945	2.48290560164638	2.94261788849338	7.35649781462302	High
TCGA-AO-A0J4-01	2.96583800419271	2.8775880965866	2.3076629946233	3.79752436586666	0.676422609949539	3.49345811170974	3.26032354167783	1.58606830990923	3.20307975313654	7.47698104007145	Low
TCGA-AO-A0J6-01	1.97480014882509	3.05225681813719	2.0432828560105	0.446702821064846	1.11511817180059	4.10905055599947	1.61740034385617	1.67127699180732	1.88417599386456	5.62765544609756	Low
TCGA-AO-A0JL-01	0.783177761730397	1.06119547850431	0.612811972835862	0.408389730886364	0.169493851189076	1.98358755464359	0.57263392819382	1.16001861188045	2.93895058891834	6.0058172643851	Low
TCGA-AO-A124-01	1.38515501592143	5.35963545437763	1.09302043961233	0.525371675748642	0.200450409331766	3.01884668713593	1.23751925496928	1.74497461941383	2.31075126387135	5.86894456654473	Low
TCGA-AO-A128-01	4.38108410207888	5.6598842127687	3.6799924229328	2.47700074363036	1.50771544289094	5.87897593329079	2.33712754901859	2.19300245090074	2.70572977314692	6.48175081765226	High
TCGA-AO-A129-01	2.59957196495503	3.36977402902982	2.0212079601255	3.20276565489698	0.876717140444581	3.61394082030219	2.06879993061277	1.50733149937376	2.96003453255355	6.9940760975556	Low
