"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"1",1,0,0,0,0.0519877675840979,0,0,0,0.167173252279635,0.04,0.973941368078176,0.00934579439252336,0.18,0.0660377358490566,0,0,0,0,0.056782334384858,0,0.0390879478827362,0.0315457413249211,0,0.0788643533123028,0.0309597523219814,0,0,0,0,0.0294117647058824,0.0195439739413681,0.0524590163934426,0,0.00602409638554217,0,0.00952380952380952,0.0307692307692308,0.00337837837837838,0.0479041916167665,0.0883280757097792,0.00602409638554217,0.0361842105263158,0.288461538461538,0,0,0.0318471337579618,0.0628930817610063,0.0355987055016181,0.0213414634146341,0.710526315789474,0.0093167701863354,0.00316455696202532,0.0062111801242236,0.0611620795107034,0,0.784313725490196,0.062111801242236,0.00641025641025641,0.0251572327044025,0.0216049382716049,0,0.0158730158730159,0,0.0216049382716049,0.0102040816326531,0.016025641025641,0.0534124629080119,0.0851735015772871,0,0.0795107033639144,0.266666666666667,0.0610932475884244,0.232258064516129,0.0407523510971787,0.0575079872204473,0.0153374233128834,0,0,0.0125391849529781,0.0186915887850467,0.238853503184713,0.0188679245283019,0.608832807570978,0.217125382262997,0.89419795221843,0.878205128205128,0.0125,0.095679012345679,0.050314465408805,0.00313479623824451,0.0274390243902439,0.209003215434084,0.0128205128205128,0.527777777777778,0.0126984126984127,0.0408805031446541,0.00638977635782748,0.00321543408360129,0.0123076923076923,0.00643086816720257,0.0128205128205128,0.377643504531722,0,0.048048048048048,0.0192307692307692,0,0.0316455696202532,0,0.381410256410256,0,0.280487804878049,0,0
"2",0,1,0.317152103559871,0.00337837837837838,0,0.0260586319218241,0.129032258064516,0.0166666666666667,0,0,0,0,0,0,0.150641025641026,0.00327868852459016,0,0.833898305084746,0,0.191358024691358,0,0,0.114093959731544,0.00655737704918033,0,0.00641025641025641,1,0.580645161290323,0.161904761904762,0.0131578947368421,0,0,0.973941368078176,0.0419354838709677,0.725552050473186,0,0.00319488817891374,0.0927835051546392,0,0,0,0,0,0.354430379746835,0.0830670926517572,0,0,0.00332225913621262,0,0,0,0,0.0811688311688312,0,0.00321543408360129,0,0,0.0166112956810631,0.00332225913621262,0.0191693290734824,0.336569579288026,0,0.363333333333333,0,0,0,0,0,0,0,0,0,0,0.0392156862745098,0,0.0652173913043478,0.01,0.135761589403974,0,0,0,0.0258064516129032,0,0.00634920634920635,0,0,0,0,0,0.0528052805280528,0,0,0,0.00319488817891374,0,0,0,0,0.00319488817891374,0.0427631578947368,0.0066006600660066,0,0.0220125786163522,0,0,0,0,1,0,0.431309904153355,0,0.196875,0.937908496732026
"3",0,0.317152103559871,1,0.188925081433225,0,0.0065359477124183,0.283018867924528,0.175718849840256,0,0.0640243902439024,0,0.0566037735849057,0,0,0.233128834355828,0.221153846153846,0.156626506024096,0.378980891719745,0,0.507598784194529,0,0,0.186708860759494,0.06875,0,0.200636942675159,0.283387622149837,0.0889570552147239,0.617088607594937,0.016025641025641,0,0.0301003344481605,0.263322884012539,0.106918238993711,0.230769230769231,0,0.025,0.743243243243243,0,0,0,0.104575163398693,0.0517799352750809,1,0.0404984423676012,0.0162866449511401,0.0791139240506329,0.0287539936102236,0.0181268882175227,0,0.0157728706624606,0,0.158878504672897,0,0.205047318611987,0,0,0.115755627009646,0.0328947368421053,0.0368098159509202,1,0,0.92156862745098,0,0,0,0,0,0.20983606557377,0,0,0,0.0836012861736334,0.00313479623824451,0.0886075949367089,0.279761904761905,0.207119741100324,0.180064308681672,0,0,0.00974025974025974,0.123028391167192,0,0.140672782874618,0,0,0,0,0,0.554140127388535,0.0313479623824451,0,0,0.0886075949367089,0.00318471337579618,0,0.00315457413249211,0.20952380952381,0.0274390243902439,0.00645161290322581,0,0.109090909090909,0.169753086419753,0.00305810397553517,0,0.130030959752322,0,0.255451713395639,0,0.871875,0.0425531914893617,0.245341614906832,0.41025641025641
"4",0,0.00337837837837838,0.188925081433225,1,0,0.108196721311475,0.264331210191083,0.946843853820598,0.00643086816720257,0.15210355987055,0,0.25,0,0,0.0159235668789809,1,0.933753943217666,0.0136054421768707,0,0.504731861198738,0,0.0130293159609121,0.0805369127516778,0.00655737704918033,0.00318471337579618,0.853896103896104,0,0.0448717948717949,0.545161290322581,0.00694444444444444,0.00336700336700337,0.0716723549488055,0,0.534426229508197,0.208074534161491,0.0032258064516129,0.0521172638436482,0.333333333333333,0,0,0.00321543408360129,0.0341296928327645,0.0101351351351351,0.168253968253968,0.00655737704918033,0.00666666666666667,0.0358306188925081,0.00336700336700337,0.0501567398119122,0,0.189542483660131,0.0101694915254237,0.0197368421052632,0,1,0,0,0.538205980066445,0.0033003300330033,0.00636942675159236,0.09,0,0.204697986577181,0,0.00699300699300699,0,0,0,0.966442953020134,0,0,0,0,0,0.0521172638436482,0.0786163522012579,0.887788778877888,0.0230263157894737,0.00341296928327645,0,0,0.00970873786407767,0,0.016025641025641,0,0,0,0,0,0.563106796116505,0.0032258064516129,0,0,0,0.0303030303030303,0.0164473684210526,0.127388535031847,0.68,0.0376175548589342,0,0.00666666666666667,0.00315457413249211,0.873817034700315,0.0514469453376206,0,0.782608695652174,0,0,0,0.182724252491694,0.00641025641025641,0.0223642172523962,0.00983606557377049
"5",0.0519877675840979,0,0,0,1,0,0,0,0.212827988338192,0,0.0886075949367089,0.00303951367781155,0.277955271565495,0.278787878787879,0,0,0,0,0.363636363636364,0,0.281645569620253,0.00920245398773006,0,0.025,0.0422960725075529,0,0,0,0,0.00617283950617284,0.112179487179487,0.00638977635782748,0,0.0696969696969697,0,0.0584615384615385,0.00301204819277108,0,0.423631123919308,0.370820668693009,0.0828402366863905,0,0,0,0,0.00645161290322581,0.00314465408805031,0.00630914826498423,0.00597014925373134,0.333333333333333,0.00303030303030303,0.0122699386503067,0,0.310030395136778,0,0.0897832817337461,0.364457831325301,0,0.0276923076923077,0.0153374233128834,0,0.806962025316456,0,0.242331288343558,0.0357142857142857,0.776357827476038,0.356521739130435,0.362229102167183,0,0.391566265060241,0.249266862170088,0.286624203821656,0,0.0498442367601246,0,0.0118694362017804,0,0,0.0662650602409639,0.876923076923077,0.10126582278481,0.029940119760479,0.124223602484472,0,0.106896551724138,0.100917431192661,0.773809523809524,0.377643504531722,0.0341614906832298,0,0.0363636363636364,0.233644859813084,0.109375,0.00917431192660551,0.032258064516129,0.0513595166163142,0.0123076923076923,0,0.0421686746987952,0.00311526479750779,0.00949367088607595,0,0,0.00900900900900901,0.78343949044586,0,0.303405572755418,0,0.201863354037267,0,0,0,0
"6",0,0.0260586319218241,0.0065359477124183,0.108196721311475,0,1,0.0638977635782748,0.118971061093248,0.0662650602409639,0.00307692307692308,0.0033112582781457,0.0348101265822785,0.0164473684210526,0.00323624595469256,0.0441640378548896,0.112903225806452,0.141538461538462,0.0266666666666667,0,0.108024691358025,0,0.113564668769716,0.053156146179402,0.00326797385620915,0.0155763239875389,0.121019108280255,0.0189873417721519,0.396875,0.0479233226837061,0.0557377049180328,0,0,0.0288461538461538,0.137820512820513,0.0716510903426791,0.0124610591900312,0.00619195046439629,0.0168918918918919,0,0.00319488817891374,0,0,0,0,0.423676012461059,0.0198019801980198,0.00316455696202532,0.0258899676375405,0.00305810397553517,0,0.0317460317460317,0.0709677419354839,0.0958466453674121,0,0.112852664576803,0.0131578947368421,0,0.0809061488673139,0,0.0317460317460317,0,0,0.0196078431372549,0,0.00342465753424658,0,0,0.00315457413249211,0.11437908496732,0,0.0182926829268293,0,0,0.845659163987138,0.00321543408360129,0.00914634146341463,0.12779552715655,0.0651465798045603,0.00641025641025641,0,0.143790849673203,0,0.0321543408360129,0.00307692307692308,0,0.0065359477124183,0,0.00317460317460317,0.0192926045016077,0.0347003154574132,0.00317460317460317,0,0,0,0.00323624595469256,0,0.0914826498422713,0.122977346278317,0.00313479623824451,0.536741214057508,1,0,0.169753086419753,0,0,0.154320987654321,0,0.0275229357798165,0.0129449838187702,0.00974025974025974,0,0.0955414012738854,0.019047619047619
"7",0,0.129032258064516,0.283018867924528,0.264331210191083,0,0.0638977635782748,1,0.226837060702875,0.00302114803625378,0.0508982035928144,0,0.0644171779141104,0,0,0.705521472392638,0.293929712460064,0.198795180722892,0.0575079872204473,0,0.164634146341463,0,0.00311526479750779,0.901273885350318,0.191823899371069,0,0.244648318042813,0.177777777777778,0.115501519756839,0.212307692307692,0.205211726384365,0,0.0163934426229508,0.0662460567823344,0.114906832298137,0.343283582089552,0,0.0247678018575851,0.214521452145215,0,0,0,0.15506329113924,0.028391167192429,0.27190332326284,0.461300309597523,0.0809061488673139,0.0743034055727554,0.00318471337579618,0.0180722891566265,0,0.059190031152648,0,0.652037617554859,0,0.312883435582822,0.00316455696202532,0,0.138364779874214,0,0.0609756097560976,0.245222929936306,0,0.25,0,0,0,0,0,0.3,0,0,0,0.0189274447949527,0.0336391437308868,0.101587301587302,0.0505952380952381,0.251612903225806,0.682692307692308,0,0,0,0.0123839009287926,0,0.068452380952381,0,0,0,0,0,0.259375,0,0,0,0.0158730158730159,0.00634920634920635,0,0.0401234567901235,0.218649517684887,0.00613496932515337,0.322683706070288,0.00321543408360129,0.0236686390532544,0.203592814371257,0.00906344410876133,0,0.215339233038348,0,0.0848484848484849,0,0.236196319018405,0.0150602409638554,0.669753086419753,0.242138364779874
"8",0,0.0166666666666667,0.175718849840256,0.946843853820598,0,0.118971061093248,0.226837060702875,1,0,0.06875,0,0.201923076923077,0,0,0.00315457413249211,0.976666666666667,0.946708463949843,0.033003300330033,0,0.536050156739812,0,0.00643086816720257,0.0263157894736842,0,0.00316455696202532,0.924764890282132,0.0065359477124183,0.0643086816720257,0.606811145510836,0,0,0.0199335548172757,0.0130718954248366,0.639871382636656,0.269938650306748,0,0.0223642172523962,0.318791946308725,0,0,0,0.0136986301369863,0,0.140625,0,0,0.0128617363344051,0,0.0156739811912226,0,0.16403785488959,0.0065359477124183,0.00326797385620915,0,0.964401294498382,0,0,0.606779661016949,0.00325732899022801,0.00317460317460317,0.0868167202572347,0,0.193333333333333,0,0.00352112676056338,0,0,0,0.947368421052632,0,0,0,0,0.00326797385620915,0.0321543408360129,0.0959752321981424,0.960264900662252,0,0.00324675324675325,0,0,0.0225806451612903,0,0.0154320987654321,0,0,0.00314465408805031,0,0,0.47588424437299,0,0,0,0,0.0165016501650165,0.00319488817891374,0.106451612903226,0.652173913043478,0.0559006211180124,0,0.0162337662337662,0,0.968553459119497,0.0157728706624606,0.00326797385620915,0.779503105590062,0,0.0121951219512195,0,0.185303514376997,0,0.00311526479750779,0.0132013201320132
"9",0.167173252279635,0,0,0.00643086816720257,0.212827988338192,0.0662650602409639,0.00302114803625378,0,1,0.0949554896142433,0.25705329153605,0.0388059701492537,1,0.43202416918429,0.00598802395209581,0,0.0029585798816568,0,0.207951070336391,0,0.204334365325077,0.209090909090909,0.00617283950617284,0.0338461538461538,0.0508982035928144,0,0,0,0,0.00617283950617284,0.116129032258065,0.19047619047619,0,0,0,0.0341614906832298,0.0476190476190476,0.019672131147541,0.246418338108883,0.647590361445783,0.174927113702624,0,0.0691823899371069,0,0.0149253731343284,0.00643086816720257,0.00911854103343465,0.00308641975308642,0.0505952380952381,0.326086956521739,0.0457317073170732,0.0703363914373089,0.00606060606060606,0.209580838323353,0.00308641975308642,0.326018808777429,0.218934911242604,0.0347003154574132,0,0.00302114803625378,0,0.05625,0,0.119631901840491,0.0163934426229508,0.0544871794871795,0.203488372093023,0.648902821316614,0,0.596439169139466,0.572700296735905,0.168789808917197,0.110091743119266,0.11144578313253,0.00917431192660551,0,0,0.00307692307692308,0.0246153846153846,0.0402476780185759,0,0,0.481927710843373,0.056047197640118,0.172297297297297,0.193846153846154,0.0474777448071217,0.68141592920354,0.0512048192771084,0.0151515151515152,0,0.116352201257862,0.108359133126935,0.0581039755351682,0.0664556962025316,0.178247734138973,0.0813253012048193,0.015527950310559,0.00301204819277108,0.0771604938271605,0.098159509202454,0.0621301775147929,0,0.161290322580645,0.0410094637223975,0.0204678362573099,0.184615384615385,0,0.569182389937107,0,0.117302052785924,0.0060790273556231,0
"10",0.04,0,0.0640243902439024,0.15210355987055,0,0.00307692307692308,0.0508982035928144,0.06875,0.0949554896142433,1,0,0.198198198198198,0.0380952380952381,0,0.0305810397553517,0.113564668769716,0.0735294117647059,0.00315457413249211,0.00304878048780488,0.024024024024024,0.00311526479750779,0.0180722891566265,0.0471698113207547,0.0996884735202492,0.157575757575758,0.0648148148148148,0,0.00301204819277108,0.0725075528700906,0.230529595015576,0.0454545454545455,0.993485342019544,0.00308641975308642,0.0833333333333333,0.00294985250737463,0.0519877675840979,0.281524926686217,0.175496688741722,0,0,0.0699708454810496,0.266457680250784,0.242138364779874,0.0562130177514793,0.0121951219512195,0.296052631578947,0.457943925233645,0.163141993957704,0.315315315315315,0,0.18266253869969,0.0513595166163142,0.0213414634146341,0.00301204819277108,0.122699386503067,0.00317460317460317,0.00306748466257669,0.28125,0.0287539936102236,0.104294478527607,0.0501567398119122,0,0.0403726708074534,0.0184049079754601,0.0495049504950495,0,0,0.00625,0.0909090909090909,0,0,0.00946372239747634,0.289719626168224,0,0.411214953271028,0.0208955223880597,0.0573248407643312,0.0249221183800623,0.04,0,0.00319488817891374,0.00303030303030303,0,0.250755287009063,0.00335570469798658,0.00632911392405063,0,0,0.0804953560371517,0.231707317073171,0.0755287009063444,0.009375,0.0348101265822785,0.117647058823529,0.174603174603175,0.585139318885449,0.0640243902439024,0.186335403726708,0.0391566265060241,0.00315457413249211,0,0.194690265486726,0.0630630630630631,0.770149253731343,0,0.0878787878787879,0.00311526479750779,0,0,0.0363636363636364,0.329305135951662,0.0122324159021407,0.00313479623824451
