p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene	pct.diff
0	3.74485185227679	0.84	0.246	0	Epithelial cell	CD24	0.594
0	2.57876345505092	0.715	0.058	0	Epithelial cell	KRT19	0.657
0	2.13368041606009	0.625	0.303	0	Epithelial cell	MGP	0.322
0	2.11909853251207	0.786	0.083	0	Epithelial cell	KRT7	0.703
0	1.94123121716174	0.6	0.041	0	Epithelial cell	AZGP1	0.559
0	1.89738768680197	0.667	0.047	0	Epithelial cell	CLDN4	0.62
0	1.88905706644237	0.814	0.087	0	Epithelial cell	MGST1	0.727
0	1.85006787951483	0.786	0.069	0	Epithelial cell	KRT18	0.717
0	1.75396614033721	0.789	0.096	0	Epithelial cell	PERP	0.693
0	1.67893090607727	0.755	0.059	0	Epithelial cell	KRT8	0.696
0	1.61166155169626	0.768	0.227	0	Epithelial cell	SPINT2	0.541
0	1.60845359392289	0.564	0.031	0	Epithelial cell	CLDN3	0.533
0	1.56513508456322	0.649	0.058	0	Epithelial cell	TACSTD2	0.591
0	1.49801126842176	0.696	0.038	0	Epithelial cell	EPCAM	0.658
0	1.47807291946325	0.731	0.096	0	Epithelial cell	TM4SF1	0.635
0	1.46460193258948	0.62	0.025	0	Epithelial cell	ELF3	0.595
0	1.44457694706787	0.768	0.223	0	Epithelial cell	STMN1	0.545
0	1.40641610593287	0.551	0.024	0	Epithelial cell	SLPI	0.527
0	1.37871759361984	0.805	0.27	0	Epithelial cell	MARCKSL1	0.535
0	1.19731562140311	0.903	0.496	0	Epithelial cell	TUBB	0.407
0	1.17544850551364	0.544	0.019	0	Epithelial cell	FXYD3	0.525
0	1.14962631236657	0.598	0.037	0	Epithelial cell	SERINC2	0.561
0	1.13481153543678	0.65	0.137	0	Epithelial cell	CRIP2	0.513
0	1.11914118004484	0.777	0.376	0	Epithelial cell	IDH2	0.401
0	1.11202421274082	0.584	0.17	0	Epithelial cell	ATG5	0.414
0	1.10123012918011	0.541	0.142	0	Epithelial cell	CCND1	0.399
0	1.0402336534758	0.879	0.518	0	Epithelial cell	DBI	0.361
0	1.02199584794823	0.903	0.65	0	Epithelial cell	MIF	0.253
0	1.00325342071756	0.547	0.028	0	Epithelial cell	CLDN7	0.519
0	0.996646221732376	0.939	0.695	0	Epithelial cell	ALDOA	0.244
0	0.980251486965893	0.741	0.332	0	Epithelial cell	PFDN2	0.409
0	0.967014274067103	0.907	0.572	0	Epithelial cell	UQCRH	0.335
0	0.962334899456623	0.604	0.113	0	Epithelial cell	HEBP2	0.491
0	0.949441401425796	0.987	0.907	0	Epithelial cell	GAPDH	0.08
0	0.947847147446575	0.783	0.285	0	Epithelial cell	TSTD1	0.498
0	0.941941907474538	0.704	0.156	0	Epithelial cell	GGCT	0.548
0	0.932837820999371	0.691	0.175	0	Epithelial cell	CD9	0.516
0	0.927502091527107	0.592	0.014	0	Epithelial cell	RAB25	0.578
0	0.918530064064498	0.852	0.346	0	Epithelial cell	DSTN	0.506
0	0.917655771502245	0.715	0.271	0	Epithelial cell	HMGA1	0.444
0	0.916229217235102	0.649	0.118	0	Epithelial cell	CKS1B	0.531
0	0.905637488038439	0.697	0.211	0	Epithelial cell	STRA13	0.486
0	0.891425618681496	0.648	0.2	0	Epithelial cell	FDPS	0.448
0	0.890527255061597	0.908	0.584	0	Epithelial cell	PRDX1	0.324
0	0.882051859485165	0.85	0.5	0	Epithelial cell	P4HB	0.35
0	0.878435575215661	0.892	0.538	0	Epithelial cell	CSTB	0.354
0	0.871715656678328	0.786	0.359	0	Epithelial cell	HN1	0.427
0	0.870092469524454	0.641	0.171	0	Epithelial cell	SPTSSA	0.47
0	0.867123317963125	0.538	0.023	0	Epithelial cell	DSP	0.515
0	0.865556555705466	0.942	0.761	0	Epithelial cell	PPDPF	0.181
0	0.86477748367055	0.899	0.579	0	Epithelial cell	PKM	0.32
0	0.863028666783512	0.649	0.118	0	Epithelial cell	PAFAH1B3	0.531
0	0.861625083141131	0.562	0.026	0	Epithelial cell	PLPP2	0.536
0	0.850975118627166	0.852	0.59	0	Epithelial cell	RPS17	0.262
0	0.848212424391839	0.952	0.77	0	Epithelial cell	CHCHD2	0.182
0	0.845296992393545	0.885	0.533	0	Epithelial cell	ENO1	0.352
0	0.844273000867465	0.568	0.092	0	Epithelial cell	TNFRSF12A	0.476
0	0.840338251199531	0.537	0.065	0	Epithelial cell	PFN2	0.472
0	0.820235790306525	0.88	0.518	0	Epithelial cell	ANXA2	0.362
0	0.814868154541084	0.555	0.106	0	Epithelial cell	EMP2	0.449
0	0.808321676355376	0.617	0.156	0	Epithelial cell	SOX4	0.461
0	0.777808291976045	0.684	0.221	0	Epithelial cell	TMED3	0.463
0	0.770775090096804	0.749	0.27	0	Epithelial cell	SNRPE	0.479
0	0.76544113274158	0.528	0.192	0	Epithelial cell	PLA2G16	0.336
0	0.758531986925546	0.605	0.155	0	Epithelial cell	FKBP4	0.45
0	0.753243805753928	0.931	0.653	0	Epithelial cell	TPI1	0.278
0	0.750601033903192	0.565	0.127	0	Epithelial cell	BNIP3	0.438
0	0.746588551089788	0.665	0.156	0	Epithelial cell	PGRMC1	0.509
0	0.741172737895642	0.659	0.194	0	Epithelial cell	CYB5A	0.465
0	0.739938577984584	0.95	0.736	0	Epithelial cell	YBX1	0.214
0	0.736667223142593	0.699	0.176	0	Epithelial cell	TPM1	0.523
0	0.736034794861488	0.608	0.177	0	Epithelial cell	MDK	0.431
0	0.731874957582651	0.817	0.394	0	Epithelial cell	MDH2	0.423
