GOBP_AGING	GOBP_CELL_AGING	GOBP_CELLULAR_SENESCENCE	GOBP_MULTICELLULAR_ORGANISM_AGING	GOBP_MUSCLE_ATROPHY	GOBP_NEGATIVE_REGULATION_OF_CELL_AGING	GOBP_POSITIVE_REGULATION_OF_CELL_AGING	GOBP_REGULATION_OF_CELL_AGING	GOBP_REPLICATIVE_SENESCENCE	GOBP_SKELETAL_MUSCLE_ATROPHY	GOBP_STRIATED_MUSCLE_ATROPHY	GOBP_STRESS_INDUCED_PREMATURE_SENESCENCE	KEGG_P53_SIGNALING_PATHWAY	REACTOME_CELLULAR_SENESCENCE	REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	REACTOME_ONCOGENE_INDUCED_SENESCENCE	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE
TCGA-E2-A14R-01	3.81402924973819	4.32914366323738	3.96297332736661	2.01198269823908	0.247525155373471	1.26266591517145	1.55964972190394	3.02432255077814	2.15474612185835	-0.077641088905314	0.0645445495549317	1.1576623535493	2.56150074741631	4.78973819692824	2.56576100121819	3.54173666008317	4.33616834065455
TCGA-E2-A1LL-01	3.90191079993909	4.4625943464819	4.10242655711644	1.77047751574925	0.208762260517782	1.53100181252906	1.43372986571061	3.47059892403164	1.72103976640419	-0.0967276942142736	0.0338988419063962	1.09777442305787	2.72970517036882	5.1500511898835	2.61566623233664	3.52403031556095	4.37079960548663
TCGA-A7-A4SE-01	3.9833031178466	4.61653708041724	4.27594999352084	1.99854198783165	0.248587933732026	1.7048882721561	1.42008634135747	3.49963311155083	2.22601039309122	-0.0595961485297839	0.0461068401769103	1.18618604733019	2.57475554662079	4.89772527671936	2.40449450218949	3.83451654573258	4.39383145787294
TCGA-BH-A18V-01	3.81182060166714	4.42809194142624	3.99067520535848	2.04718060011012	0.247709532049957	1.51712455542212	1.39978604336451	3.31725598784897	1.97763811065432	-0.028965782178166	0.054088114911373	1.1015432360943	2.5064744868153	4.78311364741657	2.59945763197676	3.44696262327902	4.05522639426603
TCGA-AO-A0J6-01	3.6826140579993	4.0052474235266	3.71745390660736	1.67343736309545	0.253753951250908	1.13473963626279	1.3605636714451	2.91454255277354	1.3698228338263	0.0526363222479633	0.125300308666754	1.00464149847351	2.32555210092773	4.88345736230581	2.45845362214372	3.18757086735594	4.22028956699478
TCGA-C8-A12V-01	3.770787253247	4.25147111127299	3.9012104431441	2.00458291279934	0.2317727720405	1.10324140024132	1.53826104303541	3.07588998355068	2.01673074327736	-0.0356147768815937	0.0579722484913284	1.30172783311138	2.51374502503798	4.739133135538	2.49207734891176	3.41786684965604	4.23282387927027
TCGA-A7-A6VV-01	4.00782853243152	4.55023137661152	4.20103255290705	2.05902622964231	0.280019693228545	1.45568984649224	1.19947107428031	3.17492795161336	2.13486267097909	0.0766126573883083	0.152425705237511	1.17383552882085	2.59907946194411	4.85251318361969	2.37341197336889	3.64128174472098	4.41258257754563
TCGA-E2-A1L7-01	3.95273113469369	4.43616237316834	3.96863520183352	1.93549598981941	0.281283504347911	1.18656862554566	1.36029832751448	2.85890279230127	1.88946665242253	-0.0172745936620881	0.0872586515532439	1.14063583400627	2.62318506329656	4.84915649326069	2.64694812655324	3.68201575166862	4.37220717142358
TCGA-EW-A1P8-01	3.82106355968521	4.25908643192135	3.82575274423861	2.08994360370514	0.223854290090908	1.13608015000824	1.31799955168697	2.88838636280487	1.99805826375549	-0.139248568840395	0.00525917932539262	1.11599563411207	2.49008482254262	4.90243127795724	2.52564244323565	3.49047555200485	4.41487038239774
TCGA-EW-A1OW-01	4.1217257097816	4.49631203742473	4.13984953436762	2.09307408550272	0.216628029276416	1.41587097954544	1.32357377542747	3.16804384606139	2.00305151135349	-0.122151213502337	0.0166920588739744	1.01717768940199	2.5186302218929	4.91787751701499	2.53005597653981	3.53210403116718	4.43055699689331
TCGA-E2-A150-01	3.78928903577794	4.21060393124463	3.90177920276115	1.88352883813299	0.400602371182899	1.21622916470884	1.32908701076687	2.93452689882624	1.57079982607407	0.114991967742491	0.181265215803677	1.13871496961661	2.31281113385134	4.6763846808046	2.36380695709827	3.26907372970213	4.07629108886649
TCGA-S3-AA10-01	3.96587479656693	4.70884242655349	4.43225969468169	1.74165097492668	0.14519592650322	1.5681605339045	1.74120771716085	3.55807091847491	2.08835832990493	-0.0744943184288587	0.0269849901319759	1.11443132506377	2.66412092643824	5.14854525550109	2.69877412516255	3.89273090038596	4.50033158597562
TCGA-AR-A256-01	3.84773979197854	4.37028067891561	3.99018834536488	1.90238282522218	0.330451378758358	1.31448282568476	1.08572976926068	3.04948448194487	2.02088986198387	0.0918972566310076	0.169808612027666	1.00345882870056	2.5067878820329	4.88688853744336	2.63688839412935	3.55578747610534	4.28680549624924
TCGA-C8-A27B-01	3.87674641493325	4.44444135625235	4.26627895240639	1.92098144320778	0.294916475864953	1.50846331361354	1.5036530608813	3.33453684385967	1.73448149980157	0.0215018113071527	0.115237673946781	1.32628713706238	2.54334473276431	4.88431137385076	2.59767924367946	3.5863924478147	4.32292844211582
TCGA-EW-A3U0-01	4.03972980905143	4.47950036427779	4.09959038611703	2.09389443107944	0.25010360077084	1.41825620573399	1.56275325803095	3.27143425977643	1.97326000162169	-0.00501311911518028	0.0912066546106123	1.05204923019068	2.46064328040879	4.82380676984529	2.44297838376644	3.56977143182608	4.37648228864257
TCGA-C8-A26X-01	3.9403681225249	4.33765991050359	4.03566158238181	1.82830046100769	0.338385715575921	1.2219479749248	1.35526217934315	3.12483428109397	1.81238389649451	0.041223432591234	0.116096247387634	1.10672954976577	2.44038392528861	4.66728743377679	2.30290667825333	3.26697250809519	4.13853546358416
TCGA-EW-A1OV-01	3.83467696905062	4.27325087724969	3.87365195407558	1.75728469934165	0.268246825902631	1.36180930835261	1.43273312951594	3.15437165852915	1.80900627932015	-0.0288695652246425	0.0842737722515196	1.33954619290033	2.25632054632333	4.7938613198621	2.42529547522513	3.39213889299956	4.27498380279369
TCGA-A2-A1G6-01	3.94978162326431	4.49671796256667	4.22169894184658	2.07070567727691	0.332250930758037	1.29937336519079	1.36723421954666	3.14817390739913	1.83860991064628	-0.00433346968834215	0.0899703751459284	1.59543559120942	2.26088304153926	4.46948960307497	2.25890474833943	3.24148131576777	3.96663487875078
TCGA-EW-A6SB-01	3.58375923542546	4.20907403471916	3.79888279049467	1.5418186042796	0.260150442909354	1.29330825121305	1.75815010267651	3.24916397720393	1.66286781995925	0.0358495561148552	0.0925161746692206	1.16208489943826	2.54816732493175	4.62027957102069	2.53167804345807	3.16776791265365	3.96922101282133
TCGA-EW-A1PH-01	3.77148838300005	4.25772279284722	4.05989913650056	1.92771963364463	0.14351707035448	1.50217486020853	1.23455178116323	3.26545165981689	1.80604225201432	-0.0967116178766485	0.00108369136101761	1.17075667642903	2.3922936669996	4.89460107041111	2.54447061903876	3.56393453941496	4.372300709881
TCGA-BH-A1FC-01	3.70543461973827	4.50333557083797	4.21940337975534	1.70604197104324	0.14917962381818	1.57440076460503	1.35890071589112	3.39635525191804	1.90769181333951	-0.0848117073648099	-0.0192944855999331	0.972603552626936	2.43616765697635	5.00092791871082	2.49230875534908	3.73141321628388	4.42569924447699
TCGA-GI-A2C9-01	3.88488888844652	4.30841056968459	3.96444034129056	1.93606550346035	0.27369800892664	1.47049522827885	1.361180870754	3.14068591036774	1.95326025408859	0.00248090039693735	0.0920732526455137	1.27284623834243	2.49473771909236	4.77750491555514	2.51690562607735	3.59024948797092	4.27354339341419
TCGA-D8-A27M-01	3.97594144426679	4.47133152688389	4.2145412173403	2.00458360497812	0.339047089961233	1.52905798960603	1.38557694355476	3.45549699678576	2.02575710930074	0.0442326827859694	0.139428777661973	1.24777503152318	2.52084999129367	4.72616216856638	2.44373242126381	3.64189161653026	4.20987510021454
TCGA-AR-A0U4-01	3.88285747703743	4.36860081997381	4.07147979187528	1.98174393910113	0.361545160287094	1.42322098978069	1.31720558210117	3.2944438218823	1.70690873466927	0.0318991849058263	0.107429517846161	1.18482281007494	2.51310268058096	4.93199086718807	2.48611242686917	3.54071933554336	4.32483093975998
TCGA-A2-A0YE-01	3.7204165087378	4.09474613528492	3.83156833234817	1.81635947333974	0.232604916402968	1.176969493045	1.03974166703617	2.84471194809868	1.69113008525748	-0.0442050867245697	0.0292265500409038	0.954382460644191	2.38990842676744	4.76485276284322	2.36641495271768	3.33529023855759	4.29217214856995
TCGA-GM-A2DH-01	3.8775820460275	4.50257428084703	4.11385520145676	1.77024459230733	0.316241001380794	1.32384804786085	1.34296945249836	3.13000621961929	2.12698297680508	0.0356839618185816	0.118921696992458	1.23916574395342	2.67947990491779	5.03856316261819	2.65756484410957	3.66816669500201	4.67293179428789
TCGA-BH-A42U-01	3.88253236047702	4.16231886882526	3.74895109860387	1.91063405100109	0.309378038357773	1.07658359570162	1.26305366059829	2.71841381051704	1.90921586632988	-0.0601872408203342	0.0648377377608353	1.1560224854289	2.27249177523241	4.30005511037008	2.00407183800803	2.99119401154715	3.6782082988628
TCGA-D8-A1JL-01	3.99759572184006	4.37032826494208	4.09946034009602	2.22711952651147	0.177993037668157	1.23280913283801	1.38030450125211	3.07219839164931	2.01310016690174	-0.114597372607987	0.0115380705674161	1.31472022434148	2.45290468235413	4.89477710183512	2.64878593008662	3.52333056207571	4.36098017803161
TCGA-BH-A1EW-01	3.87728801134539	4.26257747169329	3.91186213486974	1.8501599526747	0.356666324164583	1.26286332024528	1.20363001109627	3.00659038128634	1.66662828523958	0.0641905176190615	0.155093028345655	1.25709329895891	2.39756313250566	4.72309351961575	2.48196284955136	3.39874121108554	4.18982821983877
TCGA-A8-A08R-01	3.79284087586384	4.2549328956512	3.90220142099854	1.84271167585364	0.19436516093019	1.45047516492389	1.21817345733444	3.19311456275209	1.77063784876745	-0.0783566784776515	0.0330083014684392	0.89042710676996	2.33285539610887	4.75710960681113	2.40000453087296	3.64328889327717	4.35954469261181
TCGA-E2-A1LH-01	3.70318721966569	4.00870503246988	3.66945425722045	1.85149315640339	0.352552099253442	1.30035470958281	1.39588986922056	2.92648583905671	1.60861581301198	0.0202695111974896	0.139599252515745	0.985804004822121	2.48989471688617	4.54453873166101	2.25400313630247	3.37534872310573	3.95672301077735
TCGA-AR-A1AY-01	4.02853619837645	4.68208764736439	4.3305011695093	2.13746649717383	0.173395077763055	1.65414179055873	1.19290122942075	3.44261202078121	2.25366766413936	-0.099589087518152	-0.00909494269669783	1.17334822049642	2.60277082883636	5.14994076972549	2.67818911104363	3.80073373233688	4.64140322437793
TCGA-E9-A5FL-01	3.74025360425752	4.04978552595222	3.63653795386416	1.64516018359212	0.242267498809788	1.21205798377352	1.38226158520019	3.00099276980915	1.8817136026253	-0.0969016889921099	0.000131969544814656	1.08863607619616	2.54601488433939	4.70129149507578	2.34941454646837	3.16648271531699	3.97368652100215
TCGA-AC-A7VC-01	3.90058731991666	4.48827340953689	4.31196531603598	1.8447697942203	0.176964231384727	1.81692894098279	1.29050884397718	3.54035680950008	2.29505115004639	-0.149021780853579	0.00892294495433514	1.2621116768186	2.53011849403931	4.8086067944948	2.46962418169899	3.57227978594331	4.28527122947852
TCGA-AC-A2QJ-01	3.65021131240542	3.70884242655349	3.44285526627162	1.45448050617856	0.238935352716101	1.27615852922598	1.20085672072224	2.86241847120897	1.71465451092139	-0.112043616452882	0.0514890447814536	0.749661918601667	2.28409522148288	4.30642691815563	1.94362337875132	2.9094711520892	3.70341182231244
TCGA-AR-A0TU-01	3.55174561967932	4.21109566129051	3.88494257410784	1.63428333493744	0.098030111568612	1.27770109512723	1.32033612166201	3.14161784727106	2.00729541456247	-0.146011102196594	-0.00417951468005986	0.943446073569655	2.37778674278032	4.94094707727393	2.54386259853783	3.61989515865206	4.39522840342539
TCGA-AO-A0J4-01	3.95415870777178	4.47684736818904	4.08919331040641	2.03910137567295	0.25558489113723	1.59559729534092	1.40591531426047	3.349320199319	1.77692792847528	-0.0361697605247439	0.0640994437143416	1.15447682456436	2.492492441514	4.72071284444197	2.56752219622334	3.55781635448077	4.20208697589893
TCGA-A2-A0SX-01	4.04997969967189	4.64048764887997	4.35039437621294	2.11845706581934	0.296004663675194	1.5979748629246	1.57819641956407	3.44973174104057	2.15083123569225	-0.0150360875192183	0.0898696261128947	1.25779942019704	2.59709617046771	5.01158806743335	2.60295882933969	3.9094711520892	4.54100083270983
TCGA-BH-A18G-01	3.70584441678645	4.22734820508257	3.96381587419222	1.64801461469187	0.252757177532206	1.20426505409157	1.37538391048904	3.02748339735852	1.90152315237662	-0.0590722072966615	0.0474828076630775	1.28828021020569	2.57628341047631	4.62333341085841	2.20106382156327	3.34846303317055	4.18498151853337
TCGA-AO-A124-01	3.90046417781262	4.28393585474395	3.99299517847439	2.10740487555881	0.264993129303321	1.27312569339203	1.21381224717551	2.87256666214852	1.59001030877026	-0.0498841341971465	0.0515827009705822	1.03882237117683	2.46462745460306	4.76908059064796	2.41069441194037	3.26748370674862	4.29111562987578
TCGA-A2-A0T0-01	3.83305652153977	4.29712097943122	3.94939393780821	1.94782314986515	0.27466342097117	1.35485980882268	1.18251803337888	3.16702319733744	2.03186099428776	-0.0899041398844632	0.0154211087895351	1.19194054294729	2.54027743629782	4.88101308150807	2.48499807376832	3.46260422620176	4.34674353063418
TCGA-AO-A12F-01	3.8949428070821	4.16786013236421	3.66663887488423	1.91059337900777	0.232518244373887	1.22988382044309	1.12707360681028	2.95783512888505	1.99576255113187	-0.0850543251925741	0.0279953558816412	1.02261750301425	2.42266280761342	4.74196418407386	2.46855691750947	3.26146654942981	4.1842853917983
TCGA-D8-A1XQ-01	3.84952429342717	4.21788583064641	3.91100576627012	2.02858475107124	0.246811030285816	1.19788763406842	1.42049557424377	3.02152769117742	1.96529787137005	-0.0168379884023304	0.0706678518626915	1.30984847723746	2.2939233354971	4.71564759597637	2.37790418921057	3.35244203003803	4.16115790134062
TCGA-A2-A3XY-01	4.03764967150912	4.39523538190849	4.04763131814797	2.05538040190272	0.244155508088883	1.44192512819025	1.26326223709045	3.124484229582	1.94161477540052	-0.102531320356843	0.010536359350463	1.11896364922845	2.50754322696439	4.84968640502867	2.48750444598692	3.40377926831277	4.21965224927375
TCGA-B6-A400-01	4.03480890046949	4.53156009516421	4.22931680175126	1.90981212787798	0.161486783761592	1.46007237032086	1.16114641081465	3.08602260874051	1.97157751458796	-0.0882040647109414	0.0237229326002766	1.00679570754913	2.53410545454907	4.96251516050064	2.46504349631119	3.58177998939409	4.35292996931377
TCGA-BH-A0WA-01	4.05293061575427	4.57749174198997	4.44285526627162	2.18255495903499	0.144190158759965	1.42180046624331	1.4262598337991	3.24493046725049	2.11307143445052	-0.185397610853722	-0.0566766374455242	1.4172143524345	2.47104163547772	4.8992885160453	2.52467123703438	3.86317322258405	4.49086420774886
TCGA-BH-A0RX-01	4.03545885932898	4.20895791429415	3.89672937481044	1.88920766726737	0.219105330422847	1.25867654682682	1.54429694704497	3.14929513857259	1.84503531011172	-0.0793676136821178	0.0160805555548174	1.03456518020194	2.46167226137927	4.64136405810517	2.40613638656892	3.25617346892582	3.99223548377104
TCGA-BH-A0B3-01	4.0193664325919	4.43786989230143	4.10481676845702	2.09881323459022	0.245446385011116	1.18827797289634	1.47207046424081	3.04037350425376	2.25196702488567	-0.0842827100520379	0.0136360655794571	1.24680993062744	2.55433494865454	4.93301857733725	2.476776373723	3.62890305533088	4.39353356811002
TCGA-A7-A0DA-01	3.76995788881929	4.24666426019359	3.86423946773559	2.00984460441954	0.236826590545816	1.34304424105269	1.12144799801322	2.96645992608363	1.82369392876184	-0.10841542052608	0.0277466065311274	1.20021507407556	2.31370648083365	4.65729298196325	2.33634287901393	3.54585716451513	4.23653875046149
TCGA-D8-A1XK-01	3.96316180638117	4.50111379149152	4.21596166038087	1.93762208007312	0.217372554645823	1.31545551365582	1.53566595607526	3.27455722621144	2.221069820244	-0.0365149103556654	0.0533375920456637	1.51513646995804	2.62987337503844	5.22222655194658	2.84546995299176	3.77720130179138	4.55509406602765
TCGA-BH-A0BG-01	3.89385227989488	4.38397285522562	4.03076104872022	1.9041516504412	0.337093196413138	1.48108528905166	1.55220214591634	3.34342321423338	1.4928072063175	0.0197717661041886	0.0984828831768667	1.07005462789334	2.44615384853973	4.66015481507909	2.3751732309532	3.41345218650619	4.16212439938161
TCGA-E2-A14N-01	3.74520780167534	4.25715367028901	3.91611223114389	1.85067598690719	0.288353535629309	1.06602822037167	1.30793994141261	2.87738609554107	2.08427693464913	-0.0256658848711902	0.0468147781407867	0.934387712922867	2.58525561760599	4.89762192710455	2.44156726680098	3.5291927032453	4.50923633759235
TCGA-D8-A27F-01	4.13570384001089	4.62319652302668	4.18203536286721	2.18216223656538	0.227325398613837	1.61696673188259	1.38647948037628	3.37311840681544	2.11801610187482	-0.113774464950412	0.0289409274900317	1.22519899612106	2.48097433330133	5.03091585185389	2.63330517717953	3.58243095724555	4.38196362975911
TCGA-AN-A04D-01	3.59589530251738	4.12412234957176	3.76774824727707	1.89231456163599	0.307602060593551	1.14831947546147	1.30773295133828	2.7930565721032	1.91208100633624	0.0261446603568037	0.108188964377451	1.23412397114136	2.5650434402148	4.91633338827575	2.64444624582663	3.57143082436568	4.50837481335983
TCGA-A7-A26G-01	4.01440190069235	4.59293248333636	4.33462617373167	2.21438148474877	0.215240809921649	1.43192459378789	1.30621907594416	3.28725320418385	2.19490623144335	-0.0990344427314566	0.026031898810305	1.69638448179984	2.52308800754218	4.63456757758058	2.45392228054995	3.46965077997235	4.17224120364152
TCGA-A1-A0SP-01	3.90748110546885	4.49187252409312	4.13269024209109	1.99274484537451	0.369845715633403	1.46175669587608	1.23906551417207	3.1537462546258	1.98059099244376	0.0344181081136688	0.116806434594793	0.904348843088823	2.5113967543906	5.06622830443402	2.67331993533889	3.77224968532386	4.48723508382056
TCGA-AC-A2BK-01	3.64214538024267	4.39177841215155	4.26038503020097	1.84494628286506	0.210798856086479	1.5553371213641	1.38056717777819	3.41088682939663	2.06381510087616	-0.156923579811939	-0.0310108036352988	1.38546410344233	2.51342225579295	4.90493348077253	2.71004358056242	3.45520637494315	4.49622976779888
TCGA-AO-A128-01	3.69177484308644	4.20805638691339	3.89527992113175	1.8491213333293	0.221928401048746	1.21884740504281	1.40334837989919	3.07072917840048	1.90009235838175	-0.00139654785121253	0.0956613363087306	1.28532391483888	2.43905856346153	4.85270984031197	2.51766310605411	3.43162064603002	4.31672627774047
TCGA-AQ-A04J-01	4.00308930305324	4.43708876199751	4.05988518077508	2.235710973932	0.316527670687354	1.21259464777791	1.22047001062613	2.90955076869148	2.17765141077523	0.0137182036767487	0.103530442357247	1.34483051589124	2.64392569506682	4.79113027514948	2.58529087851032	3.63670362626696	4.29614734916021
TCGA-A7-A6VY-01	3.86514110776492	4.23116758204026	3.86768763143821	1.81389727273911	0.207533110191346	1.26652685838086	1.34508747938871	3.01193925387844	1.92448493357265	-0.0923341692298403	0.0427866557696378	1.14306481663581	2.54490788650258	4.90391321597935	2.41465913218077	3.34865937312551	4.23106553094626
TCGA-LL-A73Y-01	4.06148463732778	4.4483013954947	4.15205832618969	1.9281403526961	0.354321477405396	1.65570566998149	1.14831282011401	3.24570356869526	1.74069449890539	0.0325441369120583	0.148046047451557	1.09971301815188	2.33338097426739	4.52038890153993	2.26083514857254	3.43983191730216	3.97829019650209
TCGA-AO-A1KR-01	3.6876959816794	3.99584581620724	3.54190711169274	1.71892261095598	0.273749893326182	1.00482162025586	1.41876396734959	2.72323685300535	2.2300316725516	-0.0445459785873465	0.0501925611321172	1.08113107705382	2.62463829944528	4.87410628158479	2.42074192564391	3.45747493107323	4.49425636683442
TCGA-C8-A3M7-01	3.82089312946183	4.30965408231848	3.92838261593287	1.98876093639262	0.341450542228485	1.37413148009103	1.32489181591611	3.13296792481584	1.65904881539772	0.0118623292753766	0.106837948835789	1.22395406959786	2.28146707300022	4.53666159136958	2.22500016230914	3.40860831192562	4.02739763155907
TCGA-A2-A04U-01	3.66744826674538	4.10847967979434	3.75657781523912	1.65719222338529	0.169104508565026	1.21337218448028	1.10540822128839	2.82510542428032	1.78023486854045	-0.063215984594217	0.0304256917228249	0.878189708748105	2.56256529138601	4.65854903633588	2.24556560329194	3.48095154229194	4.11783083176894
TCGA-LL-A5YO-01	3.81429161292939	4.21113864866374	3.91371668377134	1.72309715783274	0.332784927197414	1.10882777130284	1.56160258331963	2.98036238651966	1.69525618672669	0.0876238145478751	0.155759922090995	1.21167724143146	2.35943418440274	4.64496552517063	2.40778066729512	3.23888079816801	4.04377618745679
