Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A2-A3XX-01	1	3301765	106550709	59784	-0.046
TCGA-A2-A3XX-01	1	106555195	106556616	3	-1.6783
TCGA-A2-A3XX-01	1	106558396	119984772	8311	-0.0375
TCGA-A2-A3XX-01	1	146716041	164602346	8378	0.7692
TCGA-A2-A3XX-01	1	164609415	164713879	106	0.5699
TCGA-A2-A3XX-01	1	164713976	165447563	671	0.7661
TCGA-A2-A3XX-01	1	165448289	165451473	3	1.999
TCGA-A2-A3XX-01	1	165452003	168008445	1911	0.7578
TCGA-A2-A3XX-01	1	168011661	168016016	2	-0.9892
TCGA-A2-A3XX-01	1	168016712	187350858	12231	0.7694
TCGA-A2-A3XX-01	1	187351621	198959928	6733	0.8171
TCGA-A2-A3XX-01	1	198960230	198977059	7	0.7883
TCGA-A2-A3XX-01	1	198979470	198987456	6	-0.2566
TCGA-A2-A3XX-01	1	198987756	218244178	12885	0.7696
TCGA-A2-A3XX-01	1	218244910	218247517	4	-0.7608
TCGA-A2-A3XX-01	1	218249608	237121645	12069	0.7683
TCGA-A2-A3XX-01	1	237122307	237122329	2	-1.1219
TCGA-A2-A3XX-01	1	237122834	247650984	6582	0.7585
TCGA-A2-A3XX-01	2	480597	3995365	1600	0.0338
TCGA-A2-A3XX-01	2	3996042	69626431	39481	0.0779
TCGA-A2-A3XX-01	2	69627962	69789890	104	0.2941
TCGA-A2-A3XX-01	2	69791295	69924296	71	0.4351
TCGA-A2-A3XX-01	2	69924339	70992408	690	0.2696
TCGA-A2-A3XX-01	2	70995925	71063829	33	0.0869
TCGA-A2-A3XX-01	2	71063928	73919850	1417	0.0153
TCGA-A2-A3XX-01	2	73920500	73920691	2	-2.3319
TCGA-A2-A3XX-01	2	73923129	152994438	37682	0.0113
TCGA-A2-A3XX-01	2	152994520	214258201	34330	0.0262
TCGA-A2-A3XX-01	2	214263303	241537572	16728	0.007
TCGA-A2-A3XX-01	3	2170634	98677498	53627	-0.2621
TCGA-A2-A3XX-01	3	98677599	98677614	2	-2.3565
TCGA-A2-A3XX-01	3	98677745	141328230	24515	-0.2511
TCGA-A2-A3XX-01	3	141328293	153691006	6400	-0.2355
TCGA-A2-A3XX-01	3	153691196	153691632	2	-2.1728
TCGA-A2-A3XX-01	3	153692746	159695948	3209	-0.2224
TCGA-A2-A3XX-01	3	159696781	159696981	2	-2.2929
TCGA-A2-A3XX-01	3	159699738	169290234	4481	-0.2363
TCGA-A2-A3XX-01	3	169290406	169290536	2	-1.7992
TCGA-A2-A3XX-01	3	169293847	190356436	11442	-0.2331
TCGA-A2-A3XX-01	3	190358395	197812401	3419	-0.2493
TCGA-A2-A3XX-01	4	1059384	5137349	1854	-0.0652
TCGA-A2-A3XX-01	4	5137397	5137411	2	-1.7922
TCGA-A2-A3XX-01	4	5139164	21580966	10941	-0.0728
TCGA-A2-A3XX-01	4	21581062	114185653	50938	-0.0426
TCGA-A2-A3XX-01	4	114185967	120108510	3279	8e-04
TCGA-A2-A3XX-01	4	120113012	156718721	19994	-0.0453
TCGA-A2-A3XX-01	4	156720157	168707510	6590	-0.0609
TCGA-A2-A3XX-01	4	168708263	168708302	2	-1.8658
TCGA-A2-A3XX-01	4	168709062	187842528	9836	-0.0661
TCGA-A2-A3XX-01	5	913983	15000159	9775	0.336
TCGA-A2-A3XX-01	5	15002380	15002806	2	-1.9965
TCGA-A2-A3XX-01	5	15003500	16048599	205	0.2943
TCGA-A2-A3XX-01	5	16049191	18528106	1400	-0.2686
TCGA-A2-A3XX-01	5	18530850	37742975	10322	-0.3822
TCGA-A2-A3XX-01	5	37743031	40406475	1907	-0.2644
TCGA-A2-A3XX-01	5	40406640	40736486	179	0.0443
TCGA-A2-A3XX-01	5	40739921	41645449	593	0.26
TCGA-A2-A3XX-01	5	41645577	41935011	133	0.0846
TCGA-A2-A3XX-01	5	41935839	54578006	3879	-0.2667
TCGA-A2-A3XX-01	5	54578164	54578346	2	-2.0031
TCGA-A2-A3XX-01	5	54579739	180934240	72621	-0.2856
TCGA-A2-A3XX-01	6	1011760	6521737	4035	0.2834
TCGA-A2-A3XX-01	6	6522019	7039846	460	0.0307
TCGA-A2-A3XX-01	6	7046937	39153847	18522	0.2841
TCGA-A2-A3XX-01	6	39154052	39450801	255	1.3195
TCGA-A2-A3XX-01	6	39451152	39759760	162	1.4924
TCGA-A2-A3XX-01	6	39759817	39806351	41	1.3216
TCGA-A2-A3XX-01	6	39814316	39870440	39	2.5577
TCGA-A2-A3XX-01	6	39870720	39902802	32	1.344
TCGA-A2-A3XX-01	6	39903534	40051572	108	1.6475
TCGA-A2-A3XX-01	6	40053579	40180734	83	1.3164
TCGA-A2-A3XX-01	6	40186144	40191284	6	2.3903
TCGA-A2-A3XX-01	6	40195058	40684516	471	1.3412
TCGA-A2-A3XX-01	6	40684807	40805232	109	2.5592
TCGA-A2-A3XX-01	6	40813234	41041665	154	1.3564
TCGA-A2-A3XX-01	6	41042629	41147832	57	2.6087
TCGA-A2-A3XX-01	6	41151779	41294053	107	1.3668
TCGA-A2-A3XX-01	6	41302346	41404297	76	2.7885
TCGA-A2-A3XX-01	6	41414652	41783613	246	1.3475
TCGA-A2-A3XX-01	6	41783975	41974532	101	2.7664
TCGA-A2-A3XX-01	6	41977812	42375410	234	1.362
TCGA-A2-A3XX-01	6	42377754	42380088	5	2.6982
TCGA-A2-A3XX-01	6	42387332	42460969	33	1.3418
TCGA-A2-A3XX-01	6	42463257	42479270	13	2.5301
TCGA-A2-A3XX-01	6	42479394	42537378	36	1.8798
TCGA-A2-A3XX-01	6	42545309	42887640	167	2.8001
TCGA-A2-A3XX-01	6	42890089	43042215	60	1.3822
TCGA-A2-A3XX-01	6	43043183	43077724	31	2.5521
TCGA-A2-A3XX-01	6	43103552	44229517	586	1.3656
TCGA-A2-A3XX-01	6	44234615	44239709	5	2.2934
TCGA-A2-A3XX-01	6	44244130	44294288	28	1.358
TCGA-A2-A3XX-01	6	44299247	44423971	91	0.3522
TCGA-A2-A3XX-01	6	44427205	45348068	463	0.029
TCGA-A2-A3XX-01	6	45352139	52922647	4560	0.2912
TCGA-A2-A3XX-01	6	52925030	52929066	7	-0.5499
TCGA-A2-A3XX-01	6	52933264	68600256	6483	0.2903
TCGA-A2-A3XX-01	6	68610387	87586718	10685	0.0427
TCGA-A2-A3XX-01	6	87590944	87761147	102	0.2839
TCGA-A2-A3XX-01	6	87762436	91205164	2261	0.0426
TCGA-A2-A3XX-01	6	91213538	96331324	2145	0.3013
TCGA-A2-A3XX-01	6	96333690	116523620	11866	0.0472
TCGA-A2-A3XX-01	6	116529574	123361291	3533	0.2854
TCGA-A2-A3XX-01	6	123361613	131886209	5236	0.0565
TCGA-A2-A3XX-01	6	131886701	144054835	7519	0.2954
TCGA-A2-A3XX-01	6	144057568	168457458	15090	0.0482
TCGA-A2-A3XX-01	6	168461894	170596889	800	0.2995
TCGA-A2-A3XX-01	7	664936	17801277	8524	-0.052
TCGA-A2-A3XX-01	7	17805047	17805198	2	-1.4912
TCGA-A2-A3XX-01	7	17805641	23995508	3784	-0.0446
TCGA-A2-A3XX-01	7	24000259	24000764	2	1.804
TCGA-A2-A3XX-01	7	24001198	30343461	4222	-0.0553
TCGA-A2-A3XX-01	7	30344668	30981847	360	0.049
TCGA-A2-A3XX-01	7	30996546	30997513	2	-1.3734
TCGA-A2-A3XX-01	7	31003319	31106499	82	0.031
TCGA-A2-A3XX-01	7	31107783	31117586	7	0.4481
TCGA-A2-A3XX-01	7	31120442	31278994	104	0.0429
TCGA-A2-A3XX-01	7	31279738	43271430	7664	0.1013
TCGA-A2-A3XX-01	7	43275326	64007910	8894	0.0519
TCGA-A2-A3XX-01	7	64011137	65046526	397	-0.0622
TCGA-A2-A3XX-01	7	65048987	72454217	3559	-0.1145
TCGA-A2-A3XX-01	7	72454756	86266222	6539	-0.062
TCGA-A2-A3XX-01	7	86266686	86266705	2	-1.9962
TCGA-A2-A3XX-01	7	86272321	95030606	4104	-0.0831
TCGA-A2-A3XX-01	7	95032905	108532679	6880	0.0117
TCGA-A2-A3XX-01	7	108535897	108536531	2	-1.7799
TCGA-A2-A3XX-01	7	108539074	108653427	76	0.0098
TCGA-A2-A3XX-01	7	108654613	154350162	24064	0.0394
TCGA-A2-A3XX-01	7	154351308	158592540	2626	5e-04
TCGA-A2-A3XX-01	8	667625	3690728	1560	-0.0538
TCGA-A2-A3XX-01	8	3797835	3939506	123	-1.3669
TCGA-A2-A3XX-01	8	3970555	4575778	331	0.0239
TCGA-A2-A3XX-01	8	4575802	40875268	21777	-0.3495
TCGA-A2-A3XX-01	8	40878678	41184230	183	1.0757
TCGA-A2-A3XX-01	8	41184298	41333434	90	1.3928
TCGA-A2-A3XX-01	8	41333611	42066757	441	1.6703
TCGA-A2-A3XX-01	8	42070445	42298312	154	0.727
TCGA-A2-A3XX-01	8	42298469	50625322	2320	1.0865
TCGA-A2-A3XX-01	8	50625974	54961469	2573	0.3117
TCGA-A2-A3XX-01	8	54961552	70040438	8980	1.0872
TCGA-A2-A3XX-01	8	70040504	70042599	8	0.1128
TCGA-A2-A3XX-01	8	70048926	72927081	1786	1.0636
TCGA-A2-A3XX-01	8	72930097	73431931	375	0.293
TCGA-A2-A3XX-01	8	73436374	73436421	2	-0.8104
