Sample_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AR-A1AY-01	1	3301765	21736277	10379	-0.4726
TCGA-AR-A1AY-01	1	21736656	28036116	2923	0.1963
TCGA-AR-A1AY-01	1	28038562	28604957	208	0.0972
TCGA-AR-A1AY-01	1	28605618	28756778	44	0.4167
TCGA-AR-A1AY-01	1	28765850	32000730	1858	0.2071
TCGA-AR-A1AY-01	1	32002669	32697685	251	0.1102
TCGA-AR-A1AY-01	1	32697804	37342282	2653	0.1964
TCGA-AR-A1AY-01	1	37342872	40757297	1719	0.1559
TCGA-AR-A1AY-01	1	40759682	41298572	272	0.1934
TCGA-AR-A1AY-01	1	41300425	41901972	468	0.2488
TCGA-AR-A1AY-01	1	41902668	44770304	1676	0.1836
TCGA-AR-A1AY-01	1	44812422	44826330	10	-0.3853
TCGA-AR-A1AY-01	1	44826367	44833972	6	-0.8354
TCGA-AR-A1AY-01	1	44837025	44839820	11	-0.1712
TCGA-AR-A1AY-01	1	44844138	45893907	462	0.1373
TCGA-AR-A1AY-01	1	45894382	49017031	1782	0.2018
TCGA-AR-A1AY-01	1	49017125	53045303	1692	0.1436
TCGA-AR-A1AY-01	1	53046613	55960554	2019	0.217
TCGA-AR-A1AY-01	1	55963358	63485572	5449	0.1638
TCGA-AR-A1AY-01	1	63485919	64298862	581	-0.4479
TCGA-AR-A1AY-01	1	64298871	67826962	2622	0.1805
TCGA-AR-A1AY-01	1	67829939	78275537	5887	0.1499
TCGA-AR-A1AY-01	1	78275623	91822380	8484	0.1895
TCGA-AR-A1AY-01	1	91825124	92868568	487	0.1145
TCGA-AR-A1AY-01	1	92868581	93785710	488	0.1741
TCGA-AR-A1AY-01	1	93799040	93828634	18	-0.4596
TCGA-AR-A1AY-01	1	93833750	108486883	8496	0.176
TCGA-AR-A1AY-01	1	108495476	115506460	4339	-0.4531
TCGA-AR-A1AY-01	1	115521316	115617890	56	1.7169
TCGA-AR-A1AY-01	1	115622077	116016532	330	0.5853
TCGA-AR-A1AY-01	1	116021720	116159406	74	0.0922
TCGA-AR-A1AY-01	1	116161888	116175746	16	0.8421
TCGA-AR-A1AY-01	1	116176228	116185360	14	0.4925
TCGA-AR-A1AY-01	1	116186366	119282867	1822	-0.4643
TCGA-AR-A1AY-01	1	119286511	119981279	474	1.1057
TCGA-AR-A1AY-01	1	119981332	151565758	611	0.7747
TCGA-AR-A1AY-01	1	151565890	155348517	1981	0.844
TCGA-AR-A1AY-01	1	155349209	155870346	206	0.7212
TCGA-AR-A1AY-01	1	155870915	157658565	975	0.8718
TCGA-AR-A1AY-01	1	157658586	158543724	611	0.795
TCGA-AR-A1AY-01	1	158543993	158545233	15	0.301
TCGA-AR-A1AY-01	1	158545295	173138071	10238	0.8324
TCGA-AR-A1AY-01	1	173139223	175136642	1026	0.7483
TCGA-AR-A1AY-01	1	175140748	175975781	372	0.8488
TCGA-AR-A1AY-01	1	175976432	176597181	286	0.7152
TCGA-AR-A1AY-01	1	176597214	179101106	1565	0.8366
TCGA-AR-A1AY-01	1	179101199	179779379	527	0.7495
TCGA-AR-A1AY-01	1	179782742	182988394	2149	0.8539
TCGA-AR-A1AY-01	1	182991712	183031241	36	0.5295
TCGA-AR-A1AY-01	1	183038690	185023295	1322	0.8477
TCGA-AR-A1AY-01	1	185024606	200899752	9296	0.7994
TCGA-AR-A1AY-01	1	200902088	204519677	2377	0.8744
TCGA-AR-A1AY-01	1	204519774	204545881	61	0.5934
TCGA-AR-A1AY-01	1	204545895	207128107	1534	0.8871
TCGA-AR-A1AY-01	1	207128378	229800839	14663	0.8398
TCGA-AR-A1AY-01	1	229803422	231134890	1028	0.8732
TCGA-AR-A1AY-01	1	231135316	232898176	1125	0.5501
TCGA-AR-A1AY-01	1	232900341	233251820	271	0.4954
TCGA-AR-A1AY-01	1	233252496	233252792	2	1.4692
TCGA-AR-A1AY-01	1	233253190	234165522	781	0.5049
TCGA-AR-A1AY-01	1	234165888	235101118	634	0.5673
TCGA-AR-A1AY-01	1	235103144	238253180	2246	0.4882
TCGA-AR-A1AY-01	1	238253244	239078681	649	0.5275
TCGA-AR-A1AY-01	1	239084680	239742926	442	0.0953
TCGA-AR-A1AY-01	1	239743316	247590073	4531	0.4564
TCGA-AR-A1AY-01	1	247590493	247650984	34	0.3833
TCGA-AR-A1AY-01	2	480597	30092056	18481	-0.4411
TCGA-AR-A1AY-01	2	30104592	44110615	7660	0.2021
TCGA-AR-A1AY-01	2	44123223	44138641	11	-0.5183
TCGA-AR-A1AY-01	2	44145770	47629104	2463	0.2228
TCGA-AR-A1AY-01	2	47629189	63573154	8575	0.188
TCGA-AR-A1AY-01	2	63576125	75524749	7139	0.2081
TCGA-AR-A1AY-01	2	75524820	84377901	4700	0.1744
TCGA-AR-A1AY-01	2	84379002	87925972	1248	0.2143
TCGA-AR-A1AY-01	2	87936297	88831240	422	-0.4639
TCGA-AR-A1AY-01	2	88831554	96906406	595	-0.3619
TCGA-AR-A1AY-01	2	96907892	134739509	19280	-0.4347
TCGA-AR-A1AY-01	2	134740973	159318799	13956	-0.4128
TCGA-AR-A1AY-01	2	159319420	164818826	3078	-0.366
TCGA-AR-A1AY-01	2	164819584	184223116	11885	-0.4139
TCGA-AR-A1AY-01	2	184229798	189479779	2168	-0.3558
TCGA-AR-A1AY-01	2	189481920	189736144	178	-0.4415
TCGA-AR-A1AY-01	2	189737787	189790035	45	-1.3088
TCGA-AR-A1AY-01	2	189790307	219487369	16598	-0.4099
TCGA-AR-A1AY-01	2	219490807	219493864	3	-2.3531
TCGA-AR-A1AY-01	2	219503543	241537572	13452	-0.4348
TCGA-AR-A1AY-01	3	2170634	8459069	3556	0.184
TCGA-AR-A1AY-01	3	8459513	14585382	4034	0.2277
TCGA-AR-A1AY-01	3	14586712	15966752	846	0.1849
TCGA-AR-A1AY-01	3	15966919	17332536	960	0.2294
TCGA-AR-A1AY-01	3	17332898	24098854	3329	0.1785
TCGA-AR-A1AY-01	3	24101119	25195905	898	0.2531
TCGA-AR-A1AY-01	3	25199704	44839666	11807	0.1921
TCGA-AR-A1AY-01	3	44843155	45975414	774	0.2468
TCGA-AR-A1AY-01	3	45979726	47632439	792	0.1829
TCGA-AR-A1AY-01	3	47642267	47838710	96	-0.4402
TCGA-AR-A1AY-01	3	47839322	50696636	1080	0.1925
TCGA-AR-A1AY-01	3	50699670	51567039	388	0.1193
TCGA-AR-A1AY-01	3	51572134	52008315	164	0.1689
TCGA-AR-A1AY-01	3	52013405	78692899	16765	0.1912
TCGA-AR-A1AY-01	3	78693049	122729413	21837	0.1579
TCGA-AR-A1AY-01	3	122730046	125205272	1676	0.2088
TCGA-AR-A1AY-01	3	125208831	126091015	393	0.1223
TCGA-AR-A1AY-01	3	126095984	129658031	1988	0.2067
TCGA-AR-A1AY-01	3	129659686	132903813	1872	0.1534
TCGA-AR-A1AY-01	3	132903878	133500395	414	0.2216
TCGA-AR-A1AY-01	3	133504335	133822930	225	0.1361
TCGA-AR-A1AY-01	3	133824950	133825073	2	-0.877
TCGA-AR-A1AY-01	3	133827223	135332081	1004	0.2008
TCGA-AR-A1AY-01	3	135341751	135342469	2	-0.7021
TCGA-AR-A1AY-01	3	135342572	135951798	322	0.1917
TCGA-AR-A1AY-01	3	135952692	137811645	847	0.1129
TCGA-AR-A1AY-01	3	137812160	170466029	16873	0.1703
TCGA-AR-A1AY-01	3	170468135	170513858	45	-0.4887
TCGA-AR-A1AY-01	3	170515855	187196415	8471	0.1546
TCGA-AR-A1AY-01	3	187196704	190577453	2391	0.198
TCGA-AR-A1AY-01	3	190577941	197812401	3264	0.1652
TCGA-AR-A1AY-01	4	1059384	1820982	242	0.1541
TCGA-AR-A1AY-01	4	1822637	14769725	7990	-0.481
TCGA-AR-A1AY-01	4	14770122	14773426	3	-2.5316
TCGA-AR-A1AY-01	4	14776852	23995151	6065	-0.4587
TCGA-AR-A1AY-01	4	23998050	23998417	2	-5.4729
TCGA-AR-A1AY-01	4	23998857	32240824	5254	-0.4489
TCGA-AR-A1AY-01	4	32241139	34967984	1419	-0.3884
TCGA-AR-A1AY-01	4	34968001	58094223	11381	-0.4536
TCGA-AR-A1AY-01	4	58094984	74669028	8468	-0.4226
TCGA-AR-A1AY-01	4	74670253	90199723	9388	-0.4464
TCGA-AR-A1AY-01	4	90201247	172285164	45243	-0.4215
TCGA-AR-A1AY-01	4	172285714	187842528	7795	-0.4527
TCGA-AR-A1AY-01	5	913983	7996148	5095	0.468
TCGA-AR-A1AY-01	5	7996195	12630200	3225	0.4345
TCGA-AR-A1AY-01	5	12632981	19476194	3529	0.4696
TCGA-AR-A1AY-01	5	19479637	24108953	2299	0.4141
TCGA-AR-A1AY-01	5	24110210	32506993	4860	0.4428
TCGA-AR-A1AY-01	5	32509668	35245273	1312	0.488
TCGA-AR-A1AY-01	5	35245361	45383300	5781	0.4411
TCGA-AR-A1AY-01	5	50828231	83630513	18598	-0.4477
TCGA-AR-A1AY-01	5	83632627	108383877	12174	-0.4199
TCGA-AR-A1AY-01	5	108384483	117219626	5438	-0.4541
TCGA-AR-A1AY-01	5	117220156	131255539	8140	-0.4275
TCGA-AR-A1AY-01	5	131258906	170072522	24549	-0.4544
TCGA-AR-A1AY-01	5	170074523	173763150	2296	0.2104
TCGA-AR-A1AY-01	5	173765741	178225391	2235	0.1551
TCGA-AR-A1AY-01	5	178275580	179625556	831	0.1872
TCGA-AR-A1AY-01	5	179625587	179696634	21	-0.3986
TCGA-AR-A1AY-01	5	179704142	180934240	576	0.1743
TCGA-AR-A1AY-01	6	1011760	2009415	792	0.1658
TCGA-AR-A1AY-01	6	2016445	4253179	1655	-0.4691
TCGA-AR-A1AY-01	6	4498631	6755632	1784	0.5815
TCGA-AR-A1AY-01	6	6764350	7241483	370	-0.4891
TCGA-AR-A1AY-01	6	7243015	14708705	5324	0.5912
TCGA-AR-A1AY-01	6	14708808	15703794	481	0.4953
TCGA-AR-A1AY-01	6	15704350	17538127	1330	0.5703
TCGA-AR-A1AY-01	6	17540809	18426260	530	0.5123
TCGA-AR-A1AY-01	6	18427321	24211776	4222	0.5959
TCGA-AR-A1AY-01	6	24212035	26670022	1348	0.5426
TCGA-AR-A1AY-01	6	26936980	27014916	29	0.2058
TCGA-AR-A1AY-01	6	27019162	27778811	207	0.5455
TCGA-AR-A1AY-01	6	27779010	27928088	62	0.0664
TCGA-AR-A1AY-01	6	27935794	28949195	451	0.1342
TCGA-AR-A1AY-01	6	28956203	34182481	1508	0.2137
TCGA-AR-A1AY-01	6	34185534	34242067	16	0.5394
TCGA-AR-A1AY-01	6	34255625	36063806	814	0.1819
TCGA-AR-A1AY-01	6	36067577	37350162	837	0.5893
TCGA-AR-A1AY-01	6	37361292	40683501	2447	0.1927
TCGA-AR-A1AY-01	6	40684516	40798727	109	0.6079
TCGA-AR-A1AY-01	6	40805232	42631966	1101	0.1914
TCGA-AR-A1AY-01	6	42637794	42703361	45	0.6138
TCGA-AR-A1AY-01	6	42706861	51408146	4890	0.1786
TCGA-AR-A1AY-01	6	51411928	54320459	2040	0.5981
TCGA-AR-A1AY-01	6	54320891	62815147	2268	0.1692
TCGA-AR-A1AY-01	6	62815589	64140910	653	0.1017
TCGA-AR-A1AY-01	6	64142588	80799671	9416	0.1752
TCGA-AR-A1AY-01	6	80800062	80966460	73	0.8729
TCGA-AR-A1AY-01	6	80966550	82286320	761	0.5876
TCGA-AR-A1AY-01	6	82286503	82525876	127	0.1274
TCGA-AR-A1AY-01	6	82529054	83379425	458	0.5508
TCGA-AR-A1AY-01	6	83384309	93755359	6291	0.1726
TCGA-AR-A1AY-01	6	93755701	94556105	15	0.5326
TCGA-AR-A1AY-01	6	94563946	105201683	5657	0.1637
TCGA-AR-A1AY-01	6	105208885	106672907	994	0.5898
TCGA-AR-A1AY-01	6	106680496	106854934	141	0.9227
TCGA-AR-A1AY-01	6	106855080	110800108	2351	0.5833
TCGA-AR-A1AY-01	6	110802862	134375877	13795	0.1736
TCGA-AR-A1AY-01	6	134376239	134376302	2	-0.8703
TCGA-AR-A1AY-01	6	134376858	138507971	2787	0.1907
TCGA-AR-A1AY-01	6	138509079	170596889	18909	-0.0051
TCGA-AR-A1AY-01	7	664936	25172425	13266	0.1691
TCGA-AR-A1AY-01	7	25178224	31468222	3983	0.2007
TCGA-AR-A1AY-01	7	31473258	36003210	2905	0.1626
TCGA-AR-A1AY-01	7	36005600	36177051	175	0.27
TCGA-AR-A1AY-01	7	36177059	40567692	2892	0.1518
TCGA-AR-A1AY-01	7	40567791	51829305	7200	0.1851
TCGA-AR-A1AY-01	7	51831886	52487166	511	0.1407
TCGA-AR-A1AY-01	7	52490875	52491521	4	0.9181
TCGA-AR-A1AY-01	7	52493411	55637873	2198	0.1619
TCGA-AR-A1AY-01	7	55638360	70617217	3375	0.113
TCGA-AR-A1AY-01	7	70619708	70941021	184	0.2261
TCGA-AR-A1AY-01	7	70943280	75812476	1638	0.133
TCGA-AR-A1AY-01	7	75813716	96005836	10564	0.1706
TCGA-AR-A1AY-01	7	96006284	99776169	1865	0.1344
TCGA-AR-A1AY-01	7	99778167	127916847	14743	0.1682
TCGA-AR-A1AY-01	7	127917440	140304375	7065	0.1909
TCGA-AR-A1AY-01	7	140307027	140967020	411	0.1299
TCGA-AR-A1AY-01	7	140969702	142963371	868	0.1913
TCGA-AR-A1AY-01	7	142964608	149178668	3266	0.1443
TCGA-AR-A1AY-01	7	149180513	149400435	134	0.212
TCGA-AR-A1AY-01	7	149400948	149401306	2	-0.6949
TCGA-AR-A1AY-01	7	149402223	151054979	674	0.2064
TCGA-AR-A1AY-01	7	151055521	151073759	2	-0.9179
